LRCA1101.MV,LRCA1101.PV,PDR1401.PV,PIC1101A.PV,TI_1145.PV
72.4364,33.015,12.302,14.8969,488.99
72.4383,33.015,12.302,14.8966,488.99
72.4908,33.02,12.302,14.8963,488.99
72.4933,33.02,12.3,14.8961,488.99
72.4958,33.02,12.3,14.9044,488.99
72.4983,33.02,12.3,14.9044,489.02
72.5008,33.02,12.3,14.9044,489.02
72.5033,33.02,12.301,14.9044,489.02
72.4552,33.015,12.302,14.9044,489.02
72.4064,33.01,12.302,14.9044,489.02
72.4077,33.01,12.302,14.9044,489.02
72.3583,33.005,12.302,14.9044,489.02
72.3083,33.0,12.303,14.9044,489.02
72.3083,33.0,12.303,14.9044,489.02
72.3083,33.0,12.303,14.9044,489.02
72.3083,33.0,12.303,14.913,489.02
72.3083,33.0,12.304,14.9133,489.02
72.3083,33.0,12.304,14.9136,489.02
72.3083,33.0,12.306,14.9052,489.02
72.3083,33.0,12.306,14.9052,489.02
72.3083,33.0,12.306,14.9052,488.99
72.2577,32.995,12.305,14.9052,488.99
72.2571,32.995,12.305,14.9052,488.99
72.2564,32.995,12.305,14.9052,488.99
72.2558,32.995,12.305,14.9052,488.99
72.2552,32.995,12.305,14.9052,488.99
72.2546,32.995,12.305,14.9052,488.99
72.2033,32.99,12.305,14.9052,488.99
72.2021,32.99,12.305,14.9052,488.99
72.2008,32.99,12.304,14.9052,488.99
72.1996,32.99,12.304,14.9052,488.99
72.1983,32.99,12.304,14.9052,488.99
72.1971,32.99,12.304,14.9052,488.99
72.1958,32.99,12.304,14.9052,488.99
72.1945,32.99,12.304,14.9052,488.99
72.1933,32.99,12.304,14.9052,488.96
72.1414,32.985,12.304,14.9052,488.96
72.1396,32.985,12.304,14.9052,488.96
72.0871,32.98,12.304,14.9052,488.96
72.0846,32.98,12.304,14.9052,488.96
72.0821,32.98,12.303,14.9052,488.96
72.0796,32.98,12.303,14.9052,488.96
72.1277,32.985,12.303,14.9052,488.96
72.1258,32.985,12.303,14.9052,488.96
72.1745,32.99,12.303,14.9052,488.96
72.1733,32.99,12.303,14.9052,488.96
72.2227,32.995,12.302,14.8966,488.96
72.222,32.995,12.302,14.8963,488.96
72.272,33.0,12.302,14.8961,488.96
72.272,33.0,12.3,14.8958,488.96
72.3227,33.005,12.3,14.9041,488.96
72.3233,33.005,12.3,14.9041,488.96
72.3239,33.005,12.3,14.9041,488.96
72.3246,33.005,12.301,14.8955,488.96
72.3252,33.005,12.301,14.8952,488.99
72.3258,33.005,12.301,14.8949,488.99
72.3264,33.005,12.3,14.9033,488.99
72.3271,33.005,12.3,14.9033,488.99
72.2771,33.0,12.299,14.9033,488.99
72.2771,33.0,12.302,14.9033,488.99
72.2264,32.995,12.302,14.9033,488.99
72.2258,32.995,12.302,14.9033,488.99
72.2252,32.995,12.302,14.9033,488.99
72.1739,32.99,12.302,14.9033,488.99
72.1727,32.99,12.303,14.9033,488.99
72.222,32.995,12.303,14.9033,488.99
72.1708,32.99,12.303,14.9033,488.96
72.1695,32.99,12.303,14.9119,488.96
72.1683,32.99,12.303,14.9122,488.96
72.167,32.99,12.303,14.9124,488.96
72.1658,32.99,12.305,14.9041,488.96
72.1645,32.99,12.305,14.9041,488.96
72.1633,32.99,12.305,14.9041,488.96
72.162,32.99,12.303,14.9041,488.96
72.1608,32.99,12.303,14.9041,488.96
72.1089,32.985,12.303,14.9041,488.96
72.107,32.985,12.303,14.9041,488.96
72.1052,32.985,12.303,14.9041,488.96
72.1033,32.985,12.303,14.9041,488.96
72.1014,32.985,12.303,14.9041,488.96
72.1501,32.99,12.303,14.9041,488.96
72.1489,32.99,12.303,14.9041,488.96
72.1476,32.99,12.303,14.9041,488.96
72.1464,32.99,12.303,14.9041,488.96
72.1451,32.99,12.302,14.9041,488.96
72.1945,32.995,12.302,14.9041,488.96
72.1939,32.995,12.302,14.9041,488.96
72.1933,32.995,12.302,14.9041,488.96
72.1926,32.995,12.302,14.9041,488.96
72.192,32.995,12.302,14.9041,488.96
72.1914,32.995,12.302,14.9041,488.93
72.1401,32.99,12.302,14.9041,488.93
72.1389,32.99,12.302,14.9041,488.93
72.1376,32.99,12.302,14.9041,488.93
72.0858,32.985,12.302,14.9041,488.93
72.0839,32.985,12.302,14.9041,488.93
72.082,32.985,12.302,14.9041,488.93
72.0801,32.985,12.302,14.9041,488.93
72.0783,32.985,12.302,14.9041,488.93
72.0764,32.985,12.302,14.9041,488.93
72.0745,32.985,12.302,14.9041,488.93
72.1232,32.99,12.302,14.9041,488.93
72.122,32.99,12.302,14.9041,488.93
72.1714,32.995,12.302,14.9041,488.93
72.1707,32.995,12.302,14.9041,488.93
72.1701,32.995,12.302,14.9041,488.93
72.2201,33.0,12.302,14.9041,488.93
72.2201,33.0,12.302,14.9041,488.93
72.2201,33.0,12.302,14.9041,488.93
72.2201,33.0,12.302,14.9041,488.93
72.2708,33.005,12.301,14.9041,488.93
72.2714,33.005,12.301,14.9041,488.93
72.2214,33.0,12.301,14.9041,488.96
72.2214,33.0,12.301,14.9041,488.96
72.2214,33.0,12.301,14.9041,488.96
72.2214,33.0,12.302,14.9041,488.96
72.1707,32.995,12.302,14.9041,488.96
72.1701,32.995,12.302,14.9041,488.93
72.1695,32.995,12.302,14.9041,488.93
72.1689,32.995,12.302,14.9041,488.93
72.1176,32.99,12.302,14.9041,488.93
72.1163,32.99,12.302,14.9041,488.93
72.1151,32.99,12.303,14.9041,488.93
72.1138,32.99,12.303,14.9127,488.93
72.1126,32.99,12.303,14.913,488.93
72.1113,32.99,12.303,14.9133,488.93
72.1101,32.99,12.305,14.9049,488.93
72.1088,32.99,12.305,14.9049,488.93
72.057,32.985,12.305,14.9049,488.93
72.0551,32.985,12.303,14.9049,488.93
72.0532,32.985,12.303,14.9049,488.9
72.0007,32.98,12.303,14.9049,488.9
72.0489,32.985,12.303,14.9049,488.9
72.047,32.985,12.303,14.9049,488.9
72.0957,32.99,12.303,14.9049,488.9
72.0945,32.99,12.303,14.9049,488.9
72.1438,32.995,12.303,14.9049,488.9
72.1938,33.0,12.302,14.9049,488.93
72.2445,33.005,12.302,14.9049,488.93
72.2957,33.01,12.302,14.9049,488.93
72.3476,33.015,12.302,14.9049,488.93
72.4001,33.02,12.302,14.9049,488.96
72.4532,33.025,12.301,14.9049,488.96
72.507,33.03,12.301,14.9049,488.96
72.5614,33.035,12.301,14.9049,488.99
72.6164,33.04,12.301,14.9049,488.99
72.672,33.045,12.301,14.9049,489.02
72.7282,33.05,12.301,14.9049,489.02
72.7851,33.055,12.301,14.9049,489.05
72.8426,33.06,12.301,14.9049,489.05
72.8501,33.06,12.301,14.9049,489.08
72.9082,33.065,12.301,14.9049,489.08
72.9163,33.065,12.302,14.9049,489.11
72.9751,33.07,12.302,14.9049,489.11
72.9838,33.07,12.302,14.9049,489.14
