TI_1145.PV,PIC1101A.PV,PDR1401.PV,LRCA1101.MV,LRCA1101.PV,TI1105A.PV,TIC_1101.PV,PDR1103.PV
488.99,14.8969,12.302,72.4364,33.015,541.04,521.22,9.534
488.99,14.8966,12.302,72.4383,33.015,541.04,521.19,9.536
488.99,14.8963,12.302,72.4908,33.02,541.04,521.16,9.54
488.99,14.8961,12.3,72.4933,33.02,541.0,521.07,9.545
488.99,14.9044,12.3,72.4958,33.02,540.92,520.92,9.55
489.02,14.9044,12.3,72.4983,33.02,540.76,520.74,9.559
489.02,14.9044,12.3,72.5008,33.02,540.56,520.5,9.57
489.02,14.9044,12.301,72.5033,33.02,540.32,520.26,9.583
489.02,14.9044,12.302,72.4552,33.015,540.08,520.05,9.595
489.02,14.9044,12.302,72.4064,33.01,539.84,519.96,9.598
489.02,14.9044,12.302,72.4077,33.01,539.76,519.87,9.601
489.02,14.9044,12.302,72.3583,33.005,539.68,519.84,9.597
489.02,14.9044,12.303,72.3083,33.0,539.64,519.81,9.592
489.02,14.9044,12.303,72.3083,33.0,539.6,519.81,9.589
489.02,14.9044,12.303,72.3083,33.0,539.6,519.81,9.587
489.02,14.913,12.303,72.3083,33.0,539.6,519.81,9.586
489.02,14.9133,12.304,72.3083,33.0,539.6,519.81,9.587
489.02,14.9136,12.304,72.3083,33.0,539.6,519.81,9.589
489.02,14.9052,12.306,72.3083,33.0,539.6,519.81,9.592
489.02,14.9052,12.306,72.3083,33.0,539.6,519.78,9.595
488.99,14.9052,12.306,72.3083,33.0,539.6,519.81,9.595
488.99,14.9052,12.305,72.2577,32.995,539.6,519.78,9.594
488.99,14.9052,12.305,72.2571,32.995,539.56,519.75,9.593
488.99,14.9052,12.305,72.2564,32.995,539.52,519.69,9.594
488.99,14.9052,12.305,72.2558,32.995,539.48,519.69,9.596
488.99,14.9052,12.305,72.2552,32.995,539.48,519.69,9.6
488.99,14.9052,12.305,72.2546,32.995,539.48,519.69,9.596
488.99,14.9052,12.305,72.2033,32.99,539.48,519.69,9.593
488.99,14.9052,12.305,72.2021,32.99,539.48,519.66,9.591
488.99,14.9052,12.304,72.2008,32.99,539.44,519.66,9.592
488.99,14.9052,12.304,72.1996,32.99,539.44,519.66,9.593
