TIC_1155.MV,PI_1180.PV,PIC1101A.PV,PR1102A.PV,PDR1401.PV,LRCA1101.MV,PDR1103.PV,TI_1145.PV
20.3467,0.2081,14.9055,0.1969,12.304,72.2983,9.557,488.99
20.3466,0.2081,14.9055,0.1969,12.304,72.2983,9.553,488.99
20.3466,0.2082,14.9055,0.1969,12.304,72.349,9.55,488.99
20.3465,0.2083,14.9055,0.197,12.304,72.3496,9.548,488.99
20.3464,0.2084,14.9055,0.1972,12.303,72.4008,9.548,488.99
20.3463,0.2086,14.9055,0.1973,12.303,72.4021,9.549,488.99
20.3463,0.2089,14.9055,0.1976,12.303,72.4033,9.551,488.99
20.3462,0.2091,14.9055,0.1979,12.303,72.4552,9.555,488.99
20.3461,0.2094,14.9055,0.1982,12.303,72.4571,9.561,488.99
20.346,0.2098,14.9055,0.1985,12.303,72.459,9.569,488.99
20.3459,0.2102,14.9055,0.1989,12.303,72.4608,9.577,489.02
20.3459,0.2105,14.9055,0.1993,12.303,72.4121,9.587,489.02
20.3458,0.2103,14.9055,0.1992,12.303,72.4133,9.598,489.02
20.3457,0.2097,14.9055,0.1984,12.303,72.364,9.603,489.02
20.3456,0.209,14.9055,0.1979,12.303,72.314,9.596,489.02
20.3456,0.2086,14.9055,0.1975,12.303,72.314,9.588,489.02
20.3455,0.2082,14.9055,0.1971,12.303,72.314,9.578,489.02
20.3454,0.2079,14.9055,0.1967,12.304,72.314,9.567,489.02
20.3453,0.2077,14.9055,0.1965,12.304,72.314,9.557,489.02
20.3453,0.2076,14.9055,0.1963,12.304,72.314,9.547,489.02
20.3452,0.2074,14.9055,0.1962,12.304,72.3646,9.539,489.02
20.3451,0.2074,14.9055,0.1963,12.304,72.4158,9.533,489.02
20.345,0.2075,14.9055,0.1964,12.304,72.4171,9.53,489.02
20.345,0.2078,14.9055,0.1965,12.304,72.469,9.528,489.02
20.3449,0.208,14.9055,0.1967,12.304,72.4708,9.528,489.02
20.3448,0.2083,14.9055,0.197,12.304,72.5234,9.53,489.02
20.3447,0.2086,14.9055,0.1974,12.303,72.5765,9.534,489.05
20.3447,0.209,14.9055,0.1977,12.303,72.5796,9.541,489.05
20.3446,0.2094,14.9055,0.1983,12.303,72.5827,9.548,489.05
20.3445,0.2098,14.9055,0.1987,12.303,72.5858,9.56,489.05
20.3444,0.21,14.9055,0.1988,12.303,72.589,9.572,489.05
20.3443,0.2102,14.9055,0.199,12.303,72.5415,9.581,489.05
20.3443,0.2103,14.9055,0.1991,12.303,72.544,9.588,489.05
