TIA1160A.PV,AR1410B.PV,DR1107.PV,FRCA1112.PV,FI1112.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,CCSFIC1401.PV,TIC_1155.PV
184.015,86.4,286.5825,3000.0,3000.0,148.6687,145.695,0.2083,186263,590.005
184.015,86.775,287.4825,3000.0,3000.0,148.6687,145.695,0.2083,186263,590.005
184.015,86.025,287.46,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.005
184.015,86.8,287.2575,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.005
184.015,86.325,287.01,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.005
184.015,86.1,286.6275,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.05,287.2125,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.45,286.6275,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.95,287.145,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.1,286.695,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.75,286.695,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.675,286.74,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.025,287.0775,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.975,286.785,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.825,286.9875,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.575,287.0775,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.425,286.74,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.4,286.9425,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.35,287.3925,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.85,287.1675,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.725,287.28,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.4,286.5375,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.9,286.785,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.275,287.2575,3000.0,3000.0,148.6687,145.695,0.2083,186263,590.0375
184.015,86.975,286.605,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.15,286.5825,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.225,287.46,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.125,287.3925,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.95,287.505,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.575,287.3925,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.5,287.28,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.1,286.6275,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.025,287.37,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.375,286.8975,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.1,286.5825,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.3,286.8975,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.825,286.6275,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.475,286.8075,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.1,286.695,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.125,286.8525,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.225,287.1,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.725,287.235,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.4,287.415,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.975,287.1675,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.15,287.4375,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.0375
184.015,86.625,287.055,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.125,287.0325,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.075,286.83,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.825,286.695,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.225,286.56,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.5,286.8075,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.15,287.0775,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.775,287.1,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
