DR1107.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,AR1410B.PV,CCSFIC1401.PV,FRCA1112.PV,TIC_1155.PV,FI1112.PV,TI_1147.PV
286.5825,148.6687,145.695,0.2083,86.4,186263,3000.0,590.005,3000.0,686.1125
287.4825,148.6687,145.695,0.2083,86.775,186263,3000.0,590.005,3000.0,686.1125
287.46,148.6687,145.695,0.2082,86.025,186263,3000.0,590.005,3000.0,686.1125
287.2575,148.6687,145.695,0.2082,86.8,186263,3000.0,590.005,3000.0,686.1125
287.01,148.6687,145.695,0.2082,86.325,186263,3000.0,590.005,3000.0,686.1125
286.6275,148.6687,145.695,0.2082,86.1,186263,3000.0,590.0375,3000.0,686.1125
287.2125,148.6687,145.695,0.2082,86.05,186263,3000.0,590.0375,3000.0,686.1125
286.6275,148.6687,145.695,0.2082,86.45,186263,3000.0,590.0375,3000.0,686.1125
287.145,148.6687,145.695,0.2082,86.95,186263,3000.0,590.0375,3000.0,686.1125
286.695,148.6687,145.695,0.2082,86.1,186263,3000.0,590.0375,3000.0,686.1125
286.695,148.6687,145.695,0.2082,86.75,186263,3000.0,590.0375,3000.0,686.1125
286.74,148.6687,145.695,0.2082,86.675,186263,3000.0,590.0375,3000.0,686.1125
287.0775,148.6687,145.695,0.2082,86.025,186263,3000.0,590.0375,3000.0,686.1125
286.785,148.6687,145.695,0.2082,86.975,186263,3000.0,590.0375,3000.0,686.1125
286.9875,148.6687,145.695,0.2082,86.825,186263,3000.0,590.0375,3000.0,686.1125
287.0775,148.6687,145.695,0.2082,86.575,186263,3000.0,590.0375,3000.0,686.1125
286.74,148.6687,145.695,0.2082,86.425,186263,3000.0,590.0375,3000.0,686.1125
286.9425,148.6687,145.695,0.2082,86.4,186263,3000.0,590.0375,3000.0,686.1125
287.3925,148.6687,145.695,0.2082,86.35,186263,3000.0,590.0375,3000.0,686.1125
287.1675,148.6687,145.695,0.2082,86.85,186263,3000.0,590.0375,3000.0,686.1125
287.28,148.6687,145.695,0.2082,86.725,186263,3000.0,590.0375,3000.0,686.1125
286.5375,148.6687,145.695,0.2082,86.4,186263,3000.0,590.0375,3000.0,686.1125
286.785,148.6687,145.695,0.2082,86.9,186263,3000.0,590.0375,3000.0,686.1125
287.2575,148.6687,145.695,0.2083,86.275,186263,3000.0,590.0375,3000.0,686.1125
286.605,148.6687,145.695,0.2082,86.975,186263,3000.0,590.0375,3000.0,686.1125
286.5825,148.6687,145.695,0.2082,86.15,186263,3000.0,590.0375,3000.0,686.1125
287.46,148.6687,145.695,0.2082,86.225,186263,3000.0,590.0375,3000.0,686.1125
287.3925,148.6687,145.695,0.2082,86.125,186263,3000.0,590.0375,3000.0,686.1125
287.505,148.6687,145.695,0.2082,86.95,186263,3000.0,590.0375,3000.0,686.1125
287.3925,148.6687,145.695,0.2082,86.575,186263,3000.0,590.0375,3000.0,686.1125
287.28,148.6687,145.695,0.2082,86.5,186263,3000.0,590.0375,3000.0,686.1125
286.6275,148.6687,145.695,0.2082,86.1,186263,3000.0,590.0375,3000.0,686.1125
287.37,148.6687,145.695,0.2082,86.025,186263,3000.0,590.0375,3000.0,686.1125
286.8975,148.6687,145.695,0.2082,86.375,186263,3000.0,590.0375,3000.0,686.1125
286.5825,148.6687,145.695,0.2082,86.1,186263,3000.0,590.0375,3000.0,686.1125
286.8975,148.6687,145.695,0.2082,86.3,186263,3000.0,590.0375,3000.0,686.1125
