DR1107.PV,WRA1103.PV,WR1104.PV,FI1111.PV,FRCA1111.PV,CCSFIC1401.PV,TIC_1155.PV,AR1410B.PV,TRC1118A.PV,TI1118A.PV
286.5825,148.6687,145.695,4999.1797,4999.1797,186263,590.005,86.4,680.05,680.05
287.4825,148.6687,145.695,5000.04,5000.04,186263,590.005,86.775,680.05,680.05
287.46,148.6687,145.695,5000.04,5000.04,186263,590.005,86.025,680.05,680.05
287.2575,148.6687,145.695,5000.04,5000.04,186263,590.005,86.8,680.05,680.05
287.01,148.6687,145.695,5000.04,5000.04,186263,590.005,86.325,680.05,680.05
286.6275,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.1,680.05,680.05
287.2125,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.05,680.05,680.05
286.6275,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.45,680.05,680.05
287.145,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.95,680.05,680.05
286.695,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.1,680.05,680.05
286.695,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.75,680.05,680.05
286.74,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.675,680.05,680.05
287.0775,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.025,680.05,680.05
286.785,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.975,680.05,680.05
286.9875,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.825,680.05,680.05
287.0775,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.575,680.05,680.05
286.74,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.425,680.05,680.05
286.9425,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.4,680.05,680.05
287.3925,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.35,680.05,680.05
287.1675,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.85,680.05,680.05
287.28,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.725,680.05,680.05
286.5375,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.4,680.05,680.05
286.785,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.9,680.05,680.05
287.2575,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.275,680.05,680.05
286.605,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.975,680.05,680.05
286.5825,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.15,680.05,680.05
287.46,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.225,680.05,680.05
287.3925,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.125,680.05,680.05
287.505,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.95,680.05,680.05
287.3925,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.575,680.05,680.05
287.28,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.5,680.05,680.05
286.6275,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.1,680.05,680.05
287.37,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.025,680.05,680.05
286.8975,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.375,680.05,680.05
286.5825,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.1,680.05,680.05
286.8975,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.3,680.05,680.05
286.6275,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.825,680.05,680.05
286.8075,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.475,680.05,680.05
286.695,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.1,680.05,680.05
286.8525,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.125,680.05,680.05
287.1,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.225,680.05,680.05
287.235,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.725,680.05,680.05
287.415,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.4,680.05,680.05
287.1675,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.975,680.05,680.05
287.4375,148.6687,145.695,5000.04,5000.04,186263,590.0375,86.15,680.05,680.05
287.055,148.6687,145.695,5000.04,5000.04,186263,590.07,86.625,680.05,680.05
287.0325,148.6687,145.695,5000.04,5000.04,186263,590.07,86.125,680.05,680.05
286.83,148.6687,145.695,5000.04,5000.04,186263,590.07,86.075,680.05,680.05
286.695,148.6687,145.695,5000.04,5000.04,186263,590.07,86.825,680.05,680.05
286.56,148.6687,145.695,5000.04,5000.04,186263,590.07,86.225,680.0,680.0
286.8075,148.6687,145.695,5000.04,5000.04,186263,590.07,86.5,680.0,680.0
287.0775,148.6687,145.695,5000.04,5000.04,186263,590.07,86.15,680.0,680.0
287.1,148.6687,145.695,5000.04,5000.04,186263,590.07,86.775,680.0,680.0
286.8975,148.6687,145.695,5000.04,5000.04,186263,590.07,86.025,680.0,680.0
286.92,148.6687,145.695,5000.04,5000.04,186263,590.07,86.5,680.0,680.0
286.65,148.6687,145.695,5000.04,5000.04,186263,590.07,86.325,680.0,680.0
287.37,148.6687,145.695,5000.04,5000.04,186263,590.07,86.575,680.0,680.0
287.2125,148.6687,145.695,5000.04,5000.04,186263,590.07,86.35,680.0,680.0
