DR1107.PV,WR1104.PV,FRCA1111.PV,CCSFIC1401.PV,TIC_1155.PV,AR1410B.PV,TIC_1155.MV,FRCA1112.MV,LRCA1101.PV,FI1113.PV
286.5825,145.695,4999.1797,186263,590.005,86.4,20.5313,15.7319,32.995,2.6
287.4825,145.695,5000.04,186263,590.005,86.775,20.5313,15.7319,32.995,2.6
287.46,145.695,5000.04,186263,590.005,86.025,20.5313,15.7319,32.995,2.6
287.2575,145.695,5000.04,186263,590.005,86.8,20.5313,15.7319,32.995,2.6
287.01,145.695,5000.04,186263,590.005,86.325,20.5313,15.7319,32.995,2.6
286.6275,145.695,5000.04,186263,590.0375,86.1,20.5161,15.7319,32.995,2.6
287.2125,145.695,5000.04,186263,590.0375,86.05,20.5156,15.7319,32.995,2.6
286.6275,145.695,5000.04,186263,590.0375,86.45,20.5151,15.7319,32.995,2.6
287.145,145.695,5000.04,186263,590.0375,86.95,20.5146,15.7319,32.995,2.6
286.695,145.695,5000.04,186263,590.0375,86.1,20.5141,15.7319,32.995,2.6
286.695,145.695,5000.04,186263,590.0375,86.75,20.5136,15.7319,32.995,2.6
286.74,145.695,5000.04,186263,590.0375,86.675,20.5131,15.7319,32.995,2.6002
287.0775,145.695,5000.04,186263,590.0375,86.025,20.5126,15.7319,32.995,2.6002
286.785,145.695,5000.04,186263,590.0375,86.975,20.5121,15.7319,33.0,2.6002
286.9875,145.695,5000.04,186263,590.0375,86.825,20.5116,15.7319,33.0,2.6002
287.0775,145.695,5000.04,186263,590.0375,86.575,20.5107,15.7319,33.0,2.6
286.74,145.695,5000.04,186263,590.0375,86.425,20.5102,15.7319,33.0,2.6
286.9425,145.695,5000.04,186263,590.0375,86.4,20.5097,15.7319,33.0,2.6
287.3925,145.695,5000.04,186263,590.0375,86.35,20.5092,15.7319,33.0,2.6
287.1675,145.695,5000.04,186263,590.0375,86.85,20.5087,15.7319,33.0,2.6
287.28,145.695,5000.04,186263,590.0375,86.725,20.5082,15.7319,33.0,2.6
286.5375,145.695,5000.04,186263,590.0375,86.4,20.5077,15.7319,33.0,2.6
286.785,145.695,5000.04,186263,590.0375,86.9,20.5072,15.7319,33.0,2.6
287.2575,145.695,5000.04,186263,590.0375,86.275,20.5067,15.7319,33.0,2.6
286.605,145.695,5000.04,186263,590.0375,86.975,20.5062,15.7319,33.0,2.6
286.5825,145.695,5000.04,186263,590.0375,86.15,20.5057,15.7319,32.995,2.6
287.46,145.695,5000.04,186263,590.0375,86.225,20.5052,15.7319,32.995,2.6
287.3925,145.695,5000.04,186263,590.0375,86.125,20.5047,15.7319,32.995,2.6
287.505,145.695,5000.04,186263,590.0375,86.95,20.5043,15.7319,32.995,2.6
287.3925,145.695,5000.04,186263,590.0375,86.575,20.5038,15.7319,32.995,2.6002
287.28,145.695,5000.04,186263,590.0375,86.5,20.5033,15.7319,33.0,2.6002
286.6275,145.695,5000.04,186263,590.0375,86.1,20.5028,15.7319,33.0,2.6002
287.37,145.695,5000.04,186263,590.0375,86.025,20.5023,15.7319,33.0,2.6002
286.8975,145.695,5000.04,186263,590.0375,86.375,20.5018,15.7319,33.0,2.6002
286.5825,145.695,5000.04,186263,590.0375,86.1,20.5013,15.7319,33.0,2.6002
286.8975,145.695,5000.04,186263,590.0375,86.3,20.5008,15.7319,33.0,2.6002
286.6275,145.695,5000.04,186263,590.0375,86.825,20.5003,15.7319,33.0,2.6002
286.8075,145.695,5000.04,186263,590.0375,86.475,20.4998,15.7319,33.0,2.6002
286.695,145.695,5000.04,186263,590.0375,86.1,20.4993,15.7319,33.0,2.6002
286.8525,145.695,5000.04,186263,590.0375,86.125,20.4988,15.7319,33.0,2.6002
287.1,145.695,5000.04,186263,590.0375,86.225,20.4984,15.7319,33.0,2.6002
287.235,145.695,5000.04,186263,590.0375,86.725,20.4979,15.7319,33.0,2.6
287.415,145.695,5000.04,186263,590.0375,86.4,20.4974,15.7319,33.0,2.5996
287.1675,145.695,5000.04,186263,590.0375,86.975,20.4969,15.7319,33.0,2.6
287.4375,145.695,5000.04,186263,590.0375,86.15,20.4964,15.7319,33.0,2.6
287.055,145.695,5000.04,186263,590.07,86.625,20.4806,15.7319,33.0,2.6
287.0325,145.695,5000.04,186263,590.07,86.125,20.4796,15.7319,33.0,2.6
286.83,145.695,5000.04,186263,590.07,86.075,20.4786,15.7319,33.0,2.6
286.695,145.695,5000.04,186263,590.07,86.825,20.4777,15.7319,33.0,2.6
286.56,145.695,5000.04,186263,590.07,86.225,20.4767,15.7319,33.0,2.6
286.8075,145.695,5000.04,186263,590.07,86.5,20.4757,15.7319,33.0,2.6
287.0775,145.695,5000.04,186263,590.07,86.15,20.4747,15.7319,33.0,2.6
287.1,145.695,5000.04,186263,590.07,86.775,20.4737,15.7319,33.0,2.6
286.8975,145.695,5000.04,186263,590.07,86.025,20.4727,15.7319,33.0,2.6
286.92,145.695,5000.04,186263,590.07,86.5,20.4718,15.7319,33.0,2.6
