DR1106.PV,DR1106.PV,0.029
FI_1127.PV,FI_1127.PV,0.076
FRC1424.PV,FRC1424.PV,0.039
FRC1424.PV,FRCA1110.MV,0.034
FRC1424.PV,PDRSA1104.PV,0.038
FRCA1110.MV,FRC1424.PV,0.018
FRCA1110.MV,FRCA1110.MV,0.064
LRCA1101.PV,FI_1127.PV,0.013
LRCA1101.PV,FRCA1110.MV,0.011
LRCA1101.PV,LRCA1101.PV,0.043
LRCA1101.PV,PI_1132B.PV,0.043
LRCA1101.PV,TI_1145.PV,0.007
PDRSA1104.PV,FRC1424.PV,0.052
PDRSA1104.PV,FRCA1110.MV,0.021
PDRSA1104.PV,PDRSA1104.PV,0.004
PDRSA1104.PV,PI_1132B.PV,0.045
PDRSA1104.PV,TI_1145.PV,0.039
PI_1132B.PV,PDRSA1104.PV,0.004
PI_1132B.PV,PI_1132B.PV,0.013
PI_1132B.PV,TI_1142.PV,0.034
TI1105A.PV,FI_1127.PV,0.009
TI1105A.PV,FRC1424.PV,0.007
TI1105A.PV,PDRSA1104.PV,0.009
TI1105A.PV,PI_1132B.PV,0.033
TI1105A.PV,TI1105A.PV,0.057
TI1105A.PV,TI_1142.PV,0.007
TI_1142.PV,FRC1424.PV,0.007
TI_1142.PV,FRCA1110.MV,0.006
TI_1142.PV,PDRSA1104.PV,0.006
TI_1142.PV,PI_1132B.PV,0.01
TI_1142.PV,TI_1142.PV,0.038
TI_1142.PV,TI_1145.PV,0.004
TI_1145.PV,PDRSA1104.PV,0.005
TI_1145.PV,PI_1132B.PV,0.014
TI_1145.PV,TI_1142.PV,0.046
TI_1145.PV,TI_1145.PV,0.031
