LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.23843292421863,32.994464669947774,9.596544437856897,4.178,12.304,45.54,25.55,14.9055,0.1783,0.2097,0.1984,539.76,84.69,85.0725,85.2525,82.275,83.445,82.02,42.9467,519.93,20.3464,488.96
72.22639788711729,32.993293699154684,9.598961344729656,4.17,12.304,45.372,25.473,14.9055,0.1782,0.2099,0.1986,539.72,84.6375,85.0425,85.2975,82.245,83.4675,82.0125,42.9583,519.84,20.3463,488.96
72.21411725462892,32.99210472826166,9.601436433615108,4.159,12.304,45.144,25.3795,14.9055,0.1782,0.2101,0.1988,539.64,84.6825,85.02,85.32,82.245,83.49,81.9675,42.9702,519.75,20.3463,488.96
72.20373915858418,32.99110612084835,9.603774459420217,4.146,12.304,44.928,25.275,14.9055,0.1781,0.2103,0.1991,539.56,84.63,85.02,85.3425,82.26,83.475,81.9375,42.9862,519.63,20.3462,488.96
72.1956320227785,32.99034333148058,9.605074743193967,4.129,12.304,44.724,25.154,14.9055,0.1779,0.2104,0.1993,539.4,84.66,85.035,85.3425,82.2975,83.4525,81.945,42.9952,519.57,20.3461,488.96
72.18945351413284,32.98979035219556,9.604637604283827,4.109,12.304,45.6,25.0385,14.9055,0.1769,0.2095,0.1984,539.36,84.675,85.0125,85.3725,82.3425,83.415,81.9975,42.9895,519.63,20.346,488.96
72.18658074958553,32.989593523359794,9.601363977403556,4.047,12.304,46.296,25.2475,14.9055,0.176,0.209,0.1977,539.4,84.705,84.9825,85.35,82.3875,83.46,82.0275,42.9834,519.69,20.3459,488.96
72.18807230530206,32.98986794101949,9.594157307350184,4.047,12.304,46.296,25.2475,14.9055,0.176,0.209,0.1977,539.4,84.705,84.9825,85.35,82.3875,83.46,82.0275,42.9847,519.69,20.3459,488.96
72.19388955262575,32.99059695919982,9.583825561685419,4.031,12.304,47.346,25.902,14.9055,0.1768,0.2079,0.1966,539.64,84.705,84.9825,85.365,82.365,83.55,81.975,42.9409,520.05,20.3458,488.96
72.20437925515164,32.99179432284986,9.571776521066907,4.111,12.304,47.742,26.2045,14.9055,0.1776,0.2075,0.1963,539.84,84.6825,84.99,85.3275,82.35,83.58,81.9525,42.9143,520.26,20.3457,488.96
72.21788654715996,32.993286097155135,9.558740842208646,4.111,12.304,47.742,26.2045,14.9055,0.1776,0.2075,0.1963,539.84,84.6825,84.99,85.3275,82.35,83.58,81.9525,42.9133,520.26,20.3456,488.96
72.23249450983008,32.99486987831204,9.545676300375487,4.197,12.304,48.006,26.463,14.9055,0.1784,0.2073,0.196,540.04,84.7125,84.9975,85.365,82.35,83.58,81.96,42.886,520.47,20.3456,488.96
