x0,x1,x2,x3,x4,x5,x6,x7
-0.065,-0.659,-2.782,2.033,-1.835,1.897,-0.152,1.621
-0.865,-0.108,-0.39,0.67,0.469,-1.357,0.636,0.446
-0.115,-0.41,-0.705,0.547,-1.654,-0.041,-1.287,0.686
1.109,-0.203,1.296,-1.784,0.517,1.392,-0.168,-2.101
0.061,2.637,-0.546,-0.157,0.304,0.411,-1.003,0.898
-0.082,-0.813,2.061,0.791,-0.38,0.231,1.284,1.361
0.789,0.24,-0.36,2.984,1.793,-0.634,0.687,-1.453
0.248,0.145,-0.888,-0.59,1.786,-1.073,0.666,0.316
0.028,2.037,1.439,0.526,0.726,-0.221,1.717,1.255
1.42,-0.98,0.175,-0.343,-0.556,1.132,-0.608,-0.102
1.612,-0.031,0.284,-0.159,-1.129,-0.782,1.586,-1.457
0.656,-0.705,1.088,1.067,-1.215,-0.764,0.758,-2.183
-0.256,0.263,-0.196,0.144,-0.099,2.142,1.632,-1.004
1.553,1.026,-0.673,-1.23,-0.505,0.094,0.135,-0.027
1.235,-0.742,0.802,-1.668,-0.223,-0.295,-2.71,0.424
0.764,-0.219,-0.336,1.148,-2.66,-0.572,0.345,-0.076
-1.2,0.857,-0.466,1.72,-0.753,0.468,-0.809,2.042
0.177,0.006,-0.684,-1.874,-0.513,0.035,0.152,-1.272
-0.72,0.067,-0.043,-0.355,-1.941,0.363,-1.282,-0.334
-0.127,-0.787,-0.612,0.129,-0.488,-1.755,-0.404,0.138
0.278,1.53,0.868,-0.352,-1.329,-0.905,1.667,-1.01
0.136,-0.423,-0.142,-0.01,-0.64,-0.121,-0.206,0.583
-0.448,-0.274,0.33,0.162,-0.877,1.235,-0.769,-0.326
1.326,-0.291,-1.351,0.948,-1.544,0.759,-0.416,-0.636
-1.687,0.987,0.806,-0.314,1.212,1.387,0.66,-0.73
0.775,1.183,0.66,2.806,1.359,0.309,0.271,0.573
-1.85,-0.176,0.777,0.393,-1.043,-0.542,0.002,0.04
0.422,0.016,1.501,-0.446,0.248,-1.04,-1.005,-0.351
-0.866,0.519,0.381,0.349,-1.2,-1.518,-0.229,0.284
0.925,0.206,0.651,0.347,-1.291,-0.472,0.93,-2.352
0.122,0.799,0.353,-0.87,-0.139,0.676,0.337,1.889
0.285,1.115,-0.477,-0.075,0.003,0.401,0.33,1.328
-0.999,-0.633,-0.131,0.84,-1.173,1.431,-2.625,-0.28
-0.63,-0.218,-0.131,0.396,0.17,0.681,0.272,-0.38
0.244,-0.043,1.003,-0.51,-0.854,-1.483,-0.188,0.018
0.626,-0.485,-0.845,0.697,-0.119,-0.252,1.36,0.408
3.006,-2.251,-1.78,-0.163,-0.469,0.439,-1.682,-1.45
0.26,-0.794,0.98,0.329,-1.183,0.007,0.582,-0.817
1.024,-0.805,0.801,-0.245,2.279,1.015,0.903,-0.925
-1.545,0.251,-0.461,-1.262,0.438,-1.018,-1.332,-0.104
-1.315,0.45,-1.402,-0.068,0.868,-1.578,0.739,-0.316
-0.327,0.313,-1.109,0.14,-0.646,-0.076,1.508,-2.076
-1.181,0.288,0.885,2.187,1.015,-1.325,-0.162,-0.496
1.542,-0.909,0.079,2.401,0.534,-1.869,1.217,-0.62
-0.382,-1.463,1.219,0.553,1.303,-0.719,-1.639,-0.465
1.436,0.815,-0.658,-1.351,-0.344,-0.098,0.696,0.94
1.543,-1.477,-0.336,-1.853,0.745,0.667,-0.251,-0.181
0.078,1.982,-0.498,-2.306,0.066,0.523,-0.193,1.477
0.543,0.303,0.329,2.402,0.532,0.002,0.255,0.613
-0.023,0.125,1.139,0.034,1.585,0.962,1.248,-0.3
0.58,0.401,0.745,0.401,-0.802,0.752,0.353,-0.728
0.525,-0.455,1.783,-0.464,-2.451,-0.08,-0.253,0.337
-0.091,0.736,-0.068,-1.233,-0.106,0.134,0.716,0.131
0.546,-0.125,1.243,1.286,0.438,0.825,-0.016,0.001
1.783,-0.834,0.074,-0.002,-0.219,-0.109,0.574,2.256
0.758,0.456,-1.832,-0.029,-0.823,-0.693,-0.938,0.594
0.365,2.75,1.957,-0.29,-1.162,0.3,0.674,0.489
