x0,x1,x2,x3,x4,x5,x6,x7
-0.654,-0.865,-0.277,0.549,0.191,-1.216,-0.736,-1.136
0.014,0.997,-0.812,-1.278,-0.204,-0.626,-0.15,2.238
1.636,0.634,-0.307,-0.435,-0.724,-1.368,0.114,-0.754
-1.032,0.333,0.01,0.016,0.01,1.634,0.128,1.179
0.251,0.191,0.992,-0.737,0.24,1.697,0.046,-0.857
-0.144,-0.036,1.502,-0.62,0.709,0.632,1.386,-0.469
-0.04,-2.039,0.362,0.939,1.156,-1.461,-0.268,0.431
-2.6,-0.372,-0.121,-2.534,0.682,-0.465,-0.048,0.767
-1.446,-2.366,0.261,0.36,0.161,-1.777,-0.555,-1.234
-0.151,1.122,-1.177,0.633,0.97,-1.254,0.56,-2.174
0.757,1.05,0.894,0.361,-0.629,-0.86,1.151,-1.471
0.683,-0.406,-0.1,1.449,-0.051,-0.031,-0.812,0.15
0.868,-0.211,0.448,0.878,-1.403,-0.752,-0.753,0.986
0.264,0.837,-0.742,-0.219,0.618,-0.292,-0.09,-0.317
-0.49,-0.071,0.664,2.198,0.353,0.964,0.3,-0.532
-0.915,-1.755,-1.377,1.158,-0.692,0.274,2.393,0.732
-0.291,-0.595,0.566,-2.174,-1.431,0.005,0.87,1.344
-0.631,1.716,-0.804,-0.207,0.71,1.635,0.242,-0.937
1.734,0.652,0.291,0.985,0.422,0.059,0.16,-0.16
0.518,-0.237,-0.307,-0.176,0.737,1.2,-0.706,-0.047
0.126,-0.735,-0.586,-0.338,0.033,-0.249,-1.247,0.181
-0.314,-0.126,-1.463,-1.41,0.877,-1.886,1.853,1.008
-0.139,-0.867,-1.193,-1.136,0.995,1.169,-1.514,0.15
-1.369,0.062,-1.066,1.616,-1.348,0.025,1.113,-0.834
0.282,-0.234,-0.646,3.153,-0.366,-0.706,-0.597,-0.814
0.295,1.48,-0.112,0.716,-0.17,0.633,1.102,-0.291
-0.137,-0.36,0.585,1.276,-2.025,0.08,2.033,-0.535
-0.601,0.397,1.482,1.557,0.438,0.649,1.468,0.654
-3.11,1.37,-0.152,0.05,-0.403,0.94,-0.348,-0.389
0.256,-0.918,-1.377,-0.214,0.801,1.183,0.806,-0.692
-0.893,0.779,-0.348,-1.666,-1.185,1.135,-0.268,-0.275
-0.156,-2.022,-1.842,-1.356,-0.559,-1.709,0.194,2.55
-1.264,-0.222,-0.023,-0.801,-0.424,-0.091,-0.664,1.547
-1.744,-0.357,-1.431,-0.609,0.961,-0.706,1.503,0.018
0.496,-0.299,-1.672,-0.682,-0.819,-0.084,0.699,0.224
0.301,-0.045,1.012,-1.294,-0.085,0.159,1.742,-0.979
-0.069,-0.564,-2.703,-1.075,1.645,1.006,1.266,-0.036
-0.99,0.358,0.353,-0.389,-0.295,-0.455,1.107,-0.912
-1.162,0.13,0.742,-1.403,0.985,1.241,-0.03,-1.674
-1.535,-2.217,-0.531,-0.083,-0.45,-0.004,-0.203,-1.198
-0.313,2.187,0.705,0.315,1.114,1.198,-1.262,-2.619
0.81,-1.301,-0.266,-0.463,0.841,1.628,0.345,-2.464
-0.541,0.569,1.176,-1.038,0.709,0.529,0.382,-0.756
1.084,0.55,0.034,-0.131,0.928,0.53,0.007,-0.749
0.983,0.365,0.02,0.494,0.649,-0.989,0.25,0.214
-1.425,0.582,-1.128,-0.145,-0.584,1.111,0.927,-1.437
1.727,-1.532,-0.637,-1.827,-1.79,-0.018,0.156,-2.16
-1.741,0.377,0.241,1.045,-0.493,1.469,0.478,0.121
-0.103,1.124,-0.054,-1.266,0.864,1.204,-0.948,0.153
-1.013,0.19,0.586,-0.326,1.052,-0.86,-0.49,0.564
0.132,0.572,0.55,0.176,-1.173,0.822,-1.719,-0.944
-0.743,0.226,0.913,1.598,-0.114,-0.45,0.968,0.024
1.925,-1.045,0.2,0.142,-0.345,-0.345,-0.264,0.335
1.322,-0.209,-1.09,0.069,0.109,0.406,-2.061,-1.179
0.012,-1.338,0.121,-0.839,0.721,0.328,0.549,0.169
0.043,0.191,-0.068,1.516,0.982,1.703,-1.06,0.098
-0.293,-0.727,-0.403,1.61,-0.309,1.992,-0.258,0.172
1.626,-1.76,-0.371,0.71,0.469,1.781,-0.395,0.887
-0.983,-1.877,-0.368,-0.353,-1.305,0.143,-2.1,-0.794
1.497,0.834,-0.567,-0.866,2.061,-1.337,0.092,-0.69
-0.19,1.676,0.66,-0.429,-0.277,-0.931,-0.057,-0.42
1.611,-0.549,1.903,-1.295,0.346,0.581,-1.128,0.033
0.985,-1.924,-0.405,1.071,-0.449,0.67,0.513,-0.503
-0.612,-1.117,-1.127,0.269,-0.944,-0.171,-1.54,1.956
-1.206,-1.565,-0.383,-1.728,0.399,0.358,-0.633,1.907
-2.5,0.52,0.889,0.58,-0.638,0.481,1.68,-0.531
-0.172,0.151,-1.596,-1.288,0.529,1.656,-0.966,-0.961
-0.105,-0.525,0.46,0.85,-0.325,0.436,-0.563,1.61
0.262,-0.562,-0.521,-1.894,1.351,0.753,-0.458,0.082
0.19,-0.133,-0.038,0.081,-0.975,0.578,1.472,0.689
-0.944,-1.735,-0.641,0.301,1.036,-1.855,0.765,-0.473
1.309,-0.172,0.011,0.407,-0.83,-0.093,-0.714,-0.064
-0.172,-1.619,-1.327,0.21,-0.429,-0.248,0.392,0.306
0.919,-1.219,-0.032,0.193,0.474,0.351,1.001,0.047
-0.738,-1.827,-0.237,-0.186,-0.153,1.389,0.591,-0.356
-0.396,1.363,-0.525,0.288,-1.048,-0.14,0.375,0.639
0.659,-0.671,1.081,-0.074,1.672,0.739,-0.846,0.456
-0.912,1.393,-0.48,-1.415,-1.366,1.572,1.232,1.111
-0.293,0.476,-1.177,-0.92,0.79,0.179,0.334,-0.087
0.009,-0.303,-0.333,-0.763,-1.554,0.031,-1.271,-0.712
-0.53,-0.187,0.084,0.021,0.828,-0.146,0.62,-1.112
-0.384,0.54,1.51,-0.278,-0.136,0.855,2.281,-0.029
0.364,-0.309,-0.966,-0.219,-0.123,0.09,1.304,-0.085
0.914,0.144,2.359,-0.735,0.509,0.447,1.448,-0.462
-0.66,0.571,0.044,-1.267,0.319,-0.707,-2.659,-0.311
-1.118,-1.377,0.859,-0.088,-0.479,-0.758,1.403,0.099
