x0,x1,x2,x3,x4,x5,x6,x7
-1.26,-0.006,-0.355,0.617,-0.474,-2.169,-0.228,-0.386
-1.197,1.072,0.548,0.295,0.391,-0.609,-1.095,0.489
-0.034,0.648,-0.351,-0.192,0.001,0.066,0.104,2.577
-0.198,0.668,0.556,1.611,0.852,0.335,-0.016,0.852
-2.016,-0.684,0.078,-1.484,1.036,-0.312,-0.544,-0.127
-0.764,-1.182,-1.451,-0.154,-0.84,0.718,0.154,-0.088
-0.944,-0.407,0.629,-1.344,-0.864,0.571,0.368,0.547
-0.613,0.756,0.929,-1.492,0.176,-1.026,-0.684,-0.807
-0.805,-0.973,1.187,-1.122,-0.228,-1.683,1.319,-1.439
-1.491,-0.469,0.941,-0.405,0.644,-0.718,0.206,-1.682
-0.151,-0.273,0.826,1.237,-1.532,-0.365,1.532,-0.161
1.848,0.695,0.641,-0.002,-0.264,-0.605,0.079,1.181
0.22,0.323,-0.398,1.906,-1.395,1.451,0.272,-1.356
-1.203,-1.269,-1.279,-0.102,-0.681,-0.535,0.768,-1.103
-1.993,0.402,0.529,0.799,-0.156,-0.843,-0.678,0.732
-0.694,0.24,0.269,1.759,-0.447,1.003,0.67,1.828
-0.1,-0.176,1.096,0.919,0.006,1.304,1.972,0.986
0.886,0.757,-0.845,-0.594,-0.766,2.205,0.21,-1.017
0.942,0.276,0.271,0.215,0.379,0.399,-0.427,1.235
2.877,0.105,-1.224,-0.612,-0.337,-0.913,-0.986,-1.375
0.766,-1.095,-1.552,-0.993,0.179,0.656,-0.808,1.767
-0.398,-0.716,0.684,0.947,0.184,0.272,-1.601,1.797
-0.972,-0.369,-0.915,0.863,0.154,1.686,-1.071,0.334
-1.737,-1.222,-1.087,0.923,-0.087,-0.989,1.435,0.229
-1.042,0.207,0.885,2.758,-1.016,0.534,-0.769,-1.006
-0.938,-0.957,0.679,0.598,-0.372,-0.324,1.663,0.512
-1.076,-0.548,0.378,2.122,0.134,0.481,1.495,-1.903
0.038,1.393,-1.287,2.78,-0.032,0.717,2.207,-1.088
-1.176,-0.843,0.241,0.969,0.407,1.388,0.778,-0.436
-1.324,1.043,-0.796,0.062,0.546,1.237,-0.47,-0.161
-1.059,0.923,-0.584,-0.704,-0.268,-0.515,-0.919,0.09
0.881,-0.781,0.356,-0.405,-0.726,-1.126,-0.427,0.503
-0.505,-0.293,0.31,-1.322,-1.498,0.61,-1.162,0.538
0.747,-0.628,-0.746,-0.86,1.111,-1.418,-1.078,0.257
0.06,-0.517,-0.385,-1.4,-0.682,-0.827,1.262,-0.361
-1.476,0.325,-1.057,-0.191,-0.193,-1.308,1.279,-1.051
