x0,x1,x2,x3,x4,x5,x6,x7
-0.133,-0.084,0.06,0.112,-0.012,-0.184,-0.005,0.056
-0.207,-0.061,-0.07,-0.027,-0.065,-0.219,-0.114,-0.187
0.139,-0.11,-0.115,-0.097,-0.122,-0.202,-0.173,-0.166
0.046,0.145,-0.057,-0.028,-0.016,-0.024,-0.118,-0.07
-0.055,-0.014,-0.071,0.033,-0.071,-0.114,0.11,-0.04
-0.01,-0.134,-0.054,0.087,-0.051,-0.093,-0.086,0.123
0.026,-0.089,0.097,-0.112,0.157,-0.072,-0.334,-0.098
0.109,-0.058,0.034,-0.036,0.134,-0.011,-0.036,-0.119
0.018,-0.087,-0.219,0.046,0.035,-0.181,-0.176,-0.186
-0.043,-0.07,-0.015,-0.016,-0.085,-0.215,-0.03,-0.199
0.12,-0.195,-0.131,-0.114,-0.189,-0.209,-0.124,-0.016
0.062,-0.115,-0.045,0.069,0.002,-0.267,-0.204,-0.174
0.132,-0.084,-0.265,-0.051,0.164,-0.142,-0.235,-0.16
-0.029,0.053,-0.039,-0.064,-0.079,-0.129,-0.225,-0.237
0.135,0.091,-0.354,-0.122,0.17,-0.193,-0.172,-0.304
0.037,-0.067,0.074,0.149,-0.046,-0.1,-0.112,-0.089
-0.065,-0.048,-0.099,0.07,0.04,0.002,-0.219,-0.136
-0.086,0.067,-0.256,-0.048,-0.08,-0.063,-0.102,-0.105
-0.103,0.102,-0.214,0.069,-0.01,0.036,0.055,-0.103
-0.206,0.016,0.032,-0.039,-0.029,-0.115,0.027,-0.181
0.021,-0.106,-0.151,-0.145,-0.009,-0.054,0.041,0.013
-0.136,-0.193,-0.097,-0.193,0.003,-0.114,0.011,0.032
-0.231,-0.279,-0.165,-0.045,-0.186,0.015,-0.081,-0.076
-0.011,-0.265,-0.119,-0.051,-0.129,-0.281,-0.004,-0.097
0.011,-0.109,0.134,-0.164,0.038,-0.064,-0.228,-0.194
-0.179,-0.13,-0.167,-0.105,-0.012,-0.05,-0.159,-0.037
-0.347,-0.051,-0.027,0.091,-0.198,-0.233,-0.14,0.065
-0.147,-0.18,0.101,0.042,-0.155,-0.02,-0.392,-0.101
-0.018,0.008,-0.11,0.106,-0.253,0.049,-0.356,-0.049
-0.107,0.07,-0.087,0.105,-0.219,0.083,-0.137,-0.136
0.008,0.096,0.149,0.037,-0.172,-0.161,-0.074,0.128
-0.024,0.024,-0.02,0.117,0.052,0.021,0.025,-0.073
0.035,0.075,0.097,0.076,0.087,0.153,0.135,0.263
-0.039,0.164,0.142,0.191,0.018,0.015,0.142,-0.161
0.048,-0.047,0.148,0.157,0.131,0.216,0.031,0.185
0.122,0.15,0.216,0.033,0.054,0.258,0.029,-0.016
0.148,0.097,0.14,0.065,-0.013,-0.025,0.227,0.026
0.001,-0.119,0.02,-0.009,-0.024,0.006,0.247,0.216
0.004,0.154,0.12,0.074,0.045,0.019,0.229,0.08
0.116,0.109,-0.03,0.044,-0.079,-0.028,0.146,-0.055
0.118,0.046,0.007,0.012,-0.097,-0.082,0.02,0.124
-0.073,-0.04,0.09,0.021,0.128,-0.15,0.154,0.117
0.134,-0.0,-0.151,0.025,0.051,-0.071,0.083,0.0
0.104,-0.017,0.017,0.062,0.067,0.031,-0.065,-0.044
-0.059,0.047,-0.088,0.029,-0.136,-0.107,0.077,-0.021
0.136,0.072,0.015,-0.027,-0.055,-0.114,-0.192,-0.126
-0.014,0.109,-0.2,0.058,0.056,0.012,0.038,-0.271
