DR1106.PV,TI_1145.PV,TI1105A.PV,FRSA1101.PV,FRC1102.MV,FI1102.PV,FRC1102.PV,PDR1106.PV,TIC_1101.MV,FIC_1122.MV,FIC_1127.PV,TIA2872.PV,PI_1180.PV,WR1104.PV,FRC1424.PV,TIA2876.PV,FV1111.OUT,FIC_1122.PV,PDR1401.PV,PR1102A.PV,FRC1113.PV,PRCA1101B.MV,LRCA1101.PV,LRCA1101.MV,DR1108.PV,FRCA1111.MV,FIC_1127.MV,FV1112.OUT,DR1105.PV,FRC1113.MV,FT_1122.PV,FRCA1112.MV,FRQ1623.PV,DR1107.PV,FI_1127.PV,PDRSA1104.PV,FI1112.PV,PIC1101A.PV,FV1110.OUT,FI1113.PV,AR1410B.PV,PDRCA1109.PV,TIC_1101.PV,TIA2877.PV,TIC_1155.MV,TIA2875.PV,PDR1103.PV,PI_1138B.PV,DR1103.PV,FRC1107.MV,PI_1132A.PV,FRCA1112.PV,TIA2874.PV,TIA2873.PV,WRA1103.PV,FRCA1110.MV,TI_1144.PV,DR1110.PV
57.6,489.44,538.36,174.02,10.2556,999.6,999.6,3.948,86.1912,72.9905,600,84.51,0.2444,145.607,2.9625,83.4825,28.121,709.76,12.319,0.2332,2.5996,14.9216,33.1,66.2736,357.7868,28.121,19.8851,15.7336,3.9688,77.5336,709.76,15.7336,9.1086,286.8525,600,-15.106,3000.5,14.9202,11.1273,2.5996,86.125,11.01,518.46,82.065,21.7042,82.365,9.542,0.1653,57.5625,66.8682,0.2165,3000.5,85.29,85.245,148.5788,11.1273,518.03,571.15
57.5625,489.44,538.2,174.034,10.2557,999.6,999.6,3.974,86.2125,72.9908,600,84.525,0.2444,145.618,2.96,83.475,28.121,709.76,12.319,0.2332,2.5994,14.923,33.095,66.2354,358.4067,28.121,19.8851,15.7331,4.5109,77.5349,709.76,15.7331,9.1086,286.5375,600,-15.1335,3000.5,14.9216,11.1264,2.5994,86.925,11.016,518.34,82.065,21.7041,82.395,9.543,0.1653,57.6,66.8691,0.2167,3000.5,85.275,85.1925,148.59,11.1264,518.03,571.25
57.6,489.44,538.08,174.034,10.2559,999.6,999.6,3.985,86.2342,72.9906,600,84.57,0.2444,145.618,2.9575,83.4525,28.121,709.84,12.321,0.2332,2.5994,14.9158,33.09,66.1967,358.3378,28.121,19.8851,15.7348,4.6062,77.5356,709.84,15.7348,9.1086,287.0775,600,-15.1665,2999.75,14.923,11.1255,2.5994,86.175,10.992,518.22,82.08,21.704,82.35,9.545,0.1653,57.6,66.8696,0.2168,2999.75,85.245,85.23,148.59,11.1255,518.03,571
57.525,489.44,537.92,174.062,10.2561,999.6,999.6,3.99,86.2564,72.9908,600,84.5475,0.2444,145.629,2.9575,83.475,28.121,709.84,12.323,0.2332,2.5994,14.9169,33.085,66.1573,357.5801,28.121,19.8851,15.7351,4.0516,77.5364,709.84,15.7351,9.1086,287.19,600,-15.216,2999.75,14.9158,11.1275,2.5994,86.375,10.992,518.1,82.035,21.7039,82.3725,9.547,0.1654,57.5625,66.87,0.2168,2999.75,85.2975,85.2525,148.6012,11.1275,518.03,571.1
57.5625,489.44,537.8,174.062,10.2562,999.6,999.6,3.993,86.2791,72.9911,600,84.5175,0.2445,145.629,2.955,83.43,28.1209,709.84,12.323,0.2332,2.5992,14.918,33.08,66.1173,358.3723,28.1209,19.8851,15.7353,4.7562,77.5379,709.84,15.7353,9.1086,286.695,600,-15.2545,2999.75,14.9169,11.1276,2.5992,86.15,10.968,517.98,82.0425,21.7039,82.38,9.549,0.1654,57.5625,66.8704,0.2169,2999.75,85.2975,85.185,148.6012,11.1276,518,570.8
57.6,489.41,537.68,174.076,10.2564,999.6,999.6,3.994,86.3023,72.9913,600,84.5025,0.2445,145.64,2.9525,83.445,28.1209,709.84,12.323,0.2332,2.5998,14.9191,33.075,66.0767,358.2689,28.1209,19.8851,15.7356,3.9344,77.5366,709.84,15.7356,9.1091,286.4475,600,-15.293,2999.75,14.918,11.1277,2.5998,86.5,10.962,517.86,82.065,21.7038,82.365,9.55,0.1654,57.6,66.8708,0.2169,2999.75,85.2975,85.1775,148.6125,11.1277,518,571.5
57.6,489.41,537.56,174.076,10.2566,999.6,999.6,3.993,86.326,72.9922,599.94,84.4725,0.2445,145.64,2.95,83.4675,28.1209,709.76,12.322,0.2332,2.5996,14.9202,33.07,66.0355,357.7868,28.1209,19.8859,15.7328,3.9609,77.5376,709.76,15.7328,9.1086,287.3925,599.94,-15.3205,3000.75,14.9191,11.1278,2.5996,86.1,10.938,517.74,82.05,21.7037,82.32,9.552,0.1655,57.6,66.8712,0.2169,3000.75,85.3125,85.2075,148.6125,11.1278,518,571.35
57.5625,489.41,537.44,174.076,10.2567,999.6,999.6,3.991,86.3464,72.9926,599.94,84.4575,0.2445,145.64,2.95,83.475,28.1209,709.76,12.322,0.2332,2.5996,14.9127,33.065,65.9936,357.5457,28.1209,19.8861,15.7321,3.8656,77.5381,709.76,15.7321,9.1091,287.2575,599.94,-15.3535,3000.75,14.9202,11.1279,2.5996,86.75,10.932,517.65,82.02,21.7036,82.2675,9.554,0.1655,57.5625,66.8709,0.2169,3000.75,85.2825,85.185,148.6125,11.1279,518,571.5
57.6,489.38,537.36,174.09,10.2569,999.6,999.6,3.988,86.3672,72.993,600,84.51,0.2445,145.651,2.9475,83.5275,28.1209,709.76,12.321,0.2332,2.5996,14.9136,33.06,65.9511,357.5801,28.1209,19.8856,15.7313,4.2641,77.5386,709.76,15.7313,9.1091,286.74,600,-15.381,3000.75,14.9127,11.1279,2.5996,86.35,10.932,517.56,81.99,21.7036,82.3125,9.555,0.1655,57.5625,66.8711,0.2169,3000.75,85.32,85.14,148.6237,11.1279,517.97,571.7
57.525,489.38,537.24,174.09,10.2571,999.6,999.6,3.985,86.3883,72.9933,599.94,84.51,0.2445,145.651,2.9475,83.505,28.1209,709.76,12.321,0.2332,2.5996,14.9144,33.055,65.908,358.5444,28.1209,19.8864,15.7336,3.9812,77.5391,709.76,15.7336,9.1091,286.965,599.94,-15.403,2999.75,14.9136,11.128,2.5996,86.05,10.908,517.47,81.96,21.7035,82.3125,9.556,0.1655,57.6,66.8712,0.2169,2999.75,85.3275,85.1025,148.6237,11.128,517.97,570.9
57.6,489.38,537.16,174.09,10.2572,999.6,999.6,3.983,86.4098,72.9937,599.94,84.5325,0.2445,145.662,2.9475,83.55,28.1209,709.76,12.322,0.2332,2.5996,14.9152,33.05,65.8642,357.8212,28.1209,19.8866,15.7338,4.3016,77.5396,709.76,15.7338,9.1091,287.3925,599.94,-15.436,2999.75,14.9144,11.1281,2.5996,86.25,10.908,517.38,81.9225,21.7034,82.275,9.557,0.1655,57.5625,66.8714,0.2169,2999.75,85.32,85.11,148.635,11.1281,517.94,571.05
