AR1410B.PV,CCSFI1401A.PV,CCSFI1401B.PV,CCSFI1401C.PV,CCSFIC1401.PV,CCSPIC1415.PV,CCSPRC1415.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,DR1108.PV,DR1110.PV,FI1102.PV,FI1107.PV,FI1110.PV,FI1111.PV,FI1112.PV,FI1113.PV,FI1213.PV,FI1424.PV,FI1902.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1123.PV,FIC_1127.MV,FIC_1127.PV,FI_1124.PV,FI_1127.PV,FRC1102.MV,FRC1102.PV,FRC1104.MV,FRC1107.MV,FRC1107.PV,FRC1113.MV,FRC1113.PV,FRC1213.MV,FRC1213.PV,FRC1424.PV,FRCA1110.MV,FRCA1110.PV,FRCA1111.MV,FRCA1111.PV,FRCA1112.MV,FRCA1112.PV,FRQ1623.PV,FRSA1101.PV,FT_1121.PV,FT_1122.PV,FT_1123.PV,LI1101.PV,LRCA1101.MV,LRCA1101.PV,PDIC_1133.MV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.MV,PDRCA1109.PV,PDRSA1104.PV,PI1101.PV,PI1110.PV,PIC1101A.MV,PIC1101A.PV,PIC1101B.MV,PIC1101B.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1136.PV,PI_1138A.PV,PI_1138B.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PR1102B.PV,PR1401.PV,PRA1102.PV,PRCA1101B.MV,PRCA1101B.PV,TI1105A.PV,TI1105B.PV,TI1111.PV,TI1112.PV,TI1113.PV,TI1116A.PV,TI1116B.PV,TI1118A.PV,TI1118B.PV,TI1119A.PV,TI1119B.PV,TI1119C.PV,TI1119D.PV,TI1130.PV,TI1132.PV,TI1133.PV,TI1135.PV,TI1611.PV,TIA1114.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1155.PV,TI_1140.PV,TI_1142.PV,TI_1143A.PV,TI_1143B.PV,TI_1143C.PV,TI_1143D.PV,TI_1144.PV,TI_1145.PV,TI_1146.PV,TI_1147.PV,TI_1149A.PV,TI_1150A.PV,TI_1151A.PV,TI_1152A.PV,TI_1153A.PV,TI_1154A.PV,TRA1401A.PV,TRA1401B.PV,TRC1118A.MV,TRC1118A.PV,TRCA1130.PV,WR1104.PV,WRA1103.PV
86.025,187869.0,187869.0,187869.0,187902.0,0.3761,0.3762,57.6,4.4906,57.5625,286.56,357.959,570.25,997.2,2.5898,4999.8501,5000.04,3000.25,2.5966,179.5625,4.6175,173.3805,343.38,72.3528,703.44,1774.08,19.4236,599.58,94.44,599.52,9.9453,997.2,10.8992,66.1219,2.5898,76.7324,2.5966,75.3412,179.5625,4.6175,11.124,4999.8501,28.1069,5000.04,15.7255,3000.25,9.0959,173.39,343.35,703.44,1773.8999,33.31,72.5296,33.31,20.5886,9.514,4.141,12.396,44.4297,42.69,20.3855,0.1433,1.0001,17.2502,17.2868,17.2502,17.2868,0.1765,0.1272,0.1299,0.2395,0.1273,0.123,0.2081,0.1298,0.1969,0.1272,0.1433,0.123,17.2502,0.1433,539.72,540.72,483.975,486.9,484.965,514.35,514.35,679.65,681.35,685.65,685.65,679.65,679.65,209.82,275.8,358.6,358.6,251.95,661.75,84.4875,85.0725,85.2975,82.3425,83.49,82.0425,44.4373,519.93,20.5901,589.81,209.82,514.34,514.345,514.345,514.345,514.345,514.34,485.96,685.68,685.6625,519.87,519.87,519.87,589.81,589.81,589.81,661.75,650.5,13.3045,679.65,209.82,145.409,148.3763
86.5,187836.0,187836.0,187836.0,187869.0,0.3762,0.3762,57.5625,4.5406,57.5625,286.38,357.3735,570.0,996.6,2.5905,4999.8501,5000.04,3000.25,2.5974,179.6125,4.6125,173.4885,343.35,72.3593,703.92,1773.8999,19.4261,599.52,94.42,599.58,9.9472,996.6,10.8992,66.1245,2.5905,76.7336,2.5974,75.3527,179.6125,4.6125,11.1241,4999.8501,28.1069,5000.04,15.7253,3000.25,9.097,173.488,343.32,703.92,1773.72,33.305,72.5684,33.31,20.5915,9.522,4.151,12.405,44.4373,42.57,20.3415,0.1435,1.0,17.223,17.2502,17.223,17.2502,0.1767,0.1273,0.1301,0.2396,0.1275,0.1232,0.2083,0.13,0.1971,0.1273,0.1435,0.1232,17.223,0.1435,539.68,540.68,484.02,486.945,484.965,514.35,514.35,679.65,681.35,685.65,685.65,679.65,679.65,209.82,275.75,358.55,358.55,251.925,661.75,84.4875,85.035,85.32,82.335,83.46,82.05,44.4451,519.87,20.593,589.81,209.82,514.37,514.345,514.345,514.345,514.345,514.37,485.96,685.68,685.6625,519.81,519.81,519.81,589.81,589.81,589.81,661.75,650.5,13.2999,679.65,209.82,145.409,148.3875
86.95,187814.0,187814.0,187814.0,187836.0,0.3762,0.3763,57.6,4.0953,57.6375,286.335,357.2702,570.95,996.6,2.5898,4999.8501,5000.04,3000.25,2.597,179.5875,4.6075,173.475,343.32,72.3694,703.84,1773.72,19.4273,599.58,94.42,599.46,9.9486,996.6,10.8993,66.1284,2.5898,76.7384,2.597,75.3712,179.5875,4.6075,11.1242,4999.8501,28.1069,5000.04,15.725,3000.25,9.0964,173.474,343.29,703.84,1773.5399,33.305,72.5565,33.305,20.5944,9.531,4.155,12.4,44.4451,42.42,20.303,0.1436,0.9999,17.1882,17.223,17.1882,17.223,0.1768,0.1275,0.1302,0.2396,0.1276,0.1233,0.2086,0.1302,0.1974,0.1275,0.1436,0.1233,17.1882,0.1436,539.6,540.56,484.02,486.945,485.01,514.35,514.35,679.65,681.35,685.65,685.65,679.65,679.65,209.82,275.75,358.5,358.5,251.925,661.75,84.4575,85.05,85.32,82.29,83.4225,82.0275,44.4531,519.81,20.5958,589.81,209.82,514.37,514.38,514.38,514.38,514.38,514.37,485.99,685.68,685.6625,519.69,519.69,519.69,589.81,589.81,589.81,661.75,650.5,13.2952,679.65,209.82,145.42,148.3875
86.925,187781.0,187781.0,187781.0,187814.0,0.3763,0.3763,57.5625,4.5391,57.5625,286.74,357.0291,570.85,996.6,2.5905,5000.3247,5000.04,3000.25,2.5972,179.65,4.6025,173.556,343.29,72.3765,704.16,1773.5399,19.4306,599.46,94.4,599.52,9.9501,996.6,10.8993,66.1311,2.5905,76.7414,2.5972,75.3802,179.65,4.6025,11.1237,5000.3247,28.1069,5000.04,15.7248,3000.25,9.097,173.558,343.26,704.16,1773.36,33.3,72.5946,33.305,20.5973,9.54,4.149,12.407,44.4531,42.24,20.215,0.1437,0.9997,17.163,17.1882,17.163,17.1882,0.1769,0.1277,0.1304,0.2397,0.1278,0.1235,0.2089,0.1304,0.1977,0.1277,0.1437,0.1235,17.163,0.1437,539.48,540.48,484.02,486.945,485.01,514.4,514.4,679.65,681.35,685.65,685.65,679.65,679.65,209.82,275.7,358.5,358.5,251.9,661.75,84.4275,85.0875,85.35,82.275,83.43,82.0125,44.4689,519.69,20.5987,589.81,209.82,514.4,514.38,514.38,514.38,514.38,514.4,485.99,685.68,685.6625,519.57,519.57,519.57,589.81,589.81,589.81,661.75,650.5,13.2905,679.65,209.82,145.42,148.3875
86.875,187759.0,187759.0,187759.0,187781.0,0.3763,0.3764,57.5625,4.5812,57.6,286.3125,357.8901,570.3,996.6,2.5905,5000.3247,5000.04,3000.5,2.5972,179.675,4.5975,173.583,343.26,72.3838,704.4,1773.36,19.4321,599.52,94.4,599.34,9.9515,996.6,10.8994,66.1343,2.5905,76.7449,2.5972,75.3912,179.675,4.5975,11.1235,5000.3247,28.1069,5000.04,15.7239,3000.5,9.0975,173.586,343.2,704.4,1773.1799,33.295,72.5821,33.3,20.6002,9.551,4.139,12.402,44.4689,41.988,20.1325,0.1438,0.9996,17.1388,17.163,17.1388,17.163,0.1769,0.1279,0.1306,0.2398,0.128,0.1238,0.2093,0.1306,0.1981,0.1279,0.1438,0.1238,17.1388,0.1438,539.36,540.32,484.065,486.99,485.01,514.4,514.4,679.65,681.35,685.65,685.65,679.65,679.65,209.82,275.7,358.45,358.45,251.9,661.75,84.4275,85.0725,85.3725,82.2375,83.475,82.05,44.4852,519.57,20.6016,589.81,209.82,514.4,514.415,514.415,514.415,514.415,514.4,486.02,685.68,685.6625,519.42,519.42,519.42,589.81,589.81,589.81,661.75,650.5,13.2859,679.65,209.82,145.42,148.3875
86.05,187737.0,187737.0,187737.0,187759.0,0.3764,0.3765,57.525,3.9281,57.5625,286.29,357.0636,570.9,996.6,2.5905,5000.3247,5000.04,2999.5,2.5974,179.675,4.59,173.61,343.2,72.3913,704.56,1773.1799,19.4363,599.34,94.38,599.4,9.9529,996.6,10.8995,66.1375,2.5905,76.7476,2.5974,75.4042,179.675,4.59,11.1233,5000.3247,28.1069,5000.04,15.7259,2999.5,9.0975,173.6,343.17,704.56,1773.0,33.29,72.569,33.295,20.603,9.563,4.123,12.402,44.4852,41.706,20.028,0.1439,0.9996,17.1071,17.1388,17.1071,17.1388,0.1768,0.1281,0.1308,0.2399,0.1282,0.124,0.2096,0.1308,0.1984,0.1281,0.1439,0.124,17.1071,0.1439,539.2,540.16,484.065,486.99,485.055,514.4,514.4,679.65,681.35,685.65,685.65,679.65,679.65,209.82,275.7,358.45,358.45,251.875,661.75,84.4575,85.11,85.32,82.245,83.5125,82.08,44.5057,519.42,20.6045,589.81,209.82,514.43,514.415,514.415,514.415,514.415,514.43,486.02,685.68,685.6625,519.24,519.24,519.24,589.81,589.81,589.81,661.75,650.5,13.2812,679.65,209.82,145.431,148.3987
86.2,187715.0,187715.0,187715.0,187737.0,0.3765,0.3765,57.6,4.3578,57.5625,286.7175,357.649,570.45,996.6,2.5905,5000.3247,5000.04,2999.5,2.597,179.6625,4.585,173.5965,343.17,72.4004,704.48,1773.0,19.4383,599.4,94.38,599.34,9.9543,996.6,10.8995,66.1406,2.5905,76.7524,2.597,75.4187,179.6625,4.585,11.1231,5000.3247,28.1069,5000.04,15.7264,2999.5,9.097,173.586,343.14,704.48,1772.8199,33.29,72.5553,33.29,20.6059,9.575,4.101,12.404,44.5057,41.424,19.9015,0.1439,0.9995,17.0677,17.1071,17.0677,17.1071,0.1766,0.1282,0.131,0.2399,0.1284,0.1242,0.2098,0.131,0.1986,0.1282,0.1439,0.1242,17.0677,0.1439,539.0,540.0,484.065,486.99,485.055,514.45,514.45,679.65,681.35,685.65,685.65,679.65,679.65,209.82,275.65,358.4,358.4,251.875,661.75,84.4575,85.1025,85.2975,82.23,83.4675,82.1175,44.5306,519.24,20.6074,589.81,209.82,514.43,514.45,514.45,514.45,514.45,514.43,486.05,685.68,685.6625,519.06,519.06,519.06,589.81,589.81,589.81,661.75,650.5,13.2765,679.65,209.82,145.431,148.3987
86.675,187693.0,187693.0,187693.0,187715.0,0.3765,0.3765,57.5625,4.2,57.6375,286.11,357.6835,570.95,996.6,2.5905,5000.3247,5000.04,3000.5,2.5974,179.6875,4.5825,173.718,343.14,72.4059,704.88,1772.8199,19.4416,599.34,94.36,599.46,9.9557,996.6,10.8996,66.1438,2.5905,76.7546,2.5974,75.4292,179.6875,4.5825,11.123,5000.3247,28.1068,5000.04,15.7244,3000.5,9.0981,173.712,343.11,704.88,1772.64,33.285,72.5915,33.29,20.6088,9.586,4.067,12.41,44.5306,41.292,19.7915,0.144,0.9995,17.0374,17.0677,17.0374,17.0677,0.1761,0.1283,0.1311,0.24,0.1285,0.1242,0.2098,0.131,0.1986,0.1283,0.144,0.1242,17.0374,0.144,538.8,539.8,484.065,487.035,485.055,514.45,514.45,679.65,681.35,685.7,685.7,679.65,679.65,209.82,275.65,358.4,358.4,251.85,661.75,84.495,85.0875,85.2525,82.2225,83.4375,82.0875,44.5563,519.06,20.6102,589.81,209.82,514.46,514.45,514.45,514.45,514.45,514.46,486.05,685.68,685.7,518.91,518.91,518.91,589.81,589.81,589.81,661.75,650.5,13.2719,679.65,209.82,145.442,148.41
86.175,187671.0,187671.0,187671.0,187693.0,0.3765,0.3766,57.6,4.1406,57.6,286.9425,358.0279,570.75,996.6,2.5905,5000.3247,5000.04,3000.75,2.5972,179.675,4.5825,173.718,343.11,72.4145,704.8,1772.64,19.4428,599.46,94.36,599.46,9.9571,996.6,10.8996,66.1469,2.5905,76.7586,2.5972,75.4432,179.675,4.5825,11.1228,5000.3247,28.1068,5000.04,15.7233,3000.75,9.0981,173.712,343.11,704.8,1772.64,33.275,72.5771,33.285,20.6117,9.593,4.025,12.405,44.5563,41.352,19.797,0.1441,0.9995,16.9993,17.0374,16.9993,17.0374,0.1758,0.1283,0.1312,0.24,0.1285,0.1243,0.2098,0.1311,0.1986,0.1283,0.1441,0.1243,16.9993,0.1441,538.64,539.64,484.11,487.035,485.055,514.45,514.45,679.65,681.4,685.7,685.7,679.65,679.65,209.82,275.65,358.35,358.35,251.85,661.75,84.5325,85.0575,85.23,82.23,83.445,82.035,44.5788,518.91,20.6131,589.81,209.82,514.46,514.45,514.45,514.45,514.45,514.46,486.05,685.68,685.7,518.76,518.76,518.76,589.81,589.81,589.81,661.75,650.5,13.2672,679.65,209.82,145.442,148.41
86.2,187649.0,187649.0,187649.0,187671.0,0.3766,0.3766,57.5625,4.4516,57.5625,286.8525,357.649,571.0,997.2,2.5912,5000.7998,5000.04,2999.75,2.5978,179.7125,4.58,173.799,343.11,72.4189,705.28,1772.64,19.4451,599.46,94.36,599.64,9.9578,997.2,10.8997,66.1494,2.5912,76.7599,2.5978,75.4517,179.7125,4.58,11.122,5000.7998,28.1068,5000.04,15.725,2999.75,9.0992,173.796,343.08,705.28,1772.64,33.27,72.5115,33.275,20.6146,9.598,3.996,12.411,44.5788,41.388,19.808,0.1442,0.9995,16.9791,16.9993,16.9791,16.9993,0.1758,0.1283,0.1312,0.2401,0.1286,0.1243,0.2098,0.1312,0.1986,0.1283,0.1442,0.1243,16.9791,0.1442,538.52,539.52,484.11,487.035,485.1,514.45,514.45,679.65,681.4,685.7,685.7,679.65,679.65,209.82,275.6,358.35,358.35,251.825,661.75,84.5475,85.0275,85.275,82.23,83.43,81.9975,44.602,518.76,20.616,589.81,209.82,514.46,514.45,514.45,514.45,514.45,514.46,486.08,685.68,685.7,518.64,518.64,518.64,589.81,589.81,589.81,661.75,650.5,13.2625,679.65,209.82,145.453,148.4212
