AR1410B.PV,CCSFIC1401.PV,CCSPI1407B.PV,CCSPIC1415.PV,CCSPRC1415.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,FI1102.PV,FI1104.PV,FI1107.PV,FI1110.PV,FI1111.PV,FI1112.PV,FI1113.PV,FI1121.PV,FI1213.PV,FI1424.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1123.PV,FIC_1127.MV,FIC_1127.PV,FI_1124.PV,FI_1127.PV,FRC1102.MV,FRC1102.PV,FRC1104.MV,FRC1107.MV,FRC1107.PV,FRC1113.MV,FRC1113.PV,FRC1213.MV,FRC1213.PV,FRC1424.PV,FRCA1110.MV,FRCA1110.PV,FRCA1111.MV,FRCA1111.PV,FRCA1112.MV,FRCA1112.PV,FRQ1623.PV,FT_1121.PV,FT_1122.PV,FT_1123.PV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRSA1104.PV,PI1101.PV,PI1110.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1136.PV,PI_1138A.PV,PI_1138B.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PR1102B.PV,PR1401.PV,PRA1102.PV,PRCA1101B.MV,PRCA1101B.PV,TI1105A.PV,TI1111.PV,TI1118A.PV,TI1132.PV,TI1212.PV,TI1611.PV,TIA1114.PV,TIA1160A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1155.PV,TI_1145.PV,TI_1146.PV,TI_1147.PV,TRA1401A.PV,TRC1118A.MV,TRC1118A.PV,WR1104.PV,WRA1103.PV
86.4,186263,0.3,0.3795,0.3795,57.525,4.0156,57.6,286.5825,1000.2,999.45,2.6003,5000.3247,4999.1797,3000,2.6,50700,180,4.595,343.17,72.5667,710.08,1773.1799,19.4363,599.88,94.38,599.88,9.975,1000.2,10.9506,66.2099,2.6003,76.7695,2.6,75.5955,180,4.595,11.1262,5000.3247,28.1212,4999.1797,15.7319,3000,9.1108,343.17,710.08,1773.1799,32.995,9.559,4.124,12.302,26.177,0.15,1.0004,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1238,0.2083,0.1307,0.1971,0.1279,0.15,0.1238,14.9096,0.15,540.08,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.6225,85.1925,85.3875,82.2525,83.3925,82.0725,42.3122,520.29,20.5313,590.005,489.11,686.12,686.1125,661.9,14.6098,680.05,145.695,148.6687
86.775,186263,0.3,0.3795,0.3795,57.6375,4.4703,57.525,287.4825,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.595,343.17,72.5665,710.08,1773.1799,19.4368,599.88,94.38,599.88,9.9749,1000.2,10.9507,66.2099,2.6003,76.7695,2.6,75.5955,180,4.595,11.1268,4999.8501,28.1207,5000.04,15.7319,3000,9.1108,343.17,710.08,1773.1799,32.995,9.559,4.124,12.302,26.177,0.15,1.0004,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1238,0.2083,0.1307,0.1971,0.1279,0.15,0.1238,14.9096,0.15,540.08,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.57,85.2225,85.3575,82.215,83.3925,82.02,42.3122,520.29,20.5313,590.005,489.11,686.12,686.1125,661.9,14.6104,680.05,145.695,148.6687
86.025,186263,0.3,0.3795,0.3795,57.5625,3.8797,57.5625,287.46,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.595,343.2,72.5664,710.08,1773.1799,19.4373,599.88,94.38,599.88,9.9748,1000.2,10.9507,66.2098,2.6003,76.7695,2.6,75.5955,180,4.595,11.1269,4999.8501,28.1207,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,32.995,9.559,4.124,12.302,26.177,0.15,1.0004,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1238,0.2082,0.1307,0.1971,0.1279,0.15,0.1238,14.9096,0.15,540.08,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.585,85.185,85.3125,82.2375,83.43,82.005,42.3122,520.29,20.5313,590.005,489.11,686.12,686.1125,661.9,14.6111,680.05,145.695,148.6687
86.8,186263,0.3,0.3795,0.3795,57.525,4.1672,57.6375,287.2575,999.6,999.45,2.5995,4999.8501,5000.04,3000,2.6,50700,180,4.595,343.2,72.5663,710.08,1773.1799,19.4356,600.06,94.38,600.06,9.9755,999.6,10.9508,66.2104,2.5995,76.7695,2.6,75.5955,180,4.595,11.127,4999.8501,28.1207,5000.04,15.7319,3000,9.1102,343.2,710.08,1773.1799,32.995,9.559,4.123,12.302,26.1825,0.15,1.0004,14.9096,0.1769,0.1279,0.1307,0.244,0.1281,0.1238,0.2082,0.1307,0.1971,0.1279,0.15,0.1238,14.9096,0.15,540.12,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.5475,85.1325,85.2675,82.245,83.3925,82.0425,42.3122,520.29,20.5313,590.005,489.11,686.12,686.1125,661.9,14.6118,680.05,145.695,148.6687
86.325,186263,0.3,0.3795,0.3795,57.6,4.8172,57.6,287.01,999.6,999.45,2.5995,4999.8501,5000.04,3000,2.6,50700,180,4.595,343.2,72.5662,710.08,1773.1799,19.4353,600.06,94.38,600.06,9.9756,999.6,10.9508,66.2106,2.5995,76.7695,2.6,75.5955,180,4.595,11.127,4999.8501,28.1206,5000.04,15.7319,3000,9.1102,343.2,710.08,1773.1799,32.995,9.558,4.123,12.302,26.1935,0.15,1.0004,14.9096,0.1769,0.1279,0.1307,0.244,0.1281,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.12,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.5175,85.1175,85.23,82.215,83.43,82.0575,42.3085,520.32,20.5313,590.005,489.11,686.12,686.1125,661.9,14.6124,680.05,145.695,148.6687
86.1,186263,0.3,0.3795,0.3795,57.5625,4.1203,57.5625,286.6275,1000.2,999.45,2.5995,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.566,710.08,1773.1799,19.4351,600.06,94.4,600.06,9.9751,1000.2,10.9509,66.2108,2.5995,76.7695,2.6,75.5955,180,4.5975,11.1271,4999.8501,28.1206,5000.04,15.7319,3000,9.1102,343.2,710.08,1773.1799,32.995,9.558,4.124,12.302,26.199,0.15,1.0004,14.9096,0.1769,0.1279,0.1307,0.244,0.1281,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.12,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.5625,85.14,85.26,82.1925,83.475,82.005,42.3083,520.32,20.5161,590.0375,489.11,686.12,686.1125,661.9,14.6131,680.05,145.695,148.6687
86.05,186263,0.3,0.3795,0.3795,57.5625,4.0719,57.5625,287.2125,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5659,710.08,1773.1799,19.4348,600.06,94.4,600.06,9.975,1000.2,10.951,66.2102,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1272,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,32.995,9.557,4.125,12.302,26.21,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.12,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.5325,85.185,85.26,82.2075,83.4375,82.005,42.3082,520.32,20.5156,590.0375,489.11,686.12,686.1125,661.9,14.6138,680.05,145.695,148.6687
86.45,186263,0.3,0.3795,0.3795,57.5625,3.9,57.5625,286.6275,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5658,710.08,1773.1799,19.4346,600.06,94.4,600.06,9.9749,1000.2,10.951,66.2101,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1273,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,32.995,9.557,4.127,12.302,26.2155,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.12,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.54,85.1475,85.2525,82.2525,83.3925,82.035,42.3081,520.32,20.5151,590.0375,489.11,686.12,686.1125,661.9,14.6144,680.05,145.695,148.6687
86.95,186263,0.3,0.3795,0.3795,57.6,4.1266,57.5625,287.145,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5657,710.08,1773.1799,19.4343,600.06,94.4,600.06,9.9748,1000.2,10.9511,66.21,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1274,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,32.995,9.557,4.129,12.302,26.221,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.16,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.57,85.1325,85.2225,82.29,83.385,82.0725,42.3042,520.35,20.5146,590.0375,489.11,686.12,686.1125,661.9,14.6151,680.05,145.695,148.6687
86.1,186263,0.3,0.3795,0.3795,57.6375,4.6953,57.6,286.695,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5656,710.08,1773.1799,19.4356,599.94,94.4,599.94,9.9747,1000.2,10.9511,66.2099,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1274,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,32.995,9.556,4.131,12.302,26.2265,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.16,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.57,85.1325,85.215,82.3275,83.355,82.065,42.304,520.35,20.5141,590.0375,489.11,686.12,686.1125,661.9,14.6158,680.05,145.695,148.6687
