FIC_1123.PV,PRCA1101B.PV,TIA1160A.PV,PI_1136.PV,TI_1143A.PV,TI1117B.PV,TI1118B.PV,TI1113.PV,TI1116A.PV,DR1110.PV,TIA1164.PV,TI1119A.PV,TRC1118A.PV,TI_1142.PV,TI_1153A.PV,TI_1149A.PV,FIC_1127.PV,TI1119D.PV,TI_1145.PV,TDRCA1117A.OUT,TI_1154A.PV,TI_1152A.PV,PDRSA1104.PV,PDR1103.PV,TRA1401B.PV,TI1105A.PV,TI_1140.PV,TRA1401A.PV,PI_1134.PV,TIA1114.PV,TI1111.PV,PI_1138A.PV,TIA1161C.PV,PDI_1138.OUT,TI1115A.PV,TI1133.PV,TI1135.PV,TRCA1130.PV,TI1119B.PV,TI_1143B.PV,TI1112.PV,TIA1160C.PV,TI_1144.PV,PDRCA1109.PV,FRC1102.PV,PI_1182.PV,PI_1180.PV,TIA1160B.PV,TI1119C.PV,PRA1102.PV,PR1102B.PV,FRSA1101.PV,TIA1161B.PV,TI1132.PV,PR1401.PV,TI_1150A.PV,PI_1138B.PV,DR1108.PV,TI_1151A.PV,PI_1132A.PV,TIC_1101.PV,PDI_1132.OUT,FIC_1121.PV,PDRA1102.OUT,WR1104.PV,TI_1146.PV,TI1105B.PV,FRC1104.PV,PR1102A.PV,PIK1101B.OUT,PIK1101A.OUT,TI1116B.PV,PDR1106.PV,TIC_1155.PV,WRA1103.PV,PI_1132B.PV,TI_1143C.PV,TI1117A.PV,TIA1161A.PV,DR1107.PV,PI1110.PV,TI_1143D.PV,PDR1401.PV,TI1115B.PV,label
1783.97998,0.15,184.014999,0.24396,517.320007,679.450012,681.200012,487.754974,517.299988,571.25,184.014999,685.549988,679.450012,517.309998,590.005005,521.940002,599.820007,679.450012,488.75,3.300049,590.005005,590.005005,37.341999,9.37,649.849976,541.919983,212.479996,661.299988,0.12004,661.299988,486.764984,0.117275,184.014999,4.555002,669.599976,341.049988,341.049988,212.479996,685.549988,517.320007,489.734985,184.014999,517.309998,55.871998,999.599976,0.12,0.1988,184.014999,679.450012,0.112725,0.11676,169.343994,184.014999,262.600006,0.15,521.940002,0.11272,357.92453,521.940002,0.16495,521.940002,48.170002,345.299988,71.309998,145.651001,685.559998,542.919983,999.899963,0.18807,52.25555,52.25555,517.299988,4.054,590.005005,148.623749,0.11678,517.320007,676.149963,184.014999,286.672485,1.0,517.320007,12.299999,672.899963,0
1783.97998,0.15,184.014999,0.24396,517.320007,679.450012,681.200012,487.754974,517.299988,571.799988,184.014999,685.549988,679.450012,517.309998,590.005005,521.820007,599.76001,679.450012,488.75,3.300049,590.005005,590.005005,37.286999,9.373,649.849976,541.799988,212.479996,661.299988,0.1201,661.299988,486.764984,0.117325,184.014999,4.545003,669.599976,341.0,341.0,212.479996,685.549988,517.320007,489.734985,184.014999,517.309998,55.745998,999.599976,0.12008,0.19888,184.014999,679.450012,0.112785,0.11682,169.442001,184.014999,262.549988,0.15,521.820007,0.11278,358.441132,521.820007,0.164925,521.820007,48.104996,345.269989,71.400009,145.651001,685.559998,542.799988,999.449951,0.18822,52.25555,52.25555,517.299988,4.051,590.005005,148.623749,0.11682,517.320007,676.149963,184.014999,286.964996,1.0,517.320007,12.299999,672.899963,0
1783.799927,0.15,184.014999,0.24396,517.320007,679.450012,681.200012,487.754974,517.299988,571.75,184.014999,685.599976,679.5,517.339966,590.005005,521.72998,599.700012,679.5,488.75,3.350037,590.005005,590.005005,37.226498,9.375999,649.849976,541.719971,212.479996,661.299988,0.12016,661.299988,486.764984,0.1174,184.014999,4.539996,669.599976,340.949982,340.949982,212.479996,685.599976,517.320007,489.734985,184.014999,517.339966,55.601997,999.599976,0.12016,0.19904,184.014999,679.5,0.11286,0.11688,169.539993,184.014999,262.5,0.15,521.72998,0.11286,358.027863,521.72998,0.1649,521.72998,47.999992,345.269989,71.460007,145.651001,685.599976,542.679993,999.449951,0.18834,52.25555,52.25555,517.299988,4.045,590.005005,148.623749,0.1169,517.320007,676.149963,184.014999,286.649994,1.0,517.320007,12.299999,672.899963,0
1783.799927,0.15,184.014999,0.24396,517.320007,679.450012,681.25,487.799988,517.349976,571.549988,184.014999,685.599976,679.5,517.339966,590.005005,521.580017,599.820007,679.5,488.779999,3.350037,590.005005,590.005005,37.154999,9.38,649.849976,541.599976,212.479996,661.299988,0.12024,661.299988,486.809998,0.117475,184.014999,4.534997,669.599976,340.899994,340.899994,212.479996,685.599976,517.320007,489.734985,184.014999,517.339966,55.452,999.599976,0.12024,0.1992,184.014999,679.5,0.112935,0.11697,169.610001,184.014999,262.5,0.15,521.580017,0.11294,358.165619,521.580017,0.164875,521.580017,47.915005,345.23999,71.520004,145.662003,685.599976,542.559998,999.449951,0.18849,52.25555,52.25555,517.349976,4.038,590.005005,148.634995,0.11696,517.320007,676.149963,184.014999,286.942505,1.0,517.320007,12.299999,672.899963,0
1783.619995,0.15,184.014999,0.24396,517.35498,679.450012,681.25,487.799988,517.349976,571.200012,184.014999,685.599976,679.5,517.339966,590.005005,521.459961,599.76001,679.5,488.779999,3.350037,590.005005,590.005005,37.072498,9.385,649.849976,541.440002,212.479996,661.299988,0.12032,661.299988,486.809998,0.11755,184.014999,4.530005,669.599976,340.850006,340.850006,212.479996,685.599976,517.35498,489.779999,184.014999,517.339966,55.295998,999.599976,0.12032,0.19936,184.014999,679.5,0.113025,0.11703,169.666,184.014999,262.449982,0.15,521.459961,0.11302,358.544434,521.459961,0.164825,521.459961,47.784992,345.23999,71.640007,145.662003,685.599976,542.440002,999.449951,0.18867,52.25555,52.25555,517.349976,4.029,590.005005,148.634995,0.11704,517.35498,676.149963,184.014999,287.234985,1.0,517.35498,12.299999,672.899963,0
1783.619995,0.15,184.014999,0.24396,517.35498,679.450012,681.25,487.799988,517.349976,571.349976,184.014999,685.599976,679.5,517.339966,590.005005,521.309998,599.700012,679.5,488.779999,3.350037,590.005005,590.005005,36.989998,9.389,649.849976,541.320007,212.479996,661.299988,0.1204,661.299988,486.809998,0.117625,184.014999,4.524998,669.599976,340.850006,340.850006,212.479996,685.599976,517.35498,489.779999,184.014999,517.339966,55.188,999.599976,0.1204,0.19952,184.014999,679.5,0.1131,0.11709,169.694,184.014999,262.449982,0.15,521.309998,0.1131,358.441132,521.309998,0.164725,521.309998,47.624989,345.209991,71.669998,145.662003,685.599976,542.320007,999.449951,0.18876,52.25555,52.25555,517.349976,4.018,590.005005,148.634995,0.1171,517.35498,676.149963,184.014999,286.537506,1.0,517.35498,12.299999,672.899963,0
1783.619995,0.15,184.014999,0.24396,517.35498,679.450012,681.25,487.799988,517.349976,571.149963,184.014999,685.599976,679.5,517.369995,590.005005,521.190002,599.700012,679.5,488.809998,3.350037,590.005005,590.005005,36.912998,9.394,649.849976,541.159973,212.479996,661.299988,0.12044,661.299988,486.809998,0.117675,184.014999,4.534997,669.599976,340.799988,340.799988,212.479996,685.599976,517.35498,489.779999,184.014999,517.369995,55.152,999.599976,0.1204,0.19952,184.014999,679.5,0.113145,0.11712,169.735992,184.014999,262.449982,0.15,521.190002,0.11314,358.027863,521.190002,0.164575,521.190002,47.435001,345.209991,71.670006,145.662003,685.599976,542.159973,999.0,0.18879,52.25555,52.25555,517.349976,4.005,590.005005,148.634995,0.11714,517.35498,676.149963,184.014999,286.717499,1.0,517.35498,12.299999,672.899963,0
1783.619995,0.15,184.014999,0.24396,517.35498,679.450012,681.25,487.799988,517.349976,571.75,184.014999,685.599976,679.5,517.369995,590.005005,521.070007,599.880005,679.5,488.809998,3.350037,590.005005,590.005005,36.868999,9.396999,649.849976,541.039978,212.479996,661.299988,0.12046,661.299988,486.809998,0.1177,184.014999,4.519999,669.599976,340.799988,340.799988,212.479996,685.599976,517.35498,489.779999,184.014999,517.369995,55.121998,999.599976,0.1204,0.1996,184.014999,679.5,0.113175,0.11715,169.778,184.014999,262.399994,0.15,521.070007,0.11318,357.75235,521.070007,0.16445,521.070007,47.309994,345.209991,71.670006,145.662003,685.599976,542.039978,999.0,0.18882,52.25555,52.25555,517.349976,3.99,590.005005,148.634995,0.11714,517.35498,676.149963,184.014999,287.347504,1.0,517.35498,12.299,672.899963,0
1783.439941,0.15,184.014999,0.24396,517.35498,679.450012,681.25,487.799988,517.349976,571.0,184.014999,685.599976,679.5,517.369995,590.005005,520.950012,599.820007,679.5,488.809998,3.350037,590.005005,590.005005,36.835999,9.4,649.849976,540.919983,212.479996,661.299988,0.1205,661.299988,486.809998,0.117725,184.014999,4.524998,669.599976,340.75,340.75,212.479996,685.599976,517.35498,489.779999,184.014999,517.369995,55.098,999.599976,0.12048,0.1996,184.014999,679.5,0.11319,0.11715,169.791992,184.014999,262.399994,0.15,520.950012,0.1132,357.958984,520.950012,0.164425,520.950012,47.264999,345.209991,71.699997,145.672989,685.599976,541.919983,999.449951,0.18885,52.25555,52.25555,517.349976,3.978,590.005005,148.64624,0.11716,517.35498,676.149963,184.014999,286.649994,1.000125,517.35498,12.299,672.899963,0
1783.439941,0.15,184.014999,0.24396,517.35498,679.450012,681.25,487.799988,517.349976,571.75,184.014999,685.599976,679.5,517.369995,590.005005,520.859985,599.880005,679.5,488.809998,3.350037,590.005005,590.005005,36.813999,9.401999,649.849976,540.799988,212.479996,661.299988,0.1205,661.299988,486.85498,0.11775,184.014999,4.549995,669.649963,340.75,340.75,212.479996,685.599976,517.35498,489.779999,184.014999,517.369995,55.104,999.599976,0.12048,0.1996,184.014999,679.5,0.113205,0.11718,169.819992,184.014999,262.350006,0.15,520.859985,0.1132,358.441132,520.859985,0.16445,520.859985,47.269993,345.209991,71.669998,145.672989,685.599976,541.799988,999.449951,0.18885,52.25555,52.25555,517.349976,3.974,590.005005,148.64624,0.11718,517.35498,676.149963,184.014999,287.257507,1.000125,517.35498,12.299,672.899963,0
