TIA2877.PV,TI_1145.PV,TIA2874.PV,PIC1101A.PV,PRA1102.PV,AR1410B.PV,DR1103.PV,FRCA1112.MV,PDRCA1109.PV,TI1132.PV,TIC_1101.PV,TIC_1101.MV,FT_1122.PV,PDR1401.PV,FIC_1122.MV,FIC_1122.PV,FIC_1121.PV,TI_1142.PV,TIA2875.PV,TI1133.PV,PI_1132B.PV,FI_1127.PV,TIA2876.PV,PDRSA1104.PV,LRCA1101.MV,LRCA1101.PV,FRC1424.PV,PDR1103.PV,FRC1102.MV,FIC_1127.PV,FIC_1127.MV,DR1105.PV,FRC1113.PV,FRC1113.MV,FI1113.PV,PI_1138A.PV,DR1108.PV,FI1902.PV,FRCA1110.MV,TIA2872.PV,PI_1180.PV,TRC1118A.MV,FT_1121.PV,PR1102A.PV,FRSA1101.PV,TI1105A.PV,TIA2873.PV,DR1106.PV,FRQ1623.PV,PI_1134.PV,TIC_1155.MV,FI1424.PV,DR1110.PV,DR1107.PV,PI_1132A.PV,PI_1182.PV,PDR1106.PV,FRC1107.MV,TIC_1101.SV,PDI_1109.PV
81.9675,488.99,85.3425,14.8969,0.1236,86,57.5625,15.7322,47.004,275.75,521.22,42.7674,710.24,12.302,72.2757,710.24,343.26,517.55,82.2825,358.55,0.1279,600.06,83.445,26.4465,72.4364,33.015,4.6,9.534,9.9783,600.06,19.4351,4.5297,2.6004,76.7659,2.6004,0.1278,358.4067,173.502,11.1293,84.51,0.2082,13.2925,343.26,0.197,173.502,541.04,85.005,57.6,9.1124,0.1304,20.3444,4.6,571.45,287.3475,0.179,0.1303,4.311,66.2164,520,47.004
81.9525,488.99,85.3575,14.8966,0.1237,86.05,57.525,15.7314,46.794,275.75,521.19,42.7663,710.24,12.302,72.2753,710.24,343.23,517.55,82.305,358.55,0.128,599.88,83.4075,26.3695,72.4383,33.015,4.5975,9.536,9.9783,599.88,19.4371,3.8984,2.6002,76.7661,2.6002,0.1279,358.5444,173.583,11.1294,84.54,0.2084,13.2925,343.23,0.1972,173.586,541.04,85.0125,57.6375,9.1118,0.1305,20.3443,4.5975,571.3,287.325,0.1789,0.1304,4.297,66.216,520,46.794
81.9375,488.99,85.395,14.8963,0.1238,86.05,57.6,15.7337,46.56,275.75,521.16,42.7652,710.16,12.302,72.2755,710.16,343.23,517.58,82.335,358.55,0.1281,599.76,83.4225,26.2815,72.4908,33.02,4.595,9.54,9.9782,599.76,19.4391,3.8984,2.6,76.7666,2.6,0.128,358.2,173.2455,11.1295,84.51,0.2086,13.2925,343.23,0.1974,173.236,541.04,85.05,57.5625,9.1113,0.1306,20.3442,4.595,571.35,286.7625,0.1788,0.1306,4.281,66.2157,520,46.56
81.9225,488.99,85.395,14.8961,0.1239,86.175,57.5625,15.7339,46.326,275.75,521.07,42.7718,710.08,12.3,72.2759,710.08,343.2,517.58,82.3575,358.55,0.1282,599.7,83.475,26.177,72.4933,33.02,4.5925,9.545,9.9781,599.7,19.4409,4.0359,2.5998,76.7674,2.5998,0.1281,357.8557,173.772,11.1295,84.495,0.2089,13.2925,343.2,0.1976,173.768,541,85.005,57.525,9.1108,0.1307,20.3442,4.5925,571.8,287.415,0.1786,0.1306,4.264,66.2161,520,46.326
81.9,488.99,85.365,14.9044,0.1241,86.65,57.5625,15.7342,45.924,275.75,520.92,42.7863,710,12.3,72.2764,710,343.17,517.58,82.335,358.55,0.1283,599.7,83.505,26.056,72.4958,33.02,4.5875,9.55,9.9788,599.7,19.4421,4.2531,2.5994,76.7691,2.5994,0.1283,357.8901,174.015,11.1296,84.4875,0.2093,13.2925,343.17,0.198,174.006,540.92,85.02,57.5625,9.1102,0.1309,20.3441,4.5875,571.15,286.8525,0.1785,0.1308,4.242,66.216,520,45.924
81.9,489.02,85.35,14.9044,0.1244,86.675,57.5625,15.7344,45.414,275.75,520.74,42.8051,709.92,12.3,72.277,709.92,343.11,517.58,82.32,358.5,0.1286,599.46,83.49,25.88,72.4983,33.02,4.58,9.559,9.9797,599.46,19.4464,4.5062,2.599,76.7714,2.599,0.1285,357.8557,173.691,11.1297,84.5025,0.2098,13.2925,343.11,0.1986,173.684,540.76,85.0725,57.6,9.1091,0.1311,20.344,4.58,571.3,287.19,0.1786,0.131,4.223,66.2167,520,45.414
81.93,489.02,85.2975,14.9044,0.1246,86.9,57.5625,15.7347,44.928,275.75,520.5,42.8322,709.76,12.3,72.2784,709.76,343.08,517.58,82.365,358.5,0.1288,599.28,83.4525,25.649,72.5008,33.02,4.5725,9.57,9.9801,599.28,19.4509,4.5062,2.5986,76.7741,2.5986,0.1288,358.3378,173.556,11.1298,84.4875,0.2102,13.2925,343.08,0.1991,173.558,540.56,85.0725,57.6,9.108,0.1313,20.3439,4.5725,571,287.3475,0.1785,0.1313,4.206,66.2169,520,44.928
81.9225,489.02,85.35,14.9044,0.1248,86.25,57.6,15.7349,44.592,275.75,520.26,42.8602,709.68,12.301,72.2794,709.68,343.02,517.58,82.335,358.5,0.129,599.34,83.4675,25.3905,72.5033,33.02,4.5675,9.583,9.9813,599.34,19.4531,4.3922,2.5982,76.7774,2.5982,0.129,358.3723,173.286,11.1298,84.4725,0.2106,13.2925,343.02,0.1994,173.292,540.32,85.11,57.5625,9.1069,0.1315,20.3439,4.5675,571.55,287.2575,0.178,0.1315,4.178,66.2178,520,44.592
81.975,489.02,85.38,14.9044,0.1249,86.875,57.5625,15.7352,44.856,275.75,520.05,42.8855,709.68,12.302,72.2799,709.68,343.02,517.58,82.3275,358.5,0.1289,599.58,83.4375,25.1595,72.4552,33.015,4.565,9.595,9.9812,599.58,19.4529,4.6953,2.5986,76.7781,2.5986,0.1291,358.2689,173.961,11.1299,84.525,0.2104,13.2925,343.02,0.1991,173.964,540.08,85.125,57.5625,9.1074,0.1316,20.3438,4.565,571.95,287.0775,0.177,0.1316,4.126,66.2182,520,44.856
81.9675,489.02,85.365,14.9044,0.1248,86.025,57.525,15.7354,44.958,275.75,519.96,42.8965,709.68,12.302,72.2804,709.68,343.02,517.58,82.335,358.5,0.1288,599.76,83.4675,25.132,72.4064,33.01,4.5675,9.598,9.9808,599.76,19.4524,4.1375,2.5986,76.7799,2.5986,0.129,357.649,172.962,11.13,84.5325,0.2102,13.3032,343.02,0.1991,172.956,539.84,85.08,57.525,9.1074,0.1316,20.3437,4.5675,571.4,287.145,0.1762,0.1315,4.045,66.2186,520,44.958
