AR1410B.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,DR1108.PV,DR1110.PV,FI1113.PV,FI1424.PV,FI1902.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1127.MV,FIC_1127.PV,FI_1127.PV,FRC1102.MV,FRC1107.MV,FRC1113.MV,FRC1113.PV,FRC1424.PV,FRCA1110.MV,FRCA1112.MV,FRQ1623.PV,FRSA1101.PV,FT_1121.PV,FT_1122.PV,LRCA1101.MV,LRCA1101.PV,PDI_1109.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1138A.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1132.PV,TI1133.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1101.SV,TIC_1155.MV,TI_1142.PV,TI_1145.PV,TRC1118A.MV
86.0,57.5625,4.5297,57.6,287.3475,358.4067,571.45,2.6004,4.6,173.502,343.26,72.2757,710.24,19.4351,600.06,600.06,9.9783,66.2164,76.7659,2.6004,4.6,11.1293,15.7322,9.1124,173.502,343.26,710.24,72.4364,33.015,47.004,9.534,4.311,12.302,47.004,26.4465,14.8969,0.179,0.1279,0.1304,0.1278,0.2082,0.1303,0.197,0.1236,541.04,275.75,358.55,84.51,85.005,85.3425,82.2825,83.445,81.9675,42.7674,521.22,520,20.3444,517.55,488.99,13.2925
86.05,57.525,3.8984,57.6375,287.325,358.5444,571.3,2.6002,4.5975,173.583,343.23,72.2753,710.24,19.4371,599.88,599.88,9.9783,66.216,76.7661,2.6002,4.5975,11.1294,15.7314,9.1118,173.586,343.23,710.24,72.4383,33.015,46.794,9.536,4.297,12.302,46.794,26.3695,14.8966,0.1789,0.128,0.1305,0.1279,0.2084,0.1304,0.1972,0.1237,541.04,275.75,358.55,84.54,85.0125,85.3575,82.305,83.4075,81.9525,42.7663,521.19,520,20.3443,517.55,488.99,13.2925
86.05,57.6,3.8984,57.5625,286.7625,358.2,571.35,2.6,4.595,173.2455,343.23,72.2755,710.16,19.4391,599.76,599.76,9.9782,66.2157,76.7666,2.6,4.595,11.1295,15.7337,9.1113,173.236,343.23,710.16,72.4908,33.02,46.56,9.54,4.281,12.302,46.56,26.2815,14.8963,0.1788,0.1281,0.1306,0.128,0.2086,0.1306,0.1974,0.1238,541.04,275.75,358.55,84.51,85.05,85.395,82.335,83.4225,81.9375,42.7652,521.16,520,20.3442,517.58,488.99,13.2925
86.175,57.5625,4.0359,57.525,287.415,357.8557,571.8,2.5998,4.5925,173.772,343.2,72.2759,710.08,19.4409,599.7,599.7,9.9781,66.2161,76.7674,2.5998,4.5925,11.1295,15.7339,9.1108,173.768,343.2,710.08,72.4933,33.02,46.326,9.545,4.264,12.3,46.326,26.177,14.8961,0.1786,0.1282,0.1307,0.1281,0.2089,0.1306,0.1976,0.1239,541.0,275.75,358.55,84.495,85.005,85.395,82.3575,83.475,81.9225,42.7718,521.07,520,20.3442,517.58,488.99,13.2925
86.65,57.5625,4.2531,57.5625,286.8525,357.8901,571.15,2.5994,4.5875,174.015,343.17,72.2764,710.0,19.4421,599.7,599.7,9.9788,66.216,76.7691,2.5994,4.5875,11.1296,15.7342,9.1102,174.006,343.17,710.0,72.4958,33.02,45.924,9.55,4.242,12.3,45.924,26.056,14.9044,0.1785,0.1283,0.1309,0.1283,0.2093,0.1308,0.198,0.1241,540.92,275.75,358.55,84.4875,85.02,85.365,82.335,83.505,81.9,42.7863,520.92,520,20.3441,517.58,488.99,13.2925
86.675,57.5625,4.5062,57.6,287.19,357.8557,571.3,2.599,4.58,173.691,343.11,72.277,709.92,19.4464,599.46,599.46,9.9797,66.2167,76.7714,2.599,4.58,11.1297,15.7344,9.1091,173.684,343.11,709.92,72.4983,33.02,45.414,9.559,4.223,12.3,45.414,25.88,14.9044,0.1786,0.1286,0.1311,0.1285,0.2098,0.131,0.1986,0.1244,540.76,275.75,358.5,84.5025,85.0725,85.35,82.32,83.49,81.9,42.8051,520.74,520,20.344,517.58,489.02,13.2925
86.9,57.5625,4.5062,57.6,287.3475,358.3378,571.0,2.5986,4.5725,173.556,343.08,72.2784,709.76,19.4509,599.28,599.28,9.9801,66.2169,76.7741,2.5986,4.5725,11.1298,15.7347,9.108,173.558,343.08,709.76,72.5008,33.02,44.928,9.57,4.206,12.3,44.928,25.649,14.9044,0.1785,0.1288,0.1313,0.1288,0.2102,0.1313,0.1991,0.1246,540.56,275.75,358.5,84.4875,85.0725,85.2975,82.365,83.4525,81.93,42.8322,520.5,520,20.3439,517.58,489.02,13.2925
86.25,57.6,4.3922,57.5625,287.2575,358.3723,571.55,2.5982,4.5675,173.286,343.02,72.2794,709.68,19.4531,599.34,599.34,9.9813,66.2178,76.7774,2.5982,4.5675,11.1298,15.7349,9.1069,173.292,343.02,709.68,72.5033,33.02,44.592,9.583,4.178,12.301,44.592,25.3905,14.9044,0.178,0.129,0.1315,0.129,0.2106,0.1315,0.1994,0.1248,540.32,275.75,358.5,84.4725,85.11,85.35,82.335,83.4675,81.9225,42.8602,520.26,520,20.3439,517.58,489.02,13.2925
86.875,57.5625,4.6953,57.5625,287.0775,358.2689,571.95,2.5986,4.565,173.961,343.02,72.2799,709.68,19.4529,599.58,599.58,9.9812,66.2182,76.7781,2.5986,4.565,11.1299,15.7352,9.1074,173.964,343.02,709.68,72.4552,33.015,44.856,9.595,4.126,12.302,44.856,25.1595,14.9044,0.177,0.1289,0.1316,0.1291,0.2104,0.1316,0.1991,0.1249,540.08,275.75,358.5,84.525,85.125,85.38,82.3275,83.4375,81.975,42.8855,520.05,520,20.3438,517.58,489.02,13.2925
86.025,57.525,4.1375,57.525,287.145,357.649,571.4,2.5986,4.5675,172.962,343.02,72.2804,709.68,19.4524,599.76,599.76,9.9808,66.2186,76.7799,2.5986,4.5675,11.13,15.7354,9.1074,172.956,343.02,709.68,72.4064,33.01,44.958,9.598,4.045,12.302,44.958,25.132,14.9044,0.1762,0.1288,0.1316,0.129,0.2102,0.1315,0.1991,0.1248,539.84,275.75,358.5,84.5325,85.08,85.365,82.335,83.4675,81.9675,42.8965,519.96,520,20.3437,517.58,489.02,13.3032
