FI1127,FRCA1110,LRCA1101,PDRSA1104,PI1132,TI1105,TI1145,FRC1424,TI1142,DR1106
599.94,11.1147,33.095,20.941,0.1306,536.16,486.11,4.5225,514.49,57.5625
600,11.1173,33.09,20.9905,0.1305,536.24,486.11,4.5225,514.49,57.525
600,11.1173,33.09,21.0455,0.1305,536.28,486.11,4.5225,514.49,57.6
600,11.1204,33.09,21.1115,0.1305,536.36,486.11,4.5225,514.49,57.525
600.06,11.1185,33.09,21.1665,0.1305,536.44,486.11,4.525,514.49,57.5625
600.06,11.1186,33.09,21.2325,0.1305,536.52,486.11,4.525,514.49,57.6
600.06,11.1149,33.09,21.304,0.1304,536.6,486.11,4.5275,514.49,57.525
600.12,11.1175,33.09,21.3755,0.1304,536.72,486.11,4.5275,514.49,57.525
600.12,11.1168,33.09,21.447,0.1304,536.8,486.11,4.5275,514.49,57.6
600.12,11.1204,33.09,21.513,0.1304,536.92,486.11,4.53,514.49,57.5625
600.18,11.1177,33.09,21.5845,0.1303,537.04,486.11,4.53,514.49,57.525
600.18,11.1176,33.09,21.6505,0.1303,537.16,486.11,4.5325,514.52,57.5625
600.06,11.1144,33.09,21.722,0.1303,537.28,486.11,4.5325,514.52,57.5625
600.06,11.1162,33.095,21.7935,0.1303,537.4,486.11,4.5325,514.52,57.5625
600.06,11.116,33.095,21.8595,0.1302,537.52,486.11,4.535,514.52,57.6
600.12,11.117,33.095,21.9695,0.1302,537.76,486.14,4.535,514.52,57.6
600.12,11.1168,33.1,22.019,0.1302,537.88,486.14,4.5375,514.55,57.6
600.12,11.1166,33.1,22.074,0.1302,537.96,486.14,4.5375,514.55,57.5625
600.12,11.1164,33.1,22.118,0.1302,538.08,486.14,4.5375,514.55,57.525
600.12,11.1163,33.1,22.162,0.1302,538.2,486.17,4.5375,514.55,57.525
600.12,11.1161,33.105,22.2005,0.1302,538.28,486.17,4.5375,514.58,57.6
600.12,11.1159,33.105,22.2335,0.1301,538.36,486.17,4.5375,514.58,57.6
599.94,11.1158,33.105,22.2665,0.1301,538.48,486.17,4.5375,514.58,57.6
599.94,11.1156,33.105,22.305,0.1301,538.56,486.2,4.5375,514.61,57.6
599.94,11.1154,33.11,22.338,0.1301,538.64,486.2,4.5375,514.61,57.5625
600.12,11.1152,33.11,22.3655,0.1301,538.72,486.2,4.5375,514.61,57.525
600.12,11.1151,33.11,22.3875,0.1301,538.76,486.23,4.5375,514.64,57.525
600.12,11.1149,33.11,22.404,0.1302,538.84,486.23,4.5375,514.64,57.5625
599.94,11.1147,33.115,22.4315,0.1302,538.92,486.23,4.5375,514.64,57.5625
599.94,11.1145,33.115,22.459,0.1302,538.96,486.26,4.5375,514.67,57.6
599.94,11.1181,33.115,22.4865,0.1302,539.04,486.26,4.5375,514.67,57.6
599.94,11.1192,33.115,22.514,0.1301,539.08,486.29,4.5375,514.7,57.525
600.12,11.1203,33.115,22.5415,0.1301,539.16,486.29,4.5375,514.7,57.5625
600.12,11.1176,33.115,22.569,0.1301,539.24,486.29,4.5375,514.73,57.6
600.12,11.1174,33.12,22.602,0.1301,539.28,486.32,4.5375,514.73,57.6
599.94,11.1135,33.12,22.6405,0.1301,539.36,486.32,4.54,514.73,57.6
600,11.1159,33.12,22.679,0.1301,539.4,486.35,4.54,514.76,57.525
600,11.1157,33.12,22.723,0.1301,539.48,486.35,4.54,514.76,57.5625
600,11.1193,33.12,22.767,0.1301,539.56,486.35,4.54,514.79,57.6
600,11.1166,33.12,22.811,0.13,539.64,486.38,4.5425,514.79,57.6
600.06,11.1164,33.125,22.855,0.13,539.72,486.38,4.5425,514.82,57.525
600.06,11.1162,33.125,22.9155,0.13,539.8,486.41,4.5425,514.82,57.6
600.12,11.1161,33.125,22.9705,0.1299,539.88,486.41,4.545,514.85,57.5625
600.12,11.1159,33.125,23.0255,0.1299,540,486.44,4.545,514.85,57.5625
600.12,11.1157,33.125,23.086,0.1299,540.08,486.44,4.5475,514.88,57.5625
600.18,11.1156,33.13,23.1465,0.1298,540.2,486.47,4.5475,514.91,57.6
600.18,11.1154,33.13,23.207,0.1298,540.28,486.47,4.55,514.91,57.525
600.24,11.1152,33.13,23.2675,0.1298,540.4,486.5,4.55,514.94,57.5625
600.06,11.115,33.13,23.3335,0.1297,540.52,486.5,4.5525,514.94,57.6
600.12,11.1149,33.135,23.394,0.1297,540.6,486.53,4.5525,514.97,57.6
600.12,11.1147,33.135,23.4545,0.1297,540.72,486.56,4.555,515,57.5625
600.18,11.1145,33.135,23.5205,0.1296,540.84,486.56,4.555,515,57.5625
600.18,11.1174,33.14,23.5755,0.1296,540.96,486.59,4.555,515.03,57.6
600.18,11.1182,33.14,23.625,0.1296,541.04,486.62,4.5575,515.06,57.6
600.18,11.119,33.14,23.68,0.1295,541.16,486.62,4.5575,515.06,57.6
600.24,11.1168,33.145,23.7295,0.1295,541.24,486.65,4.5575,515.09,57.525
600.06,11.1167,33.145,23.779,0.1295,541.36,486.68,4.56,515.12,57.6
600.06,11.1165,33.145,23.8175,0.1295,541.44,486.68,4.56,515.15,57.5625
600.12,11.1163,33.15,23.856,0.1295,541.52,486.71,4.56,515.15,57.6
600.12,11.1162,33.15,23.8945,0.1294,541.64,486.74,4.56,515.18,57.6
600.12,11.116,33.15,23.9275,0.1294,541.72,486.74,4.5625,515.21,57.525
600.12,11.1158,33.155,23.9605,0.1294,541.76,486.77,4.5625,515.24,57.6
600.12,11.1156,33.155,23.988,0.1294,541.84,486.8,4.5625,515.24,57.6
600.12,11.1155,33.155,24.0155,0.1294,541.92,486.83,4.5625,515.27,57.525
600.12,11.1153,33.16,24.0375,0.1294,541.96,486.83,4.5625,515.3,57.5625
600.12,11.1151,33.16,24.065,0.1294,542.04,486.86,4.5625,515.33,57.6
599.94,11.115,33.16,24.087,0.1294,542.08,486.89,4.5625,515.36,57.6375
599.94,11.1148,33.16,24.1035,0.1294,542.12,486.92,4.5625,515.39,57.525
599.94,11.1146,33.16,24.1255,0.1294,542.16,486.95,4.5625,515.39,57.525
600.12,11.1174,33.16,24.142,0.1293,542.2,486.95,4.5625,515.42,57.5625
600.12,11.1183,33.165,24.1585,0.1293,542.24,486.98,4.5625,515.45,57.5625
600.12,11.1191,33.165,24.175,0.1293,542.28,487.01,4.5625,515.48,57.6
600,11.1169,33.165,24.197,0.1293,542.32,487.04,4.565,515.51,57.5625
600,11.1168,33.165,24.2245,0.1293,542.36,487.04,4.565,515.54,57.5625
600,11.1166,33.165,24.2465,0.1293,542.4,487.07,4.565,515.54,57.5625
600,11.1164,33.165,24.2685,0.1293,542.44,487.1,4.565,515.57,57.5625
600,11.1162,33.165,24.296,0.1293,542.48,487.13,4.565,515.6,57.525
600,11.1161,33.165,24.3235,0.1293,542.52,487.16,4.565,515.63,57.525
600.06,11.1159,33.165,24.3565,0.1292,542.52,487.16,4.565,515.66,57.6
600.06,11.1157,33.165,24.384,0.1292,542.56,487.19,4.5675,515.69,57.525
600.06,11.1156,33.165,24.417,0.1292,542.6,487.22,4.5675,515.72,57.6
600.06,11.1154,33.165,24.45,0.1292,542.64,487.25,4.5675,515.72,57.5625
600.12,11.1152,33.165,24.483,0.1292,542.68,487.28,4.5675,515.75,57.525
600.12,11.115,33.165,24.516,0.1291,542.76,487.28,4.57,515.78,57.5625
600.12,11.1149,33.165,24.56,0.1291,542.8,487.31,4.57,515.81,57.6
600.12,11.1147,33.165,24.593,0.1291,542.84,487.34,4.57,515.84,57.5625
600.18,11.1145,33.165,24.6315,0.1291,542.88,487.37,4.5725,515.87,57.6
600.18,11.1174,33.165,24.6645,0.129,542.92,487.4,4.5725,515.9,57.6
600.06,11.1182,33.165,24.703,0.129,543,487.43,4.5725,515.9,57.5625
600.06,11.119,33.165,24.7415,0.129,543.04,487.43,4.575,515.93,57.5625
600.06,11.1168,33.165,24.78,0.129,543.08,487.46,4.575,515.96,57.5625
600.06,11.1167,33.165,24.813,0.1289,543.12,487.49,4.575,515.99,57.525
600.12,11.1165,33.165,24.8515,0.1289,543.16,487.52,4.575,516.02,57.5625
600.12,11.1163,33.17,24.879,0.1289,543.2,487.55,4.5775,516.05,57.6
600.12,11.1162,33.17,24.912,0.1289,543.24,487.58,4.5775,516.08,57.6
600.12,11.116,33.17,24.9395,0.1289,543.28,487.58,4.5775,516.11,57.525
600.12,11.1158,33.17,24.9615,0.1288,543.32,487.61,4.5775,516.14,57.5625
600.12,11.1156,33.17,24.989,0.1288,543.36,487.64,4.5775,516.17,57.525
600.18,11.1155,33.165,25.011,0.1288,543.4,487.67,4.5775,516.17,57.5625
600,11.1153,33.165,25.0275,0.1288,543.44,487.7,4.58,516.2,57.525
600,11.1151,33.165,25.0495,0.1288,543.48,487.73,4.58,516.23,57.6
600,11.115,33.165,25.0715,0.1288,543.48,487.73,4.58,516.26,57.6
600,11.1148,33.165,25.0935,0.1288,543.52,487.76,4.58,516.29,57.525
600,11.1146,33.165,25.1045,0.1288,543.56,487.79,4.58,516.32,57.5625
600,11.1144,33.165,25.1045,0.1288,543.56,487.79,4.58,516.32,57.5625
600,11.1143,33.165,25.1045,0.1288,543.56,487.79,4.58,516.32,57.5625
600,11.1141,33.165,25.1045,0.1288,543.56,487.79,4.58,516.32,57.5625
600,11.1139,33.165,25.1045,0.1288,543.56,487.79,4.58,516.32,57.5625
600,11.1168,33.165,25.121,0.1288,543.56,487.82,4.58,516.35,57.5625
600.06,11.1176,33.165,25.176,0.1287,543.56,487.88,4.58,516.41,57.6
600.06,11.1184,33.165,25.2035,0.1287,543.6,487.91,4.5825,516.41,57.6
600.06,11.1162,33.16,25.231,0.1287,543.6,487.91,4.5825,516.44,57.525
600.06,11.1161,33.16,25.2585,0.1287,543.6,487.94,4.5825,516.47,57.5625
600.06,11.1159,33.16,25.286,0.1286,543.64,487.97,4.5825,516.5,57.525
600.12,11.1157,33.16,25.3025,0.1286,543.64,488,4.5825,516.53,57.5625
600.12,11.1156,33.16,25.33,0.1286,543.68,488.03,4.585,516.56,57.5625
600.12,11.1154,33.155,25.352,0.1286,543.68,488.06,4.585,516.59,57.6
600.12,11.1152,33.155,25.3685,0.1286,543.68,488.06,4.585,516.62,57.525
600.12,11.115,33.155,25.3905,0.1286,543.72,488.09,4.585,516.65,57.5625
600.12,11.1149,33.155,25.4125,0.1286,543.72,488.12,4.585,516.65,57.5625
600.18,11.1147,33.155,25.4345,0.1285,543.72,488.15,4.585,516.68,57.6
600,11.1145,33.15,25.462,0.1285,543.76,488.18,4.5875,516.71,57.6375
600,11.1174,33.15,25.4785,0.1285,543.76,488.18,4.5875,516.74,57.6
600,11.1182,33.15,25.495,0.1285,543.76,488.21,4.5875,516.77,57.525
600.06,11.119,33.15,25.5115,0.1285,543.8,488.24,4.5875,516.8,57.6375
600.06,11.1168,33.15,25.528,0.1285,543.8,488.27,4.5875,516.83,57.5625
600.06,11.1167,33.145,25.5445,0.1285,543.8,488.3,4.5875,516.83,57.5625
600.06,11.1165,33.145,25.561,0.1285,543.8,488.3,4.5875,516.86,57.525
600.06,11.1163,33.145,25.5665,0.1285,543.8,488.33,4.5875,516.89,57.6375
600.06,11.1162,33.14,25.5775,0.1284,543.8,488.36,4.5875,516.92,57.6
600.06,11.116,33.14,25.594,0.1284,543.8,488.39,4.5875,516.95,57.5625
600.06,11.1158,33.14,25.5995,0.1284,543.8,488.42,4.5875,516.98,57.5625
600.06,11.1156,33.14,25.616,0.1284,543.8,488.42,4.59,516.98,57.5625
600.06,11.1155,33.135,25.6215,0.1284,543.8,488.45,4.59,517.01,57.5625
600.06,11.1153,33.135,25.638,0.1284,543.8,488.48,4.59,517.04,57.525
600.12,11.1151,33.135,25.6545,0.1284,543.8,488.51,4.59,517.07,57.6
600.12,11.115,33.13,25.6765,0.1284,543.8,488.51,4.59,517.1,57.525
600.12,11.1148,33.13,25.6985,0.1283,543.8,488.54,4.59,517.1,57.5625
600.12,11.1146,33.13,25.726,0.1283,543.84,488.57,4.5925,517.13,57.6
600,11.1182,33.13,25.748,0.1283,543.84,488.6,4.5925,517.16,57.525
600,11.1185,33.125,25.759,0.1283,543.84,488.6,4.5925,517.19,57.5625
600,11.1194,33.125,25.781,0.1283,543.84,488.63,4.5925,517.19,57.6
600,11.1172,33.125,25.803,0.1283,543.84,488.66,4.5925,517.22,57.6
600,11.117,33.12,25.8195,0.1282,543.88,488.69,4.5925,517.25,57.5625
600.06,11.1168,33.12,25.836,0.1282,543.88,488.69,4.595,517.28,57.5625
600.06,11.1167,33.12,25.8525,0.1282,543.88,488.72,4.595,517.31,57.525
600.06,11.1165,33.115,25.869,0.1282,543.88,488.75,4.595,517.31,57.5625
600.06,11.1163,33.115,25.8855,0.1282,543.88,488.75,4.595,517.34,57.5625
600.06,11.1162,33.115,25.8965,0.1282,543.88,488.78,4.595,517.37,57.6
600.06,11.116,33.11,25.913,0.1282,543.88,488.81,4.595,517.4,57.525
600.06,11.1158,33.11,25.9295,0.1281,543.88,488.84,4.595,517.4,57.5625
600.12,11.1156,33.11,25.946,0.1281,543.92,488.84,4.5975,517.43,57.6
600.12,11.1155,33.11,25.957,0.1281,543.92,488.87,4.5975,517.46,57.5625
600.12,11.1153,33.105,25.9735,0.1281,543.92,488.9,4.5975,517.49,57.5625
600.12,11.1151,33.105,25.99,0.1281,543.92,488.9,4.5975,517.49,57.525
600.12,11.1149,33.105,26.0065,0.1281,543.92,488.93,4.5975,517.52,57.5625
600.12,11.1148,33.1,26.023,0.1281,543.92,488.96,4.5975,517.55,57.5625
600.12,11.1146,33.1,26.034,0.1281,543.92,488.99,4.5975,517.58,57.525
600,11.1182,33.1,26.0395,0.128,543.92,488.99,4.5975,517.58,57.6
600,11.1193,33.095,26.056,0.128,543.92,489.02,4.6,517.61,57.6
600,11.1203,33.095,26.067,0.128,543.92,489.05,4.6,517.64,57.525
600,11.1177,33.095,26.089,0.128,543.92,489.05,4.6,517.64,57.6
600.06,11.1175,33.09,26.111,0.128,543.92,489.08,4.6,517.67,57.5625
600.06,11.1136,33.09,26.1385,0.1279,543.92,489.11,4.6025,517.7,57.525
600.06,11.1159,33.09,26.166,0.1279,543.92,489.11,4.6025,517.7,57.6
600.06,11.1157,33.085,26.1935,0.1279,543.96,489.14,4.6025,517.73,57.525
600.12,11.1193,33.085,26.2155,0.1279,543.96,489.17,4.6025,517.76,57.6
600.12,11.1166,33.085,26.232,0.1279,543.96,489.17,4.6025,517.79,57.5625
600.12,11.1165,33.08,26.2485,0.1279,544,489.2,4.6025,517.79,57.5625
600.12,11.1163,33.08,26.2595,0.1279,544,489.2,4.605,517.82,57.6
600.12,11.1161,33.08,26.265,0.1278,544,489.23,4.605,517.85,57.6
600.12,11.116,33.075,26.276,0.1278,544,489.26,4.605,517.85,57.6
600.12,11.1158,33.075,26.287,0.1278,544,489.26,4.605,517.88,57.6
600.12,11.1156,33.075,26.298,0.1278,544,489.29,4.605,517.91,57.6
600,11.1154,33.075,26.3145,0.1278,544,489.32,4.605,517.91,57.5625
600,11.1153,33.07,26.331,0.1278,544,489.32,4.605,517.94,57.6375
600,11.1151,33.07,26.342,0.1278,544,489.35,4.605,517.97,57.525
600,11.1149,33.07,26.3585,0.1278,544,489.38,4.6075,517.97,57.6375
600,11.1148,33.065,26.3695,0.1277,544,489.38,4.6075,518,57.6
600.06,11.1146,33.065,26.386,0.1277,544,489.41,4.6075,518.03,57.6
600.06,11.1182,33.065,26.408,0.1277,544,489.41,4.6075,518.03,57.5625
600.06,11.1192,33.06,26.4245,0.1277,544,489.44,4.6075,518.06,57.5625
600.06,11.1203,33.06,26.441,0.1277,544,489.47,4.6075,518.09,57.5625
600.06,11.1177,33.06,26.452,0.1277,544,489.47,4.6075,518.09,57.5625
600.06,11.1175,33.055,26.463,0.1277,544,489.5,4.61,518.12,57.5625
600.06,11.1143,33.055,26.474,0.1276,544,489.5,4.61,518.12,57.5625
600.12,11.1161,33.055,26.485,0.1276,544,489.53,4.61,518.15,57.5625
600.12,11.116,33.05,26.5015,0.1276,544,489.56,4.61,518.18,57.525
600.12,11.1195,33.05,26.5125,0.1276,544,489.56,4.61,518.18,57.5625
600.12,11.1176,33.05,26.518,0.1276,544,489.59,4.61,518.21,57.525
600.12,11.1177,33.045,26.5345,0.1276,544,489.59,4.61,518.21,57.5625
600.12,11.1178,33.045,26.551,0.1276,543.96,489.62,4.61,518.24,57.5625
600,11.1179,33.045,26.562,0.1275,543.96,489.62,4.6125,518.27,57.6
600,11.1179,33.045,26.5785,0.1275,543.96,489.65,4.6125,518.27,57.6
600,11.118,33.04,26.5895,0.1275,543.96,489.68,4.6125,518.3,57.5625
600,11.1181,33.04,26.6005,0.1275,543.96,489.68,4.6125,518.3,57.5625
600,11.1182,33.04,26.6225,0.1275,543.96,489.71,4.6125,518.33,57.6
600,11.1182,33.035,26.6335,0.1275,543.96,489.71,4.6125,518.36,57.6
600,11.1183,33.035,26.6445,0.1275,543.96,489.74,4.6125,518.36,57.6
600,11.1184,33.035,26.65,0.1275,543.92,489.74,4.6125,518.39,57.6
600,11.1185,33.03,26.6555,0.1275,543.92,489.77,4.6125,518.39,57.6
600,11.1186,33.03,26.6555,0.1275,543.92,489.77,4.6125,518.42,57.6
600.06,11.1186,33.03,26.661,0.1275,543.88,489.8,4.6125,518.42,57.6
600.06,11.1187,33.025,26.6665,0.1274,543.88,489.8,4.6125,518.45,57.6
600.06,11.1188,33.025,26.6775,0.1274,543.84,489.83,4.615,518.45,57.6
600.06,11.1189,33.025,26.683,0.1274,543.84,489.83,4.615,518.48,57.6
600.06,11.119,33.02,26.6885,0.1274,543.84,489.86,4.615,518.51,57.6
600.06,11.119,33.02,26.6995,0.1274,543.8,489.86,4.615,518.51,57.525
600.06,11.1191,33.02,26.705,0.1274,543.8,489.89,4.615,518.54,57.6
600.06,11.1192,33.02,26.716,0.1274,543.76,489.89,4.615,518.54,57.6
600.06,11.1193,33.015,26.727,0.1274,543.76,489.92,4.615,518.57,57.6
