x0,x1,x2,x3,x4,x5,x6,x7
-0.964,1.039,-0.144,1.084,-0.203,-1.675,-0.121,-0.078
-0.965,1.061,0.46,0.39,-0.23,-1.466,0.325,0.863
0.034,0.385,-0.102,0.512,-0.153,0.759,0.029,0.85
0.044,0.396,0.745,1.219,-1.227,0.609,0.068,0.898
-0.231,-0.842,0.114,-0.913,-0.162,1.449,-0.463,-0.612
-0.273,-0.764,0.012,-0.725,-0.366,0.806,1.495,-0.163
-1.248,-0.299,0.373,-1.13,-0.114,0.769,0.756,0.767
-1.914,-0.062,-0.543,-1.533,-0.314,0.574,-0.122,0.347
-1.958,-1.301,1.358,-1.59,-0.373,-1.088,0.914,-2.196
-0.634,-0.367,0.209,-0.263,1.8,-0.568,0.874,-1.464
0.673,0.056,0.93,0.262,-1.141,-1.018,1.376,0.134
1.493,-0.317,0.734,0.769,-0.581,-0.681,-0.42,0.335
0.474,-0.022,-0.163,0.603,-1.255,0.371,0.562,-1.164
-0.728,-1.312,-0.325,0.304,-0.256,0.147,0.75,-0.735
-1.004,-1.9,0.977,0.814,-0.132,0.579,-0.022,0.919
-0.685,-0.773,0.248,1.786,-0.513,0.493,0.722,1.733
0.23,-0.954,1.689,0.133,0.883,1.999,0.413,0.254
0.976,-0.499,-0.528,-0.634,0.595,2.382,-0.399,-0.403
1.5,0.426,0.192,-0.209,0.522,0.363,-0.531,0.618
2.038,0.124,-1.65,-0.639,0.257,0.4,-0.845,-0.192
1.317,-2.277,-1.779,0.086,0.172,1.217,-0.984,0.513
-0.3,-1.242,-1.27,-0.139,-0.112,-0.954,-0.242,1.782
-1.991,-1.044,-1.211,-0.272,-0.682,-0.356,-0.598,0.387
-2.41,-0.748,-0.307,1.031,-0.364,-0.498,0.438,0.748
-1.883,0.4,0.56,1.887,-1.922,-0.568,0.333,-1.157
-1.989,-1.079,-0.113,0.981,-0.512,0.523,0.827,0.087
-0.5,-0.298,1.096,1.84,0.137,1.632,2.295,-1.494
0.582,1.233,-0.224,1.587,0.73,1.684,1.9,-0.316
-0.794,0.057,1.666,0.837,0.55,2.037,0.509,-0.092
-0.035,0.415,-0.383,-0.511,0.362,0.889,0.227,-1.045
-0.928,1.017,-0.168,-0.993,-0.526,1.051,-0.2,0.531
-0.501,0.65,-0.193,-1.408,-0.043,0.175,-0.8,1.493
0.434,-0.278,0.256,-1.519,-0.443,-0.063,-1.591,1.118
0.289,-0.765,-0.937,-1.676,0.682,-2.237,-0.651,0.02
-0.563,0.239,-0.408,-1.713,-0.666,-1.44,1.378,-0.689
-1.121,0.628,-1.167,-1.038,-0.427,-1.283,1.515,-0.601
-1.093,-0.406,-0.339,-0.171,0.774,-0.148,2.147,-0.073
-1.296,-1.172,0.156,-0.12,-0.009,0.112,0.032,-0.885
-1.146,-1.653,1.064,0.099,1.573,0.554,-1.507,-1.082
-0.8,0.529,0.881,0.302,-0.607,-0.075,-1.285,-3.363
-0.012,0.198,1.604,0.105,1.612,0.43,-1.985,-1.999
-0.498,2.094,0.39,-0.215,-0.541,-0.567,-1.37,-0.757
