x0,x1,x2,x3,x4,x5,x6,x7
-1.024,1.065,-0.082,1.157,-0.158,-1.787,-0.175,-0.148
-0.857,1.213,0.313,0.198,-0.179,-1.287,0.288,0.858
-0.002,0.508,-0.268,0.572,-0.15,0.766,-0.028,0.722
0.032,0.347,0.845,1.229,-1.232,0.692,0.082,0.903
-0.141,-0.852,0.088,-0.85,0.002,1.306,-0.472,-0.818
-0.212,-0.712,0.215,-0.786,-0.329,0.839,1.607,-0.152
-1.345,-0.147,0.325,-0.992,0.015,0.875,0.77,0.737
-1.758,0.024,-0.58,-1.583,-0.094,0.678,-0.008,0.361
-2.051,-1.265,1.449,-1.591,-0.359,-0.983,1.026,-2.18
-0.755,-0.364,0.02,-0.079,1.924,-0.676,0.788,-1.565
0.633,0.082,0.937,0.227,-1.0,-1.132,1.296,0.11
1.479,-0.157,0.788,0.666,-0.699,-0.51,-0.416,0.4
0.422,0.154,-0.193,0.595,-1.281,0.374,0.554,-1.302
-0.764,-1.203,-0.545,0.315,-0.375,0.345,0.673,-0.919
-1.035,-1.725,0.938,0.835,-0.197,0.471,-0.058,0.783
-0.551,-0.764,0.132,1.76,-0.686,0.462,0.755,1.657
0.281,-0.888,1.69,0.268,1.059,1.94,0.482,0.23
0.852,-0.342,-0.503,-0.551,0.383,2.426,-0.538,-0.453
1.474,0.329,0.284,-0.084,0.436,0.4,-0.656,0.543
2.047,0.253,-1.666,-0.648,0.236,0.463,-0.822,-0.15
1.281,-2.309,-1.856,0.041,0.261,1.329,-0.891,0.399
-0.192,-1.251,-1.353,-0.296,-0.106,-0.901,-0.226,1.564
-2.07,-1.076,-1.352,-0.357,-0.642,-0.413,-0.492,0.381
-2.517,-0.832,-0.216,0.773,-0.15,-0.537,0.338,0.932
-1.914,0.497,0.506,2.06,-1.946,-0.594,0.262,-1.359
-2.029,-1.007,0.009,0.876,-0.485,0.461,0.898,0.253
-0.413,-0.125,0.929,1.66,0.304,1.682,2.16,-1.47
0.752,1.252,-0.148,1.547,0.708,1.672,2.032,-0.314
-0.833,0.085,1.554,0.701,0.532,1.897,0.418,-0.095
0.099,0.387,-0.28,-0.493,0.323,0.862,0.267,-1.012
-0.886,0.661,-0.17,-0.883,-0.466,0.957,-0.007,0.636
-0.394,0.636,-0.208,-1.506,0.028,0.365,-0.865,1.461
0.45,-0.271,0.271,-1.376,-0.646,0.053,-1.473,1.085
0.286,-0.732,-1.025,-1.658,0.59,-2.175,-0.743,-0.011
-0.532,0.307,-0.393,-1.877,-0.563,-1.574,1.4,-0.643
