PRCA1101B.PV,PI_1136.PV,TI1116A.PV,TI_1142.PV,TI_1149A.PV,FIC_1127.PV,TDRCA1117A.OUT,TI_1152A.PV,PDR1103.PV,TI1105A.PV,TI_1140.PV,TRA1401A.PV,PI_1134.PV,TIA1114.PV,TI1111.PV,PI_1138A.PV,PDI_1138.OUT,TI1115A.PV,TI1135.PV,TRCA1130.PV,PDRCA1109.PV,FRC1102.PV,PI_1180.PV,PRA1102.PV,FRSA1101.PV,PR1401.PV,TI_1150A.PV,TI_1151A.PV,PI_1132A.PV,TIC_1101.PV,PDI_1132.OUT,FIC_1121.PV,PDRA1102.OUT,WR1104.PV,TI_1146.PV,PR1102A.PV,PIK1101A.OUT,PDR1106.PV,TIC_1155.PV,TI1117A.PV,PDR1401.PV
0.15,0.24396,517.299988,517.309998,521.940002,599.820007,3.300049,590.005005,9.37,541.919983,212.479996,661.299988,0.12004,661.299988,486.764984,0.117275,4.555002,669.599976,341.049988,212.479996,55.871998,999.599976,0.1988,0.112725,169.343994,0.15,521.940002,521.940002,0.16495,521.940002,48.170002,345.299988,71.309998,145.651001,685.559998,0.18807,52.25555,4.054,590.005005,676.149963,12.299999
0.15,0.24396,517.299988,517.309998,521.820007,599.76001,3.300049,590.005005,9.373,541.799988,212.479996,661.299988,0.1201,661.299988,486.764984,0.117325,4.545003,669.599976,341,212.479996,55.745998,999.599976,0.19888,0.112785,169.442001,0.15,521.820007,521.820007,0.164925,521.820007,48.104996,345.269989,71.400009,145.651001,685.559998,0.18822,52.25555,4.051,590.005005,676.149963,12.299999
0.15,0.24396,517.299988,517.339966,521.72998,599.700012,3.350037,590.005005,9.375999,541.719971,212.479996,661.299988,0.12016,661.299988,486.764984,0.1174,4.539996,669.599976,340.949982,212.479996,55.601997,999.599976,0.19904,0.11286,169.539993,0.15,521.72998,521.72998,0.1649,521.72998,47.999992,345.269989,71.460007,145.651001,685.599976,0.18834,52.25555,4.045,590.005005,676.149963,12.299999
0.15,0.24396,517.349976,517.339966,521.580017,599.820007,3.350037,590.005005,9.38,541.599976,212.479996,661.299988,0.12024,661.299988,486.809998,0.117475,4.534997,669.599976,340.899994,212.479996,55.452,999.599976,0.1992,0.112935,169.610001,0.15,521.580017,521.580017,0.164875,521.580017,47.915005,345.23999,71.520004,145.662003,685.599976,0.18849,52.25555,4.038,590.005005,676.149963,12.299999
0.15,0.24396,517.349976,517.339966,521.459961,599.76001,3.350037,590.005005,9.385,541.440002,212.479996,661.299988,0.12032,661.299988,486.809998,0.11755,4.530005,669.599976,340.850006,212.479996,55.295998,999.599976,0.19936,0.113025,169.666,0.15,521.459961,521.459961,0.164825,521.459961,47.784992,345.23999,71.640007,145.662003,685.599976,0.18867,52.25555,4.029,590.005005,676.149963,12.299999
0.15,0.24396,517.349976,517.339966,521.309998,599.700012,3.350037,590.005005,9.389,541.320007,212.479996,661.299988,0.1204,661.299988,486.809998,0.117625,4.524998,669.599976,340.850006,212.479996,55.188,999.599976,0.19952,0.1131,169.694,0.15,521.309998,521.309998,0.164725,521.309998,47.624989,345.209991,71.669998,145.662003,685.599976,0.18876,52.25555,4.018,590.005005,676.149963,12.299999
0.15,0.24396,517.349976,517.369995,521.190002,599.700012,3.350037,590.005005,9.394,541.159973,212.479996,661.299988,0.12044,661.299988,486.809998,0.117675,4.534997,669.599976,340.799988,212.479996,55.152,999.599976,0.19952,0.113145,169.735992,0.15,521.190002,521.190002,0.164575,521.190002,47.435001,345.209991,71.670006,145.662003,685.599976,0.18879,52.25555,4.005,590.005005,676.149963,12.299999
0.15,0.24396,517.349976,517.369995,521.070007,599.880005,3.350037,590.005005,9.396999,541.039978,212.479996,661.299988,0.12046,661.299988,486.809998,0.1177,4.519999,669.599976,340.799988,212.479996,55.121998,999.599976,0.1996,0.113175,169.778,0.15,521.070007,521.070007,0.16445,521.070007,47.309994,345.209991,71.670006,145.662003,685.599976,0.18882,52.25555,3.99,590.005005,676.149963,12.299
0.15,0.24396,517.349976,517.369995,520.950012,599.820007,3.350037,590.005005,9.4,540.919983,212.479996,661.299988,0.1205,661.299988,486.809998,0.117725,4.524998,669.599976,340.75,212.479996,55.098,999.599976,0.1996,0.11319,169.791992,0.15,520.950012,520.950012,0.164425,520.950012,47.264999,345.209991,71.699997,145.672989,685.599976,0.18885,52.25555,3.978,590.005005,676.149963,12.299
0.15,0.24396,517.349976,517.369995,520.859985,599.880005,3.350037,590.005005,9.401999,540.799988,212.479996,661.299988,0.1205,661.299988,486.85498,0.11775,4.549995,669.649963,340.75,212.479996,55.104,999.599976,0.1996,0.113205,169.819992,0.15,520.859985,520.859985,0.16445,520.859985,47.269993,345.209991,71.669998,145.672989,685.599976,0.18885,52.25555,3.974,590.005005,676.149963,12.299
0.15,0.24396,517.349976,517.369995,520.769958,599.880005,3.350037,590.005005,9.403999,540.679993,212.479996,661.299988,0.12052,661.299988,486.85498,0.11775,4.529998,669.649963,340.699982,212.479996,55.104,999.599976,0.1996,0.11322,169.819992,0.15,520.769958,520.769958,0.164525,520.769958,47.325001,345.209991,71.669998,145.672989,685.599976,0.18885,52.25555,3.976,590.005005,676.149963,12.299
0.15,0.24396,517.349976,517.369995,520.709961,599.880005,3.350037,590.005005,9.405,540.599976,212.479996,661.299988,0.12052,661.299988,486.85498,0.11775,4.529998,669.649963,340.699982,212.479996,55.127998,999.599976,0.1996,0.11322,169.819992,0.15,520.709961,520.709961,0.164575,520.709961,47.374992,345.209991,71.639999,145.672989,685.599976,0.18882,52.25555,3.98,590.005005,676.149963,12.299
0.15,0.24396,517.399963,517.399963,520.649963,599.880005,3.299988,590.005005,9.406,540.519958,212.479996,661.299988,0.1205,661.299988,486.85498,0.11775,4.529998,669.649963,340.649994,212.479996,55.152,999.599976,0.19952,0.11322,169.819992,0.15,520.649963,520.649963,0.164625,520.649963,47.424988,345.209991,71.610001,145.672989,685.599976,0.18879,52.25555,3.984,590.005005,676.200012,12.299
0.15,0.24396,517.399963,517.399963,520.589966,599.880005,3.299988,590.005005,9.406,540.440002,212.479996,661.299988,0.1205,661.299988,486.85498,0.11775,4.549995,669.649963,340.600006,212.479996,55.169998,999.599976,0.19952,0.113205,169.791992,0.15,520.589966,520.589966,0.16465,520.589966,47.449989,345.209991,71.610001,145.68399,685.599976,0.18879,52.25555,3.988,590.005005,676.200012,12.299
0.15,0.24396,517.399963,517.399963,520.529968,599.880005,3.299988,590.005005,9.407,540.399963,212.479996,661.299988,0.1205,661.299988,486.85498,0.117725,4.524998,669.649963,340.549988,212.479996,55.211998,999.599976,0.19952,0.113205,169.806,0.15,520.529968,520.529968,0.164675,520.529968,47.474995,345.209991,71.549995,145.68399,685.599976,0.18873,52.25555,3.991,590.005005,676.200012,12.299
