TI_1142.PV,TI_1149A.PV,TI_1152A.PV,PDR1103.PV,TI1105A.PV,TI_1140.PV,TRA1401A.PV,PI_1134.PV,TIA1114.PV,PI_1138A.PV,TI1115A.PV,PDRCA1109.PV,FRC1102.PV,PRA1102.PV,FRSA1101.PV,TIC_1101.PV,FIC_1121.PV,PDRA1102.OUT,TI_1146.PV,PR1102A.PV,PDR1106.PV,TIC_1155.PV,PDR1401.PV
517.309998,521.940002,590.005005,9.37,541.919983,212.479996,661.299988,0.12004,661.299988,0.117275,669.599976,55.871998,999.599976,0.112725,169.343994,521.940002,345.299988,71.309998,685.559998,0.18807,4.054,590.005005,12.299999
517.309998,521.820007,590.005005,9.373,541.799988,212.479996,661.299988,0.1201,661.299988,0.117325,669.599976,55.745998,999.599976,0.112785,169.442001,521.820007,345.269989,71.400009,685.559998,0.18822,4.051,590.005005,12.299999
517.339966,521.72998,590.005005,9.375999,541.719971,212.479996,661.299988,0.12016,661.299988,0.1174,669.599976,55.601997,999.599976,0.11286,169.539993,521.72998,345.269989,71.460007,685.599976,0.18834,4.045,590.005005,12.299999
517.339966,521.580017,590.005005,9.38,541.599976,212.479996,661.299988,0.12024,661.299988,0.117475,669.599976,55.452,999.599976,0.112935,169.610001,521.580017,345.23999,71.520004,685.599976,0.18849,4.038,590.005005,12.299999
517.339966,521.459961,590.005005,9.385,541.440002,212.479996,661.299988,0.12032,661.299988,0.11755,669.599976,55.295998,999.599976,0.113025,169.666,521.459961,345.23999,71.640007,685.599976,0.18867,4.029,590.005005,12.299999
517.339966,521.309998,590.005005,9.389,541.320007,212.479996,661.299988,0.1204,661.299988,0.117625,669.599976,55.188,999.599976,0.1131,169.694,521.309998,345.209991,71.669998,685.599976,0.18876,4.018,590.005005,12.299999
517.369995,521.190002,590.005005,9.394,541.159973,212.479996,661.299988,0.12044,661.299988,0.117675,669.599976,55.152,999.599976,0.113145,169.735992,521.190002,345.209991,71.670006,685.599976,0.18879,4.005,590.005005,12.299999
517.369995,521.070007,590.005005,9.396999,541.039978,212.479996,661.299988,0.12046,661.299988,0.1177,669.599976,55.121998,999.599976,0.113175,169.778,521.070007,345.209991,71.670006,685.599976,0.18882,3.99,590.005005,12.299
517.369995,520.950012,590.005005,9.4,540.919983,212.479996,661.299988,0.1205,661.299988,0.117725,669.599976,55.098,999.599976,0.11319,169.791992,520.950012,345.209991,71.699997,685.599976,0.18885,3.978,590.005005,12.299
517.369995,520.859985,590.005005,9.401999,540.799988,212.479996,661.299988,0.1205,661.299988,0.11775,669.649963,55.104,999.599976,0.113205,169.819992,520.859985,345.209991,71.669998,685.599976,0.18885,3.974,590.005005,12.299
