PDRCA1109.PV,TV1155.OUT,FRCA1112.MV,TRCA1130.SV,TI_1150A.PV,FV1122.OUT,TV1118A.OUT,TI1116A.PV,TI_1143B.PV,FRC1107.MV,PDRCA1109.SV,FV1127.OUT,PV1101A.OUT,TI1105B.PV,DR1105.PV,PIC1101B.MV,TIA2872.PV,TIC_1101.MV,DR1107.PV,TIA2873.PV,FV1104.OUT,FV1112.OUT,PDIC_1133.MV,FRC1102.MV,TI_1143A.PV,AO_P1201A.OUT,TI1135.PV,FRC1113.MV,FV1102.OUT,FV1110.OUT,FV1107.OUT,LRCA1101.MV,PDRSA1104.PV,TI_1142.PV,FRCA1110.MV,PDR1103.PV,TIA2877.PV,FIC_1122.MV,TIC_1101.PV,TI_1147.PV,FRC1213.MV,TI1111.PV,TI1212.PV,FV1113.OUT,TIA2875.PV,TI1130.PV,PIK1101B.OUT,PIK1101A.OUT,FI1902.PV,TI_1151A.PV,TI_1143D.PV,FI1104.PV,TI_1145.PV,TI1133.PV,FIC_1127.MV,TI1116B.PV,TI_1149A.PV,TI_1146.PV,PIC1101B.PV,TI1112.PV,PI_1132A.PV,TI1113.PV,TI1105A.PV,TIA2876.PV,TI1132.PV,TRCA1130.PV,PIC1101A.PV,PDRCA1109.MV,PDR1106.PV,TI_1143C.PV,TI_1140.PV,LV1101.OUT,TI_1144.PV,TV1101.OUT,PRCA1101B.MV,FRC1104.MV,TIC_1155.MV,FRSA1101.PV,PDI_1109.PV,TRC1118A.MV,TIA2874.PV,PIC1101A.MV
14.346,21.54,15.734,211.76,520.05,72.9605,19.6907,518.2,518.23,66.8452,14.346,19.8444,14.9284,540.76,4.6406,14.9284,84.525,76.5235,287.3025,85.17,11.1309,15.734,21.5398,10.2306,518.23,75.4598,413.4,77.5006,10.2306,11.1287,66.8452,65.1766,-13.4175,518.24,11.1287,9.493,81.9525,72.9605,520.05,686.8625,75.4598,487.665,533.6,77.5006,82.245,211.76,14.9284,14.9284,173.421,520.05,518.23,990.0,489.62,413.4,19.8444,518.2,520.05,686.84,14.9284,490.59,0.2162,488.61,539.8,83.64,317.1,211.76,14.9284,76.5199,4.095,518.23,211.76,65.1766,518.24,76.5235,14.9284,11.1309,21.54,173.418,14.346,19.6907,85.4025,14.9284
14.37,21.5404,15.7343,211.76,520.11,72.9605,19.7014,518.25,518.23,66.8451,14.37,19.8444,14.9284,540.84,3.9797,14.9284,84.5025,76.5269,287.325,85.185,11.1309,15.7343,21.5402,10.2308,518.23,75.4598,413.5,77.5003,10.2308,11.1288,66.8451,65.1778,-13.4065,518.24,11.1288,9.492,81.9675,72.9605,520.11,686.8625,75.4598,487.665,533.6,77.5003,82.2975,211.76,14.9284,14.9284,173.421,520.11,518.23,990.0,489.62,413.5,19.8444,518.25,520.11,686.84,14.9284,490.59,0.2163,488.61,539.84,83.61,317.15,211.76,14.9284,76.5235,4.1,518.23,211.76,65.1778,518.24,76.5269,14.9284,11.1309,21.5404,173.418,14.37,19.7014,85.3425,14.9284
14.406,21.5408,15.7345,211.76,520.17,72.9605,19.7121,518.25,518.23,66.845,14.406,19.8444,14.9284,540.88,4.1859,14.9284,84.555,76.5301,286.7175,85.17,11.131,15.7345,21.5406,10.2302,518.23,75.4598,413.6,77.5001,10.2302,11.1251,66.845,65.1791,-13.39,518.24,11.1251,9.491,82.0125,72.9605,520.17,686.8625,75.4598,487.665,533.6,77.5001,82.305,211.76,14.9284,14.9284,173.4075,520.17,518.23,990.0,489.62,413.6,19.8444,518.25,520.17,686.84,14.9284,490.59,0.2164,488.655,539.92,83.64,317.25,211.76,14.9284,76.5269,4.107,518.23,211.76,65.1791,518.24,76.5301,14.9284,11.131,21.5408,173.404,14.406,19.7121,85.365,14.9284
14.442,21.5412,15.7348,211.76,520.26,72.9605,19.7227,518.25,518.23,66.8449,14.442,19.8444,14.9284,540.96,3.9766,14.9284,84.5325,76.5292,287.055,85.1925,11.131,15.7348,21.541,10.2301,518.23,75.4598,413.7,77.4998,10.2301,11.1277,66.8449,65.1804,-13.3735,518.24,11.1277,9.49,82.05,72.9605,520.26,686.825,75.4598,487.665,533.64,77.4998,82.2825,211.76,14.9284,14.9284,173.4075,520.26,518.23,990.0,489.62,413.7,19.8444,518.25,520.26,686.84,14.9284,490.59,0.2165,488.655,540.0,83.6775,317.3,211.76,14.9284,76.5301,4.114,518.23,211.76,65.1804,518.24,76.5292,14.9284,11.131,21.5412,173.404,14.442,19.7227,85.4025,14.9284
14.478,21.5417,15.735,211.76,520.35,72.9599,19.7334,518.25,518.23,66.8449,14.478,19.8436,14.9284,541.04,4.6984,14.9284,84.5325,76.528,286.56,85.2225,11.1311,15.735,21.5414,10.23,518.23,75.4598,413.8,77.4996,10.23,11.1278,66.8449,65.1816,-13.3515,518.24,11.1278,9.489,81.9975,72.9599,520.35,686.825,75.4598,487.665,533.64,77.4996,82.2375,211.76,14.9284,14.9284,173.4075,520.35,518.23,990.0,489.62,413.8,19.8436,518.25,520.35,686.84,14.9284,490.59,0.2165,488.655,540.08,83.625,317.4,211.76,14.9284,76.5292,4.122,518.23,211.76,65.1816,518.24,76.528,14.9284,11.1311,21.5417,173.404,14.478,19.7334,85.3875,14.9284
14.526,21.5421,15.7353,211.76,520.44,72.9597,19.7441,518.25,518.23,66.844,14.526,19.8434,14.9197,541.16,4.2656,14.9197,84.5325,76.5264,286.5825,85.26,11.1311,15.7353,21.5419,10.2299,518.23,75.4598,413.85,77.4986,10.2299,11.1279,66.844,65.1829,-13.3295,518.24,11.1279,9.488,81.96,72.9597,520.44,686.825,75.4598,487.665,533.64,77.4986,82.2825,211.76,14.9197,14.9197,173.4075,520.44,518.23,990.45,489.62,413.85,19.8434,518.25,520.44,686.84,14.9284,490.59,0.2166,488.655,540.16,83.64,317.45,211.76,14.9284,76.528,4.13,518.23,211.76,65.1829,518.24,76.5264,14.9197,11.1311,21.5421,173.418,14.526,19.7441,85.38,14.9197
14.568,21.5425,15.7355,211.76,520.56,72.9596,19.7547,518.25,518.23,66.8445,14.568,19.8431,14.9195,541.24,4.0391,14.9195,84.51,76.5207,287.415,85.2675,11.1312,15.7355,21.5423,10.2298,518.23,75.4598,413.95,77.5003,10.2298,11.128,66.8445,65.1841,-13.302,518.24,11.128,9.487,81.96,72.9596,520.56,686.825,75.4598,487.665,533.64,77.5003,82.275,211.76,14.9195,14.9195,173.394,520.56,518.23,990.45,489.62,413.95,19.8431,518.25,520.56,686.84,14.9197,490.59,0.2167,488.655,540.28,83.64,317.5,211.76,14.9197,76.5264,4.14,518.23,211.76,65.1841,518.24,76.5207,14.9195,11.1312,21.5425,173.39,14.568,19.7547,85.335,14.9195
14.616,21.5429,15.7328,211.76,520.68,72.9607,19.7654,518.25,518.23,66.8444,14.616,19.8421,14.9192,541.36,4.1734,14.9192,84.51,76.5146,286.8975,85.29,11.1312,15.7328,21.5427,10.2298,518.23,75.4598,414.05,77.4998,10.2298,11.128,66.8444,65.236,-13.2745,518.24,11.128,9.485,81.99,72.9607,520.68,686.825,75.4598,487.665,533.64,77.4998,82.3125,211.76,14.9192,14.9192,173.394,520.68,518.23,990.45,489.65,414.05,19.8421,518.25,520.68,686.84,14.9195,490.635,0.2169,488.655,540.36,83.67,317.6,211.76,14.9195,76.5207,4.15,518.23,211.76,65.236,518.24,76.5146,14.9192,11.1312,21.5429,173.404,14.616,19.7654,85.3275,14.9192
14.67,21.5433,15.732,211.76,520.83,72.9602,19.7761,518.25,518.265,66.8443,14.67,19.8416,14.9275,541.48,4.3484,14.9275,84.555,76.5041,287.28,85.23,11.1313,15.732,21.5431,10.2304,518.265,75.4598,414.15,77.4998,10.2304,11.1281,66.8443,65.2379,-13.2415,518.24,11.1281,9.483,81.96,72.9602,520.83,686.825,75.4598,487.665,533.64,77.4998,82.2675,211.76,14.9275,14.9275,173.4075,520.83,518.265,990.45,489.65,414.15,19.8416,518.25,520.83,686.84,14.9192,490.635,0.217,488.655,540.52,83.67,317.65,211.76,14.9192,76.5146,4.161,518.265,211.76,65.2379,518.24,76.5041,14.9275,11.1313,21.5433,173.404,14.67,19.7761,85.3575,14.9275
14.724,21.5437,15.7313,211.76,520.95,72.9602,19.7867,518.25,518.265,66.8442,14.724,19.8411,14.9275,541.64,4.5797,14.9275,84.5925,76.4969,286.875,85.1925,11.1314,15.7313,21.5435,10.2306,518.265,75.4598,414.25,77.4976,10.2306,11.1282,66.8442,65.2397,-13.203,518.27,11.1282,9.482,81.975,72.9602,520.95,686.825,75.4598,487.665,533.64,77.4976,82.2675,211.76,14.9275,14.9275,173.4075,520.95,518.265,990.45,489.65,414.25,19.8411,518.25,520.95,686.84,14.9275,490.635,0.2171,488.655,540.64,83.7,317.7,211.76,14.9275,76.5041,4.173,518.265,211.76,65.2397,518.27,76.4969,14.9275,11.1314,21.5437,173.404,14.724,19.7867,85.3575,14.9275
