TI_1145.PV,TI1105A.PV,PDR1106.PV,TIC_1101.MV,TIA2872.PV,PI_1180.PV,WR1104.PV,TIA2876.PV,PDR1401.PV,PR1102A.PV,LRCA1101.PV,LRCA1101.MV,PDRSA1104.PV,PIC1101A.PV,PDRCA1109.PV,TIC_1101.PV,TIA2877.PV,TIC_1155.MV,TIA2875.PV,PDR1103.PV,PI_1138B.PV,PI_1132A.PV,TIA2874.PV,TIA2873.PV,WRA1103.PV,TI_1144.PV
489.44,538.36,3.948,86.1912,84.51,0.2444,145.607,83.4825,12.319,0.2332,33.1,66.2736,-15.106,14.9202,11.01,518.46,82.065,21.7042,82.365,9.542,0.1653,0.2165,85.29,85.245,148.5788,518.03
489.44,538.2,3.974,86.2125,84.525,0.2444,145.618,83.475,12.319,0.2332,33.095,66.2354,-15.1335,14.9216,11.016,518.34,82.065,21.7041,82.395,9.543,0.1653,0.2167,85.275,85.1925,148.59,518.03
489.44,538.08,3.985,86.2342,84.57,0.2444,145.618,83.4525,12.321,0.2332,33.09,66.1967,-15.1665,14.923,10.992,518.22,82.08,21.704,82.35,9.545,0.1653,0.2168,85.245,85.23,148.59,518.03
489.44,537.92,3.99,86.2564,84.5475,0.2444,145.629,83.475,12.323,0.2332,33.085,66.1573,-15.216,14.9158,10.992,518.1,82.035,21.7039,82.3725,9.547,0.1654,0.2168,85.2975,85.2525,148.6012,518.03
489.44,537.8,3.993,86.2791,84.5175,0.2445,145.629,83.43,12.323,0.2332,33.08,66.1173,-15.2545,14.9169,10.968,517.98,82.0425,21.7039,82.38,9.549,0.1654,0.2169,85.2975,85.185,148.6012,518
489.41,537.68,3.994,86.3023,84.5025,0.2445,145.64,83.445,12.323,0.2332,33.075,66.0767,-15.293,14.918,10.962,517.86,82.065,21.7038,82.365,9.55,0.1654,0.2169,85.2975,85.1775,148.6125,518
489.41,537.56,3.993,86.326,84.4725,0.2445,145.64,83.4675,12.322,0.2332,33.07,66.0355,-15.3205,14.9191,10.938,517.74,82.05,21.7037,82.32,9.552,0.1655,0.2169,85.3125,85.2075,148.6125,518
489.41,537.44,3.991,86.3464,84.4575,0.2445,145.64,83.475,12.322,0.2332,33.065,65.9936,-15.3535,14.9202,10.932,517.65,82.02,21.7036,82.2675,9.554,0.1655,0.2169,85.2825,85.185,148.6125,518
489.38,537.36,3.988,86.3672,84.51,0.2445,145.651,83.5275,12.321,0.2332,33.06,65.9511,-15.381,14.9127,10.932,517.56,81.99,21.7036,82.3125,9.555,0.1655,0.2169,85.32,85.14,148.6237,517.97
489.38,537.24,3.985,86.3883,84.51,0.2445,145.651,83.505,12.321,0.2332,33.055,65.908,-15.403,14.9136,10.908,517.47,81.96,21.7035,82.3125,9.556,0.1655,0.2169,85.3275,85.1025,148.6237,517.97
489.38,537.16,3.983,86.4098,84.5325,0.2445,145.662,83.55,12.322,0.2332,33.05,65.8642,-15.436,14.9144,10.908,517.38,81.9225,21.7034,82.275,9.557,0.1655,0.2169,85.32,85.11,148.635,517.94
489.35,537.08,3.982,86.4279,84.5475,0.2445,145.662,83.5425,12.319,0.2332,33.045,65.8198,-15.4525,14.9152,10.908,517.32,81.975,21.7033,82.275,9.558,0.1656,0.2169,85.29,85.11,148.635,517.94
489.35,537,3.981,86.45,84.5175,0.2445,145.662,83.5725,12.319,0.2332,33.04,65.7748,-15.469,14.9161,10.908,517.23,82.0125,21.7032,82.2975,9.559,0.1656,0.2169,85.2975,85.095,148.635,517.94
489.35,536.92,3.98,86.4687,84.48,0.2445,145.673,83.535,12.318,0.2332,33.035,65.7292,-15.4855,14.9083,10.89,517.17,82.0575,21.7032,82.3275,9.56,0.1656,0.2169,85.3125,85.095,148.6462,517.91
489.32,536.88,3.981,86.4876,84.54,0.2445,145.673,83.5425,12.319,0.2332,33.03,65.683,-15.5075,14.9088,10.884,517.11,82.0575,21.7031,82.3575,9.561,0.1656,0.2169,85.32,85.1325,148.6462,517.91
489.32,536.8,3.983,86.5068,84.585,0.2445,145.673,83.5275,12.318,0.2332,33.025,65.6361,-15.5295,14.9094,10.878,517.05,82.005,21.703,82.395,9.562,0.1656,0.2169,85.335,85.17,148.6462,517.88
489.29,536.72,3.983,86.5225,84.555,0.2444,145.684,83.5125,12.315,0.2332,33.02,65.5886,-15.5405,14.9099,10.878,517.02,81.9975,21.7029,82.4175,9.562,0.1656,0.2169,85.32,85.1625,148.6575,517.88
489.29,536.68,3.982,86.5421,84.5175,0.2445,145.684,83.55,12.315,0.2332,33.015,65.5405,-15.5515,14.9105,10.872,516.96,81.975,21.7029,82.365,9.563,0.1656,0.2169,85.2975,85.1775,148.6575,517.88
489.29,536.64,3.982,86.5581,84.4875,0.2445,145.684,83.5425,12.314,0.2332,33.01,65.4917,-15.568,14.9024,10.86,516.93,81.9975,21.7028,82.3275,9.564,0.1656,0.217,85.275,85.1325,148.6575,517.85
489.26,536.6,3.983,86.578,84.5325,0.2444,145.695,83.55,12.314,0.2332,33.01,65.493,-15.5845,14.9027,10.86,516.87,81.9825,21.7027,82.335,9.564,0.1656,0.217,85.2675,85.1475,148.6687,517.85
489.26,536.56,3.984,86.5944,84.5475,0.2444,145.695,83.5725,12.314,0.2332,33.005,65.4436,-15.601,14.903,10.86,516.84,81.945,21.7026,82.35,9.565,0.1656,0.217,85.275,85.1325,148.6687,517.82
489.23,536.52,3.983,86.611,84.5775,0.2444,145.695,83.55,12.311,0.2332,33,65.3936,-15.6065,14.9033,10.86,516.81,81.93,21.7026,82.335,9.565,0.1656,0.217,85.2525,85.125,148.6687,517.82
489.23,536.48,3.983,86.6276,84.63,0.2444,145.706,83.5575,12.311,0.2331,32.995,65.343,-15.612,14.9036,10.866,516.78,81.93,21.7025,82.3425,9.566,0.1656,0.217,85.305,85.0725,148.68,517.79
489.23,536.44,3.984,86.6444,84.6225,0.2444,145.706,83.5725,12.31,0.2331,32.995,65.3423,-15.6175,14.9038,10.86,516.75,81.975,21.7024,82.335,9.566,0.1656,0.217,85.35,85.095,148.68,517.79
489.2,536.44,3.986,86.6575,84.6075,0.2444,145.706,83.6175,12.31,0.2331,32.99,65.2911,-15.6285,14.9041,10.86,516.75,81.9375,21.7023,82.365,9.566,0.1657,0.2171,85.38,85.1025,148.68,517.76
489.2,536.4,3.989,86.6744,84.63,0.2444,145.706,83.595,12.309,0.2331,32.985,65.2392,-15.6395,14.8958,10.854,516.72,81.975,21.7023,82.335,9.567,0.1657,0.2171,85.3875,85.0875,148.68,517.76
489.17,536.4,3.991,86.6876,84.6075,0.2444,145.717,83.625,12.309,0.2331,32.985,65.2374,-15.6505,14.8958,10.854,516.72,82.0275,21.7022,82.32,9.567,0.1657,0.2171,85.4025,85.11,148.6913,517.73
489.17,536.36,3.992,86.7046,84.57,0.2444,145.717,83.6325,12.308,0.2331,32.98,65.1848,-15.656,14.8958,10.854,516.69,81.9825,21.7021,82.275,9.567,0.1657,0.2171,85.3875,85.095,148.6913,517.73
489.14,536.36,3.993,86.718,84.5775,0.2444,145.717,83.6625,12.307,0.2331,32.975,65.1317,-15.6615,14.8958,10.854,516.69,81.9525,21.702,82.3125,9.568,0.1657,0.2171,85.365,85.08,148.6913,517.7
489.14,536.36,3.994,86.7314,84.54,0.2444,145.717,83.625,12.306,0.2331,32.975,65.1286,-15.667,14.8958,10.854,516.69,81.9975,21.702,82.275,9.568,0.1657,0.2171,85.32,85.05,148.6913,517.7
489.11,536.36,3.995,86.7448,84.495,0.2444,145.728,83.64,12.306,0.2331,32.97,65.0748,-15.667,14.8958,10.86,516.69,81.9675,21.7019,82.2525,9.568,0.1657,0.2172,85.3125,85.035,148.6913,517.7
489.11,536.36,3.996,86.7581,84.495,0.2444,145.728,83.5875,12.305,0.2331,32.97,65.0711,-15.6725,14.8958,10.866,516.69,81.945,21.7018,82.2075,9.568,0.1657,0.2172,85.2825,85.02,148.7025,517.67
489.11,536.36,3.998,86.7715,84.495,0.2443,145.728,83.55,12.305,0.2331,32.965,65.0167,-15.678,14.8872,10.872,516.69,81.915,21.7017,82.1925,9.568,0.1657,0.2172,85.2675,85.0725,148.7025,517.67
489.08,536.36,4.001,86.7811,84.4725,0.2443,145.728,83.535,12.304,0.2331,32.965,65.0123,-15.678,14.8869,10.872,516.72,81.9375,21.7016,82.2225,9.568,0.1657,0.2173,85.2525,85.05,148.7025,517.64
489.08,536.4,4.004,86.7944,84.48,0.2443,145.728,83.58,12.303,0.2331,32.96,64.9573,-15.678,14.8866,10.878,516.72,81.9375,21.7016,82.275,9.568,0.1657,0.2173,85.2075,85.08,148.7025,517.64
489.05,536.4,4.008,86.8039,84.4725,0.2443,145.728,83.5425,12.301,0.233,32.96,64.9523,-15.6725,14.8863,10.884,516.75,81.915,21.7015,82.2375,9.568,0.1657,0.2174,85.2,85.1175,148.7025,517.61
489.05,536.4,4.012,86.8133,84.525,0.2443,145.739,83.5725,12.301,0.233,32.955,64.8967,-15.6725,14.8861,10.89,516.78,81.9525,21.7014,82.2225,9.568,0.1657,0.2174,85.2375,85.1475,148.7137,517.61
489.02,536.44,4.015,86.8225,84.4875,0.2443,145.739,83.5575,12.3,0.233,32.955,64.8911,-15.667,14.8858,10.896,516.81,81.9225,21.7013,82.2375,9.568,0.1656,0.2174,85.245,85.11,148.7137,517.58
489.02,536.48,4.019,86.8316,84.4725,0.2443,145.739,83.5875,12.3,0.233,32.955,64.8855,-15.667,14.8855,10.902,516.84,81.915,21.7013,82.23,9.568,0.1656,0.2175,85.2375,85.1175,148.7137,517.58
