LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.2983,33,9.557,4.226,12.304,47.112,26.2265,14.9055,0.1785,0.2081,0.1969,540.16,84.57,85.11,85.26,82.3875,83.52,81.9225,42.8707,520.5,20.3467,488.99
72.2983,33,9.553,4.254,12.304,47.112,26.276,14.9055,0.1787,0.2081,0.1969,540.32,84.5325,85.0725,85.2975,82.38,83.52,81.915,42.8536,520.62,20.3466,488.99
72.349,33.005,9.55,4.27,12.304,47.07,26.287,14.9055,0.1788,0.2082,0.1969,540.44,84.525,85.035,85.3275,82.3725,83.535,81.96,42.8398,520.71,20.3466,488.99
72.3496,33.005,9.548,4.277,12.304,46.98,26.298,14.9055,0.1789,0.2083,0.197,540.52,84.5175,85.08,85.35,82.38,83.55,82.005,42.8332,520.74,20.3465,488.99
72.4008,33.01,9.548,4.28,12.303,46.812,26.276,14.9055,0.1789,0.2084,0.1972,540.56,84.555,85.0425,85.3875,82.3875,83.595,82.0275,42.8265,520.77,20.3464,488.99
72.4021,33.01,9.549,4.279,12.303,46.632,26.2265,14.9055,0.1789,0.2086,0.1973,540.6,84.57,85.035,85.3725,82.41,83.5575,82.0575,42.8271,520.74,20.3463,488.99
72.4033,33.01,9.551,4.272,12.303,46.398,26.1495,14.9055,0.1788,0.2089,0.1976,540.56,84.585,85.0725,85.335,82.38,83.595,82.08,42.8316,520.68,20.3463,488.99
72.4552,33.015,9.555,4.259,12.303,46.134,26.0505,14.9055,0.1787,0.2091,0.1979,540.52,84.6,85.0725,85.32,82.3275,83.5425,82.1175,42.8364,520.62,20.3462,488.99
72.4571,33.015,9.561,4.24,12.303,45.762,25.9185,14.9055,0.1786,0.2094,0.1982,540.44,84.5625,85.095,85.365,82.3275,83.5725,82.14,42.8414,520.56,20.3461,488.99
72.459,33.015,9.569,4.221,12.303,45.45,25.7425,14.9055,0.1785,0.2098,0.1985,540.36,84.57,85.095,85.35,82.365,83.565,82.1475,42.8579,520.41,20.346,488.99
