LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.4364,33.015,9.534,4.311,12.302,47.004,26.4465,14.8969,0.179,0.2082,0.197,541.04,84.51,85.005,85.3425,82.2825,83.445,81.9675,42.7674,521.22,20.3444,488.99
72.4383,33.015,9.536,4.297,12.302,46.794,26.3695,14.8966,0.1789,0.2084,0.1972,541.04,84.54,85.0125,85.3575,82.305,83.4075,81.9525,42.7663,521.19,20.3443,488.99
72.4908,33.02,9.54,4.281,12.302,46.56,26.2815,14.8963,0.1788,0.2086,0.1974,541.04,84.51,85.05,85.395,82.335,83.4225,81.9375,42.7652,521.16,20.3442,488.99
72.4933,33.02,9.545,4.264,12.3,46.326,26.177,14.8961,0.1786,0.2089,0.1976,541,84.495,85.005,85.395,82.3575,83.475,81.9225,42.7718,521.07,20.3442,488.99
72.4958,33.02,9.55,4.242,12.3,45.924,26.056,14.9044,0.1785,0.2093,0.198,540.92,84.4875,85.02,85.365,82.335,83.505,81.9,42.7863,520.92,20.3441,488.99
72.4983,33.02,9.559,4.223,12.3,45.414,25.88,14.9044,0.1786,0.2098,0.1986,540.76,84.5025,85.0725,85.35,82.32,83.49,81.9,42.8051,520.74,20.344,489.02
72.5008,33.02,9.57,4.206,12.3,44.928,25.649,14.9044,0.1785,0.2102,0.1991,540.56,84.4875,85.0725,85.2975,82.365,83.4525,81.93,42.8322,520.5,20.3439,489.02
72.5033,33.02,9.583,4.178,12.301,44.592,25.3905,14.9044,0.178,0.2106,0.1994,540.32,84.4725,85.11,85.35,82.335,83.4675,81.9225,42.8602,520.26,20.3439,489.02
72.4552,33.015,9.595,4.126,12.302,44.856,25.1595,14.9044,0.177,0.2104,0.1991,540.08,84.525,85.125,85.38,82.3275,83.4375,81.975,42.8855,520.05,20.3438,489.02
72.4064,33.01,9.598,4.045,12.302,44.958,25.132,14.9044,0.1762,0.2102,0.1991,539.84,84.5325,85.08,85.365,82.335,83.4675,81.9675,42.8965,519.96,20.3437,489.02
72.4077,33.01,9.601,3.983,12.302,45.39,25.1595,14.9044,0.1758,0.2098,0.1986,539.76,84.54,85.08,85.3575,82.2975,83.445,81.96,42.908,519.87,20.3436,489.02
72.3583,33.005,9.597,3.963,12.302,45.702,25.297,14.9044,0.1759,0.2096,0.1983,539.68,84.5325,85.0425,85.38,82.2675,83.415,81.9975,42.9123,519.84,20.3435,489.02
72.3083,33,9.592,3.988,12.303,45.846,25.4565,14.9044,0.1766,0.2094,0.1982,539.64,84.5025,85.0125,85.3875,82.2375,83.4,81.99,42.9166,519.81,20.3435,489.02
72.3083,33,9.589,4.05,12.303,45.84,25.583,14.9044,0.1775,0.2094,0.1982,539.6,84.51,85.0275,85.395,82.29,83.37,82.035,42.9174,519.81,20.3434,489.02
72.3083,33,9.587,4.118,12.303,45.834,25.627,14.9044,0.178,0.2094,0.1982,539.6,84.48,84.99,85.4175,82.2525,83.4225,82.0275,42.9182,519.81,20.3433,489.02
72.3083,33,9.586,4.16,12.303,45.786,25.638,14.913,0.1782,0.2094,0.1982,539.6,84.465,84.975,85.4175,82.2975,83.4675,82.0275,42.9189,519.81,20.3432,489.02
72.3083,33,9.587,4.174,12.304,45.654,25.616,14.9133,0.1782,0.2095,0.1984,539.6,84.525,85.02,85.3875,82.32,83.505,82.0275,42.9197,519.81,20.3432,489.02
72.3083,33,9.589,4.173,12.304,45.51,25.561,14.9136,0.1782,0.2097,0.1985,539.6,84.5025,85.035,85.41,82.29,83.5425,82.0425,42.9205,519.81,20.3431,489.02
72.3083,33,9.592,4.163,12.306,45.42,25.473,14.9052,0.178,0.2098,0.1986,539.6,84.5025,84.9975,85.4175,82.3275,83.5725,82.05,42.9212,519.81,20.343,489.02
72.3083,33,9.595,4.145,12.306,45.558,25.4015,14.9052,0.1777,0.2096,0.1984,539.6,84.51,85.0425,85.395,82.29,83.535,82.065,42.9258,519.78,20.3429,489.02
72.3083,33,9.595,4.117,12.306,45.63,25.407,14.9052,0.1774,0.2095,0.1984,539.6,84.5025,85.0875,85.3425,82.2975,83.505,82.0125,42.9229,519.81,20.3429,488.99
72.2577,32.995,9.594,4.099,12.305,45.714,25.44,14.9052,0.1774,0.2096,0.1983,539.6,84.555,85.0575,85.305,82.29,83.4975,82.005,42.9274,519.78,20.3428,488.99
72.2571,32.995,9.593,4.098,12.305,45.624,25.473,14.9052,0.1776,0.2096,0.1984,539.56,84.5775,85.02,85.275,82.2975,83.5275,82.035,42.9321,519.75,20.3427,488.99
72.2564,32.995,9.594,4.116,12.305,45.462,25.473,14.9052,0.1779,0.2098,0.1985,539.52,84.57,85.0275,85.2825,82.3125,83.4975,82.0425,42.9406,519.69,20.3426,488.99
72.2558,32.995,9.596,4.139,12.305,45.276,25.418,14.9052,0.1782,0.2098,0.1987,539.48,84.585,85.005,85.2675,82.2975,83.4825,82.0125,42.9419,519.69,20.3426,488.99
72.2552,32.995,9.6,4.151,12.305,45.672,25.33,14.9052,0.1778,0.2096,0.1983,539.48,84.5475,85.065,85.2225,82.2975,83.52,81.99,42.9431,519.69,20.3425,488.99
