LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1101.SV,TI_1145.PV
72.2452,32.995,9.587,4.178,12.304,45.54,25.55,14.9055,0.1783,0.2097,0.1984,539.76,84.69,85.0725,85.2525,82.275,83.445,82.02,42.9467,519.93,20.3464,520,488.96
72.2446,32.995,9.591,4.17,12.304,45.372,25.473,14.9055,0.1782,0.2099,0.1986,539.72,84.6375,85.0425,85.2975,82.245,83.4675,82.0125,42.9583,519.84,20.3463,520,488.96
72.2439,32.995,9.595,4.159,12.304,45.144,25.3795,14.9055,0.1782,0.2101,0.1988,539.64,84.6825,85.02,85.32,82.245,83.49,81.9675,42.9702,519.75,20.3463,520,488.96
72.2433,32.995,9.6,4.146,12.304,44.928,25.275,14.9055,0.1781,0.2103,0.1991,539.56,84.63,85.02,85.3425,82.26,83.475,81.9375,42.9862,519.63,20.3462,520,488.96
72.2427,32.995,9.606,4.129,12.304,44.724,25.154,14.9055,0.1779,0.2104,0.1993,539.4,84.66,85.035,85.3425,82.2975,83.4525,81.945,42.9952,519.57,20.3461,520,488.96
72.1914,32.99,9.612,4.109,12.304,45.6,25.0385,14.9055,0.1769,0.2095,0.1984,539.36,84.675,85.0125,85.3725,82.3425,83.415,81.9975,42.9895,519.63,20.346,520,488.96
72.1902,32.99,9.604,4.047,12.304,46.296,25.2475,14.9055,0.176,0.209,0.1977,539.4,84.705,84.9825,85.35,82.3875,83.46,82.0275,42.9834,519.69,20.3459,520,488.96
72.1889,32.99,9.604,4.047,12.304,46.296,25.2475,14.9055,0.176,0.209,0.1977,539.4,84.705,84.9825,85.35,82.3875,83.46,82.0275,42.9847,519.69,20.3459,520,488.96
72.1371,32.985,9.578,4.031,12.304,47.346,25.902,14.9055,0.1768,0.2079,0.1966,539.64,84.705,84.9825,85.365,82.365,83.55,81.975,42.9409,520.05,20.3458,520,488.96
72.1858,32.99,9.563,4.111,12.304,47.742,26.2045,14.9055,0.1776,0.2075,0.1963,539.84,84.6825,84.99,85.3275,82.35,83.58,81.9525,42.9143,520.26,20.3457,520,488.96
72.1845,32.99,9.563,4.111,12.304,47.742,26.2045,14.9055,0.1776,0.2075,0.1963,539.84,84.6825,84.99,85.3275,82.35,83.58,81.9525,42.9133,520.26,20.3456,520,488.96
72.1833,32.99,9.55,4.197,12.304,48.006,26.463,14.9055,0.1784,0.2073,0.196,540.04,84.7125,84.9975,85.365,82.35,83.58,81.96,42.886,520.47,20.3456,520,488.96
72.2833,33,9.529,4.318,12.303,48.234,26.793,14.9055,0.1792,0.207,0.1957,540.56,84.69,85.035,85.4175,82.26,83.5725,81.99,42.8239,520.95,20.3455,520,488.96
72.2833,33,9.529,4.318,12.303,48.234,26.793,14.9055,0.1792,0.207,0.1957,540.56,84.69,85.035,85.4175,82.26,83.5725,81.99,42.8201,520.95,20.3454,520,488.96
72.3339,33.005,9.517,4.369,12.303,48.114,26.925,14.9055,0.1795,0.207,0.1958,540.96,84.675,84.9975,85.3575,82.215,83.5875,82.005,42.7712,521.31,20.3453,520,488.96
72.3346,33.005,9.517,4.369,12.303,48.114,26.925,14.9055,0.1795,0.207,0.1958,540.96,84.675,84.9975,85.3575,82.215,83.5875,82.005,42.7659,521.31,20.3453,520,488.96
72.3858,33.01,9.514,4.383,12.303,47.982,26.9305,14.9055,0.1797,0.2071,0.196,541.16,84.69,84.975,85.3425,82.2675,83.565,82.005,42.7418,521.46,20.3452,520,488.99
72.4377,33.015,9.512,4.389,12.302,47.814,26.8975,14.9055,0.1796,0.2074,0.1961,541.32,84.645,85.0125,85.3425,82.3125,83.595,82.0275,42.7284,521.52,20.3451,520,488.99
72.5408,33.025,9.515,4.37,12.302,47.244,26.749,14.8969,0.1795,0.2079,0.1967,541.4,84.6675,85.005,85.3425,82.2675,83.595,82.0125,42.7185,521.55,20.345,520,488.99
72.5439,33.025,9.515,4.37,12.302,47.244,26.749,14.8966,0.1795,0.2079,0.1967,541.4,84.6675,85.005,85.3425,82.2675,83.595,82.0125,42.7122,521.55,20.345,520,488.99
72.5471,33.025,9.52,4.353,12.302,46.902,26.617,14.8963,0.1793,0.2083,0.197,541.4,84.6525,84.99,85.29,82.2225,83.595,81.96,42.7172,521.46,20.3449,520,488.99
72.6008,33.03,9.535,4.302,12.3,46.086,26.2705,14.8961,0.1789,0.2091,0.1979,541.24,84.645,85.0125,85.2675,82.2,83.61,82.0125,42.7414,521.22,20.3448,520,489.02
72.6046,33.03,9.535,4.302,12.3,46.086,26.2705,14.8958,0.1789,0.2091,0.1979,541.24,84.645,85.0125,85.2675,82.2,83.61,82.0125,42.7365,521.22,20.3447,520,489.02
72.6083,33.03,9.545,4.266,12.3,45.48,26.0395,14.9041,0.1788,0.2098,0.1985,541.08,84.675,84.9975,85.2225,82.1925,83.5575,82.0425,42.7578,521.01,20.3447,520,489.02
72.6121,33.03,9.559,4.231,12.3,44.862,25.759,14.9041,0.1786,0.2103,0.1991,540.84,84.6975,84.99,85.275,82.2,83.55,82.05,42.7876,520.74,20.3446,520,489.02
72.6158,33.03,9.576,4.189,12.301,44.472,25.4345,14.9041,0.178,0.2107,0.1995,540.56,84.7125,84.96,85.23,82.23,83.565,82.0425,42.8222,520.44,20.3445,520,489.05
72.5689,33.025,9.59,4.126,12.301,44.148,25.154,14.9041,0.1773,0.211,0.1998,540.24,84.7125,84.975,85.275,82.185,83.5575,82.005,42.8579,520.14,20.3444,520,489.05
72.5215,33.02,9.604,4.053,12.301,44.676,24.9285,14.9041,0.176,0.2106,0.1993,539.96,84.6675,84.945,85.26,82.185,83.52,81.9975,42.8875,519.9,20.3443,520,489.05
72.4733,33.015,9.604,3.96,12.302,45.012,24.9835,14.9041,0.1752,0.2102,0.199,539.72,84.6525,84.93,85.29,82.2225,83.4675,82.0275,42.9029,519.78,20.3443,520,489.05
72.4246,33.01,9.603,3.902,12.302,45.276,25.1265,14.9041,0.1753,0.2099,0.1987,539.56,84.69,84.915,85.32,82.275,83.4375,82.0575,42.9113,519.72,20.3442,520,489.05
72.3752,33.005,9.6,3.921,12.302,45.54,25.2695,14.9041,0.176,0.2096,0.1985,539.48,84.7125,84.9675,85.29,82.2975,83.475,82.065,42.9124,519.72,20.3441,520,489.05
72.3759,33.005,9.595,3.99,12.303,45.816,25.407,14.9041,0.1768,0.2094,0.1982,539.48,84.6675,84.9375,85.32,82.3275,83.52,82.0725,42.9136,519.72,20.344,520,489.05
72.3259,33,9.59,4.057,12.303,45.942,25.5445,14.9041,0.1773,0.2093,0.1981,539.52,84.69,84.9,85.275,82.29,83.5125,82.05,42.9109,519.75,20.344,520,489.02
72.3259,33,9.587,4.11,12.303,45.978,25.649,14.9041,0.1778,0.2093,0.1981,539.52,84.72,84.945,85.29,82.2975,83.505,82.0425,42.9119,519.75,20.3439,520,489.02
72.3259,33,9.585,4.149,12.304,45.864,25.6985,14.9041,0.1781,0.2094,0.1982,539.56,84.735,84.9825,85.335,82.2975,83.4675,82.065,42.9092,519.78,20.3438,520,489.02
72.3259,33,9.585,4.149,12.304,45.864,25.6985,14.9127,0.1781,0.2094,0.1982,539.56,84.735,84.9825,85.335,82.2975,83.4675,82.065,42.9092,519.78,20.3438,520,489.02
72.3259,33,9.585,4.149,12.304,45.864,25.6985,14.9127,0.1781,0.2094,0.1982,539.56,84.735,84.9825,85.335,82.2975,83.4675,82.065,42.9092,519.78,20.3438,520,489.02
72.3259,33,9.585,4.149,12.304,45.864,25.6985,14.9127,0.1781,0.2094,0.1982,539.56,84.735,84.9825,85.335,82.2975,83.4675,82.065,42.9092,519.78,20.3438,520,489.02
72.3259,33,9.585,4.149,12.304,45.864,25.6985,14.9127,0.1781,0.2094,0.1982,539.56,84.735,84.9825,85.335,82.2975,83.4675,82.065,42.9092,519.78,20.3438,520,489.02
