0,1,2,3,4,5,6,7,8,9
-1.924,-2.335,-3.044,-4.081,-3.12,-3.332,-3.135,-3.262,-2.711,-3.533
-2.592,-2.709,-2.869,-2.424,-3.069,-3.38,-2.992,-3.327,-2.173,-3.125
-2.669,-2.215,-3.452,-3.154,-1.73,-3.098,-3.075,-2.374,-1.547,-2.391
-1.603,-2.337,-1.032,-2.122,-1.593,-2.637,-1.775,-1.474,-0.998,-2.076
-1.058,-1.781,-1.175,-1.924,-1.123,-1.039,-0.794,-0.554,0.181,-1.683
-0.903,-1.174,-0.415,0.537,-0.338,-0.7,-0.128,-0.226,0.62,-1.624
-1.401,-0.561,0.707,0.477,0.009,-0.342,0.569,0.432,0.52,-1.292
-0.078,0.695,1.834,1.414,0.098,0.341,0.011,0.607,-0.318,-1.658
0.552,0.955,2.167,2.136,1.258,0.365,0.29,0.301,-0.545,-2.149
0.809,0.954,2.774,2.405,0.769,-0.714,0.106,0.666,-1.286,-1.804
1.427,1.932,2.59,3.05,0.728,-0.838,-0.708,0.524,-0.872,-1.526
2.353,1.224,2.786,2.707,0.602,-1.804,-1.359,0.587,-0.667,-0.599
1.8,1.307,2.868,2.019,-0.327,-1.696,-1.762,0.739,0.143,-0.424
2.206,0.266,2.65,0.158,-1.261,-2.422,-1.474,1.065,1.185,-0.13
2.266,0.417,2.667,-0.477,-1.795,-2.322,-0.567,1.687,1.823,0.668
3.278,0.286,1.772,-0.46,-1.472,-2.239,0.228,1.641,2.189,-0.95
3.159,0.749,1.604,-0.774,-1.598,-1.358,0.981,1.769,1.76,-1.262
3.355,1.605,1.746,-0.786,-0.737,-1.202,1.446,2.281,1.956,-1.976
4.032,1.875,0.77,-0.833,-0.969,-1.081,3.441,2.103,0.958,-2.515
3.0,3.319,0.2,0.28,-0.157,0.262,3.2,1.368,1.073,-2.478
2.373,3.132,0.12,1.245,0.619,0.97,3.473,0.312,0.46,-1.623
2.462,3.627,-0.777,1.884,1.316,1.516,1.952,-0.182,0.196,0.052
2.599,2.62,-1.077,1.377,0.692,2.33,1.173,-0.656,0.072,1.335
2.071,2.184,-1.141,1.882,1.597,2.239,0.468,-1.069,-0.107,2.608
2.29,0.921,-1.426,1.163,1.14,2.871,-0.871,-0.902,1.035,3.152
1.293,0.815,-1.219,0.517,1.072,2.666,-1.352,-0.5,1.021,2.471
1.23,0.337,-1.066,-1.23,1.021,2.125,-1.509,0.24,1.332,1.639
1.358,-1.367,-1.672,-0.7,0.561,0.717,-1.779,0.883,0.689,0.462
0.809,-1.125,-1.484,-0.157,-0.202,-0.157,-1.059,1.825,0.182,-0.35
1.367,-0.923,-1.369,-0.115,-0.179,-1.69,-0.368,1.31,-1.025,-1.218
0.77,-1.777,-0.244,0.79,-0.375,-1.527,-0.089,1.224,-1.747,-1.674
1.595,-0.693,-0.652,1.084,-0.327,-2.509,0.954,1.087,-1.756,-1.35
-0.017,-1.103,1.103,2.081,-0.691,-1.684,1.793,0.379,-1.636,-1.014
1.764,-0.757,0.08,2.469,-1.045,-0.66,2.327,0.028,-1.01,-0.638
0.361,-0.588,0.51,3.335,-0.651,-0.333,2.174,-0.681,0.247,-0.44
0.45,-0.461,0.8,3.013,-0.003,1.216,1.544,-1.646,1.48,0.722
