0,1,2,3,4,5,6,7,8,9
-2.091,-3.171,-2.647,-4.248,-3.267,-2.932,-3.022,-3.661,-3.936,-3.395
-2.802,-3.564,-4.116,-2.941,-3.092,-3.904,-2.836,-2.707,-3.163,-3.106
-3.065,-3.259,-3.266,-3.266,-1.978,-3.459,-1.532,-2.833,-1.903,-2.634
-1.886,-3.205,-2.58,-2.703,-2.037,-2.008,-1.719,-1.688,-1.499,-2.07
-1.315,-2.261,-2.408,-1.386,-0.728,-1.325,-0.637,-1.204,0.101,-1.466
-1.277,-0.763,-0.79,-0.167,0.086,-0.265,-0.036,-0.317,-0.298,-1.45
-1.779,-0.822,0.466,0.686,0.383,0.115,-0.205,0.294,-0.088,-1.446
-0.409,-0.746,0.857,1.456,1.069,0.597,0.648,0.699,-0.607,-0.998
0.286,0.597,2.184,1.925,0.949,0.724,-0.252,0.238,-0.959,-1.223
0.623,0.803,2.8,2.418,0.845,0.49,-0.607,0.563,-1.433,-0.781
1.415,0.707,1.777,2.865,0.689,-0.627,-0.982,0.189,-0.955,-0.552
2.377,-0.065,2.825,1.478,1.446,-1.467,-1.482,0.36,-0.89,-0.2
1.806,-0.195,2.674,1.283,0.47,-1.648,-1.072,0.515,-0.749,0.191
2.155,-0.478,1.9,0.031,-0.746,-2.065,-0.974,1.368,0.861,0.047
2.087,0.518,1.494,-0.325,-1.154,-1.922,-0.963,1.548,1.353,-0.122
3.054,0.928,1.399,-0.366,-1.751,-1.002,-0.108,2.01,2.084,-0.405
2.961,1.098,1.444,-0.574,-2.185,-0.902,1.54,1.327,1.897,-0.639
3.359,2.512,0.841,-0.727,-1.585,-0.511,2.053,1.925,1.598,-1.54
4.006,2.077,1.11,0.12,-0.928,0.093,2.925,1.058,0.856,-1.707
2.981,2.591,0.785,0.663,-1.032,0.447,3.397,0.741,0.08,-1.525
2.4,3.011,0.441,1.252,0.483,1.364,2.69,0.05,-0.195,-0.599
2.433,2.709,0.501,1.839,1.352,1.789,1.859,0.242,-0.491,0.345
2.709,2.525,0.009,2.192,2.226,2.81,1.575,-0.235,-0.763,1.677
2.231,1.506,-0.329,1.412,2.009,2.942,0.48,-0.205,0.096,2.683
2.583,0.462,-1.463,0.646,1.469,2.937,0.174,-0.156,0.76,3.138
1.533,-0.54,-0.725,0.811,1.097,3.567,-0.566,0.048,1.379,2.908
1.461,-0.212,-0.771,-0.249,1.147,2.793,-0.954,0.012,1.548,2.001
1.695,-1.3,-1.519,1.184,0.936,1.86,-0.563,1.065,0.91,1.024
1.089,-1.865,-1.545,0.283,0.614,-0.01,-0.799,1.617,0.819,-0.089
1.723,-1.978,-0.357,1.141,0.742,-0.554,0.046,1.634,-0.396,-1.392
1.276,-0.835,-1.211,1.055,0.315,-1.772,1.185,2.064,-1.305,-1.296
2.064,-1.781,0.32,1.852,0.331,-2.719,1.888,1.337,-1.381,-1.267
0.366,-0.515,1.199,1.553,0.259,-1.557,2.299,0.839,-1.473,-1.184
2.264,-0.502,0.637,2.251,-0.059,-1.015,2.308,0.251,-0.077,-0.721
0.839,0.149,1.05,2.682,-0.646,0.332,1.87,0.059,0.827,-0.236
1.032,-0.61,1.17,2.688,-0.444,0.577,1.836,-0.992,1.276,0.674
1.331,-1.565,1.743,2.597,-0.808,1.397,1.095,-0.571,2.561,0.271
3.484,-0.794,1.451,1.467,-0.352,1.905,0.088,-0.768,2.489,-0.65
