x0,x1,x2,x3,x4,x5,x6,x7
0.01,-0.129,0.01,-0.058,-0.073,-0.161,-0.247,-0.454
-0.061,-0.247,-0.07,-0.076,0.026,-0.071,-0.123,-0.038
0.182,-0.294,-0.089,-0.244,0.103,-0.139,0.019,-0.127
-0.069,-0.128,0.108,-0.143,0.02,-0.192,-0.122,-0.266
0.195,-0.095,0.221,0.019,0.129,-0.033,-0.414,-0.187
0.224,-0.177,0.085,-0.159,0.152,-0.185,-0.02,0.015
0.028,-0.127,0.034,-0.082,0.093,0.026,0.088,-0.329
0.242,-0.104,-0.04,-0.21,0.104,-0.143,-0.235,-0.242
0.024,-0.033,-0.072,-0.104,0.035,-0.225,0.107,0.115
0.203,-0.012,-0.065,-0.085,-0.152,-0.123,-0.122,-0.251
-0.089,-0.137,0.221,-0.327,0.155,-0.507,-0.166,-0.087
0.063,-0.009,-0.143,-0.03,-0.099,-0.078,-0.031,-0.109
0.229,0.082,-0.087,-0.176,-0.101,-0.45,-0.267,-0.122
0.16,0.01,-0.04,-0.038,-0.036,-0.047,-0.061,-0.121
-0.09,-0.088,-0.061,-0.124,-0.113,-0.057,0.137,-0.199
0.187,-0.007,0.046,-0.317,0.091,-0.262,0.012,-0.192
0.271,0.016,-0.122,-0.131,0.008,-0.189,0.192,-0.274
0.032,-0.186,0.18,-0.066,0.119,0.047,0.12,-0.134
0.274,-0.176,-0.19,-0.075,0.001,-0.069,-0.048,-0.006
0.111,0.018,-0.164,-0.253,0.073,-0.421,0.054,-0.026
0.066,-0.026,0.25,-0.023,0.154,0.036,0.066,0.022
0.121,-0.058,-0.187,-0.108,0.272,-0.424,-0.07,0.012
0.054,-0.087,-0.124,-0.089,-0.135,-0.131,-0.085,-0.204
-0.075,-0.084,0.152,-0.063,0.034,-0.039,-0.082,-0.016
0.237,-0.03,-0.033,-0.063,0.054,-0.277,-0.391,-0.093
0.037,-0.26,0.067,-0.186,0.139,-0.162,0.187,-0.225
-0.126,0.104,0.022,0.089,-0.032,0.229,-0.032,-0.213
0.012,0.014,0.071,-0.108,0.079,-0.321,-0.224,-0.045
0.012,-0.14,0.123,-0.031,0.097,-0.054,0.007,-0.069
-0.196,0.129,0.166,-0.118,-0.112,0.133,-0.071,-0.138
0.012,0.008,-0.035,-0.15,-0.032,-0.043,-0.334,-0.195
0.182,-0.326,-0.009,0.04,-0.022,-0.021,0.043,-0.178
0.059,0.053,0.06,-0.096,0.007,0.144,0.105,-0.103
0.103,-0.128,-0.206,-0.294,-0.133,-0.073,-0.169,-0.194
0.015,-0.214,0.235,-0.082,-0.016,-0.14,-0.091,-0.337
0.164,-0.027,0.043,0.028,-0.229,0.096,0.081,-0.042
0.146,-0.134,-0.1,-0.139,-0.059,-0.218,-0.023,-0.062
0.154,-0.134,0.084,-0.063,0.049,0.08,0.083,-0.274
-0.11,0.022,-0.028,-0.135,0.077,-0.131,0.06,-0.006
0.163,-0.168,-0.163,0.028,0.202,-0.171,0.123,-0.042
0.028,-0.153,-0.167,-0.25,-0.011,-0.173,0.033,-0.005
-0.238,-0.064,0.043,0.144,0.044,-0.266,-0.012,-0.164
0.042,-0.025,-0.022,0.018,-0.145,-0.258,-0.206,0.155
0.136,-0.095,0.014,-0.242,-0.073,-0.165,0.054,0.049
-0.142,0.084,0.043,0.071,0.015,-0.009,0.086,-0.135
-0.001,0.068,-0.089,0.058,-0.137,-0.189,0.102,0.033
0.036,-0.209,-0.128,-0.119,0.095,-0.158,0.213,-0.094
-0.018,-0.004,0.083,-0.002,0.135,0.032,-0.033,-0.085
0.059,-0.042,-0.024,-0.098,-0.154,-0.379,0.156,0.057
-0.042,-0.16,0.113,0.037,0.165,-0.196,0.058,-0.031
-0.117,-0.039,0.033,0.01,-0.018,0.167,-0.092,-0.063
0.058,-0.152,0.048,-0.159,-0.255,0.04,-0.076,0.106
0.071,-0.052,0.195,0.107,0.171,-0.045,-0.087,-0.329
-0.167,-0.086,0.135,0.239,-0.127,-0.046,-0.096,0.085
0.286,-0.298,-0.032,-0.037,-0.294,-0.007,0.276,0.261
-0.087,0.013,-0.019,-0.025,0.238,-0.046,-0.094,-0.259
-0.184,0.027,0.268,0.111,-0.114,-0.04,-0.028,0.12
0.28,-0.128,-0.078,0.055,-0.13,-0.129,0.477,0.116
-0.096,-0.095,0.087,0.092,-0.016,-0.006,-0.242,-0.06
-0.161,0.095,0.397,0.102,-0.011,0.208,0.047,0.009
0.212,0.015,-0.151,0.037,-0.052,-0.22,0.112,0.043
0.014,0.016,0.112,0.165,-0.018,-0.066,-0.192,0.142
0.04,-0.001,0.169,0.084,-0.039,0.454,0.028,0.033
-0.039,-0.03,-0.158,0.038,-0.199,-0.164,0.164,-0.008
0.057,0.132,-0.041,0.158,-0.006,0.029,-0.065,0.024
0.054,0.072,-0.047,0.064,0.06,0.251,-0.099,-0.051
0.078,0.03,0.038,-0.112,-0.127,-0.114,0.19,0.001
0.005,0.099,-0.092,0.128,0.127,0.098,0.129,-0.108
-0.333,0.059,0.041,-0.16,-0.183,0.215,-0.032,-0.098
-0.05,0.043,0.109,0.155,-0.063,-0.033,0.312,-0.066
0.196,-0.06,-0.021,0.025,0.133,-0.035,0.027,0.184
-0.059,0.114,0.119,0.161,0.146,0.466,0.225,0.01
-0.141,-0.012,0.02,0.111,0.058,-0.059,0.329,0.074
0.069,-0.112,0.133,0.001,-0.149,0.041,-0.025,0.136
-0.198,0.062,0.219,0.112,0.195,0.383,-0.022,-0.077
-0.148,0.108,-0.018,0.079,-0.055,0.162,0.15,0.371
0.047,-0.077,-0.052,0.188,-0.075,0.009,-0.032,-0.003
-0.335,-0.003,0.049,-0.067,-0.033,0.149,-0.111,0.043
0.063,0.158,-0.001,0.231,-0.029,0.364,-0.022,0.077
-0.023,-0.021,-0.037,-0.108,-0.168,-0.117,0.048,0.314
-0.235,-0.002,0.072,-0.038,0.048,0.248,-0.039,-0.188
-0.194,0.17,0.089,0.005,0.109,0.244,0.035,0.006
0.055,0.07,-0.071,0.236,-0.139,0.077,0.11,-0.061
-0.06,0.217,0.047,0.086,0.033,0.297,-0.108,-0.128
