x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.027,0.047,0.014,-0.033,-0.031,-0.07,0.161,-0.048,-0.097,-0.119
0.219,-0.112,0.062,-0.104,0.052,0.171,0.139,-0.078,0.001,0.006
0.004,0.018,0.131,-0.115,0.03,0.073,-0.017,0.121,-0.018,-0.079
0.026,-0.196,0.307,0.074,0.023,0.079,0.115,0.056,-0.123,-0.036
-0.103,-0.069,0.058,0.128,-0.239,0.215,-0.15,-0.016,-0.095,-0.12
-0.106,-0.071,-0.159,-0.031,0.012,0.082,-0.0,0.021,0.093,-0.022
-0.166,-0.282,0.259,0.139,0.068,0.15,-0.013,0.053,-0.187,-0.004
-0.06,-0.116,-0.079,0.266,-0.071,0.091,-0.165,0.045,0.024,-0.089
-0.017,-0.049,0.033,0.089,0.137,-0.119,-0.144,0.182,-0.007,0.087
0.047,-0.02,-0.03,-0.07,0.104,0.086,0.1,0.08,0.028,0.112
0.187,0.046,-0.176,0.04,0.061,0.045,-0.04,0.03,0.201,0.029
0.123,0.045,-0.087,-0.107,0.005,0.05,-0.146,0.126,0.159,0.268
0.332,0.037,-0.068,-0.174,-0.054,0.181,-0.047,0.046,0.233,0.007
0.333,0.041,-0.042,-0.094,-0.045,-0.203,0.14,0.025,0.171,0.22
0.251,-0.134,0.009,0.027,-0.089,-0.071,0.044,-0.111,0.306,0.001
0.15,-0.131,0.038,-0.004,0.063,0.048,0.094,-0.16,0.036,-0.101
0.03,-0.15,0.045,-0.033,0.01,0.106,0.059,0.049,0.245,0.222
0.101,0.008,-0.036,0.041,0.197,-0.11,-0.03,-0.077,0.185,0.225
0.053,0.007,-0.106,-0.14,0.115,-0.083,-0.196,-0.006,-0.034,0.186
-0.062,0.081,0.041,0.139,0.013,-0.005,-0.244,-0.192,0.14,0.174
0.059,0.151,-0.144,0.091,0.09,0.184,-0.063,-0.032,0.139,0.219
-0.143,0.143,-0.091,0.078,-0.178,-0.085,-0.127,0.003,0.034,0.154
-0.033,0.06,-0.111,0.046,-0.17,-0.089,0.026,-0.127,0.204,0.062
-0.053,0.134,-0.127,0.107,-0.078,-0.077,0.178,0.079,0.155,0.076
0.166,-0.018,-0.029,-0.027,-0.004,-0.035,-0.104,-0.129,0.312,-0.169
0.12,-0.061,0.024,0.015,-0.154,-0.016,0.232,0.123,0.145,-0.075
0.071,0.036,0.136,-0.082,0.101,-0.085,-0.031,0.115,0.173,-0.111
0.334,-0.13,0.048,-0.131,-0.0,-0.166,-0.018,-0.02,0.112,0.029
-0.094,-0.107,0.104,0.013,-0.072,-0.056,-0.028,0.006,-0.046,-0.142
0.157,0.158,0.154,0.01,0.018,-0.03,0.037,-0.021,-0.039,0.006
-0.04,-0.024,0.061,0.025,0.057,0.012,0.061,0.123,0.025,-0.066
-0.088,0.0,0.093,0.148,0.069,0.034,-0.041,0.152,0.036,0.071
0.125,-0.048,-0.115,0.099,-0.073,0.105,0.058,0.212,-0.134,-0.071
0.122,0.091,0.026,-0.053,-0.049,0.214,0.04,0.306,0.118,-0.103
-0.159,0.169,-0.196,0.04,0.112,0.119,0.096,0.169,-0.069,-0.204
0.049,0.015,-0.007,-0.075,0.207,0.107,-0.02,0.242,0.047,0.154
0.131,0.047,-0.05,0.071,0.111,-0.085,0.163,0.283,-0.002,0.066
-0.051,0.108,0.029,-0.077,0.135,-0.262,0.154,0.141,0.019,0.128
0.096,0.196,0.103,0.079,0.104,-0.094,-0.061,0.225,0.01,0.019
-0.024,0.11,0.098,-0.219,0.09,-0.046,0.118,0.132,0.189,0.104
0.081,0.168,0.077,0.217,-0.054,-0.082,0.38,0.11,-0.213,0.046
0.039,0.065,0.063,0.009,0.022,0.113,0.067,-0.011,-0.07,-0.056
0.034,0.004,0.365,0.089,-0.049,0.155,0.071,-0.022,-0.078,0.002
-0.125,-0.011,0.152,0.117,0.169,0.031,-0.095,0.216,-0.105,-0.012
0.047,0.024,0.081,-0.09,0.011,-0.035,0.144,0.114,-0.165,0.043
-0.046,-0.012,0.018,-0.038,-0.062,0.328,0.024,0.008,-0.115,-0.005
-0.227,-0.236,0.005,-0.007,0.229,0.229,0.06,0.144,-0.112,0.017
-0.275,0.046,0.125,-0.114,0.175,0.061,0.073,0.033,-0.057,0.123
-0.231,-0.137,0.122,-0.228,-0.046,-0.022,-0.018,0.093,0.025,-0.098
-0.31,-0.071,-0.039,-0.009,0.185,0.052,-0.057,0.082,-0.122,0.113
-0.168,0.104,0.053,-0.102,0.049,0.049,-0.061,0.036,0.149,-0.086
0.004,0.152,-0.194,-0.074,-0.021,0.067,0.051,-0.039,-0.011,-0.166
-0.056,0.189,-0.053,-0.153,0.105,-0.097,-0.034,0.027,0.268,-0.081
0.024,0.078,-0.224,-0.121,-0.154,-0.008,-0.02,0.04,0.156,-0.013
