AR1410B.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,DR1108.PV,DR1110.PV,FI1113.PV,FI1424.PV,FI1902.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1127.MV,FIC_1127.PV,FI_1127.PV,FRC1102.MV,FRC1107.MV,FRC1113.MV,FRC1113.PV,FRC1424.PV,FRCA1110.MV,FRCA1112.MV,FRQ1623.PV,FRSA1101.PV,FT_1121.PV,FT_1122.PV,LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1138A.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1132.PV,TI1133.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1101.SV,TIC_1155.MV,TI_1142.PV,TI_1145.PV,TRC1118A.MV
86.275,57.5625,4.4141,57.5625,286.65,357.4424,570.65,2.599,4.58,174.2175,343.08,72.2384,708.56,19.4503,600.0,600.0,9.9684,66.1722,76.7739,2.599,4.5775,11.1189,15.7234,9.1025,174.146,343.08,708.56,72.2315,33.225,9.618,4.122,12.4,42.072,20.3085,16.7693,0.1776,0.1285,0.1313,0.1287,0.2097,0.1313,0.1984,0.1244,538.08,275.45,358.15,84.6225,85.14,85.3275,82.185,83.5575,81.9825,45.4155,518.46,570.0,20.6405,514.4,485.99,13.2205
86.175,57.525,4.1656,57.5625,286.7625,357.9934,570.95,2.5996,4.5775,174.2715,343.08,72.2406,708.56,19.4503,600.0,600.0,9.9691,66.1741,76.7729,2.5996,4.5775,11.1182,15.7234,9.1031,174.272,343.08,708.56,72.2596,33.225,9.619,4.138,12.398,42.108,20.369,16.7377,0.1779,0.1286,0.1313,0.1287,0.2097,0.1313,0.1984,0.1244,538.2,275.4,358.1,84.6675,85.1475,85.29,82.1925,83.5125,82.0125,45.6125,518.55,570.0,20.6434,514.4,486.02,13.2159
86.05,57.5625,4.525,57.6,286.875,358.0623,570.6,2.5994,4.5775,174.339,343.05,72.2416,708.72,19.4503,600.0,600.0,9.9697,66.176,76.7741,2.5994,4.5775,11.1176,15.7234,9.1036,174.342,343.05,708.72,72.2877,33.225,9.62,4.146,12.395,42.138,20.435,16.7152,0.178,0.1286,0.1313,0.1287,0.2098,0.1313,0.1984,0.1245,538.28,275.4,358.05,84.66,85.17,85.29,82.2,83.475,82.0125,45.8015,518.7,570.0,20.6462,514.4,486.02,13.2112
86.625,57.525,3.9484,57.6,286.47,358.0967,571.0,2.5994,4.5775,174.4065,343.05,72.2436,708.72,19.4503,600.0,600.0,9.9704,66.178,76.7749,2.5994,4.5775,11.1207,15.7234,9.1036,174.398,343.05,708.72,72.2652,33.22,9.621,4.153,12.395,42.174,20.49,16.6849,0.1783,0.1286,0.1314,0.1287,0.2098,0.1314,0.1984,0.1245,538.44,275.35,358.0,84.675,85.1925,85.245,82.2525,83.4975,82.0275,45.9863,518.88,570.0,20.6491,514.43,486.02,13.2065
86.6,57.6,4.3406,57.5625,286.8525,357.6835,571.2,2.5994,4.5775,174.4875,343.05,72.2444,708.88,19.4503,600.0,600.0,9.9711,66.1799,76.7756,2.5994,4.5775,11.1212,15.7234,9.1041,174.482,343.05,708.88,72.2927,33.22,9.622,4.173,12.393,42.21,20.545,16.6638,0.1787,0.1287,0.1314,0.1288,0.2098,0.1314,0.1984,0.1245,538.64,275.35,358.0,84.6525,85.17,85.2225,82.29,83.4975,82.0425,46.1665,519.09,570.0,20.652,514.43,486.05,13.2019
86.8,57.6,4.0891,57.6,286.47,357.3391,570.3,2.5994,4.575,174.5415,343.05,72.2461,708.88,19.4503,600.0,600.0,9.9717,66.181,76.7764,2.5994,4.575,11.1218,15.7227,9.1041,174.552,343.05,708.88,72.3202,33.22,9.624,4.208,12.394,42.252,20.589,16.6349,0.1793,0.1288,0.1314,0.1288,0.2098,0.1314,0.1984,0.1245,538.84,275.3,357.95,84.6525,85.2075,85.26,82.275,83.4825,82.05,46.3384,519.36,570.0,20.6549,514.46,486.05,13.2079
86.65,57.6,3.9406,57.5625,286.2,357.2702,570.4,2.5994,4.575,174.609,343.05,72.2485,708.8,19.4503,600.0,600.0,9.9716,66.1827,76.7771,2.5994,4.575,11.1186,15.7224,9.1041,174.608,343.05,708.8,72.3477,33.22,9.625,4.251,12.391,42.294,20.6385,16.6152,0.1799,0.1288,0.1314,0.1288,0.2098,0.1314,0.1984,0.1245,539.12,275.3,357.9,84.675,85.2225,85.2975,82.2375,83.52,82.0425,46.5092,519.63,570.0,20.6578,514.46,486.05,13.2039
86.5,57.6,4.1813,57.525,286.5825,357.4424,570.35,2.5998,4.575,174.69,343.05,72.2504,708.8,19.4503,600.0,600.0,9.9721,66.1844,76.7764,2.5998,4.575,11.118,15.7222,9.1047,174.692,343.05,708.8,72.4258,33.225,9.626,4.295,12.391,42.354,20.688,16.5877,0.1804,0.1289,0.1314,0.1288,0.2098,0.1314,0.1984,0.1245,539.4,275.25,357.9,84.6375,85.17,85.32,82.215,83.4975,81.9975,46.6714,519.96,570.0,20.6606,514.49,486.08,13.1999
86.525,57.6,4.6141,57.6,286.2675,357.4424,570.9,2.5998,4.575,174.7575,343.05,72.251,708.96,19.4503,600.0,600.0,9.9725,66.1853,76.7766,2.5998,4.575,11.1173,15.7219,9.1058,174.762,343.05,708.96,72.4539,33.225,9.626,4.336,12.389,42.438,20.754,16.5607,0.1809,0.1289,0.1314,0.1288,0.2098,0.1314,0.1984,0.1245,539.76,275.25,357.85,84.6675,85.155,85.32,82.2225,83.4675,82.005,46.8322,520.29,570.0,20.6635,514.49,486.08,13.1959
86.375,57.5625,4.0344,57.5625,286.9875,358.1312,571.2,2.5998,4.575,174.852,343.05,72.2526,708.96,19.4503,600.0,600.0,9.9729,66.1867,76.7769,2.5998,4.575,11.1196,15.7217,9.1058,174.846,343.05,708.96,72.4821,33.225,9.626,4.374,12.39,42.534,20.8255,16.5343,0.1814,0.1289,0.1314,0.1288,0.2098,0.1314,0.1984,0.1245,540.08,275.25,357.85,84.6675,85.125,85.3575,82.2525,83.43,82.0425,46.988,520.65,570.0,20.6511,514.52,486.11,13.1919
