因,果,,测点名,测点中文含义
FRC1424.PV,TI1105A.PV,,FRC1424.PV,焦化汽油进提升管流量
FRC1102.MV,TI1105A.PV,,FRC1102.MV,进料雾化蒸汽流量控制
FI_1127.PV,TI1105A.PV,,FI_1127.PV,1#提升管底预提升蒸汽流量
TI1105A.PV,TI_1145.PV,,TI1105A.PV,提升管提升段温度指示
TI_1145.PV,TI_1142.PV,,TI_1145.PV,沉降器中部温度
TI_1142.PV,PI_1132B.PV,,TI_1142.PV,沉降器顶部油气出口温度
PI_1132B.PV,PDRSA1104.PV,,LRCA1101.MV,R1101沉降器总料位
PDRSA1104.PV,DR1106.PV,,FI1113.PV,汽提段蒸汽流量
PDRSA1104.PV,DR1110.PV,,DR1106.PV,R1101待生立管密度指示
FI1113.PV,LRCA1101.MV,,PI_1132B.PV,沉降器顶部压力
LRCA1101.MV,DR1106.PV,,PDRSA1104.PV,R1101和R1102的压差
DR1106.PV,DR1108.PV,,FRCA1110.MV,主风流量控制
FRCA1110.MV,DR1108.PV,,DR1107.PV,R1102密相上部密度指示
FRCA1110.MV,DR1107.PV,,DR1108.PV,R1102密相下部密度指示
DR1108.PV,DR1107.PV,,DR1110.PV,再生斜管密度指示记录
DR1107.PV,DR1110.PV,,AR1410B.PV,三旋入口催化剂颗粒分析
DR1107.PV,AR1410B.PV,,,
DR1110.PV,TI1105A.PV,,,
DR1110.PV,LRCA1101.MV,,,
