AR1410B.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,DR1108.PV,DR1110.PV,FI1113.PV,FI1424.PV,FI1902.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1127.MV,FIC_1127.PV,FI_1127.PV,FRC1102.MV,FRC1107.MV,FRC1113.MV,FRC1113.PV,FRC1424.PV,FRCA1110.MV,FRCA1112.MV,FRQ1623.PV,FRSA1101.PV,FT_1121.PV,FT_1122.PV,LRCA1101.MV,LRCA1101.PV,PDI_1109.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1138A.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1132.PV,TI1133.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1101.SV,TIC_1155.MV,TI_1142.PV,TI_1145.PV,TRC1118A.MV
86.8,57.6,4.6516,57.525,287.2125,357.4424,571.3,2.6,4.565,174.69,342.96,72.5883,710.08,19.4625,600.0,600.0,9.9941,66.234,76.7881,2.6,4.565,11.1197,15.7189,9.1102,174.692,342.96,710.08,73.694,33.16,44.274,9.646,4.385,12.343,44.25,24.2575,15.223,0.1814,0.1293,0.1319,0.1293,0.2106,0.1319,0.1992,0.1249,542.4,273.65,355.75,84.5775,85.1325,85.2525,82.245,83.4075,81.99,44.8573,522.51,520.0,20.7696,515.57,487.1,12.9199
86.25,57.525,4.1422,57.6,287.145,357.8557,571.35,2.6,4.565,174.555,342.96,72.5876,710.16,19.4625,600.0,600.0,9.9941,66.2339,76.7881,2.6,4.565,11.1164,15.7189,9.1108,174.552,342.96,710.16,73.7646,33.165,44.304,9.645,4.384,12.344,44.274,24.274,15.2405,0.1814,0.1293,0.1319,0.1292,0.2106,0.1319,0.1992,0.1249,542.44,273.65,355.75,84.5775,85.0875,85.2075,82.215,83.415,82.0275,44.8434,522.54,520.0,20.77,515.6,487.13,12.9185
86.25,57.525,4.1422,57.6,287.145,357.8557,571.35,2.6,4.565,174.555,342.96,72.5873,710.16,19.4625,600.0,600.0,9.994,66.2338,76.7881,2.6,4.565,11.115,15.7189,9.1108,174.552,342.96,710.16,73.7852,33.165,44.304,9.645,4.384,12.344,44.304,24.274,15.2416,0.1814,0.1293,0.1319,0.1292,0.2106,0.1319,0.1992,0.1249,542.44,273.65,355.75,84.5775,85.0875,85.2075,82.215,83.415,82.0275,44.8256,522.6,520.0,20.7704,515.6,487.13,12.9279
86.25,57.525,4.1422,57.6,287.145,357.8557,571.35,2.6,4.565,174.555,342.96,72.5871,710.16,19.4625,600.0,600.0,9.9939,66.2337,76.7881,2.6,4.565,11.1136,15.7189,9.1108,174.552,342.96,710.16,73.8058,33.165,44.304,9.645,4.384,12.344,44.304,24.274,15.2343,0.1814,0.1293,0.1319,0.1292,0.2106,0.1319,0.1992,0.1249,542.44,273.65,355.75,84.5775,85.0875,85.2075,82.215,83.415,82.0275,44.8151,522.6,520.0,20.7708,515.6,487.13,12.9272
86.35,57.6,4.8078,57.6,287.0325,358.0967,571.3,2.6002,4.5675,174.474,342.96,72.5868,710.16,19.4618,600.06,600.06,9.9938,66.2329,76.7873,2.6002,4.5675,11.1184,15.7189,9.1108,174.482,342.96,710.16,73.8265,33.165,44.436,9.642,4.386,12.345,44.388,24.373,15.2271,0.1814,0.1292,0.1319,0.1292,0.2105,0.1318,0.1991,0.1248,542.56,273.65,355.7,84.555,85.1175,85.2075,82.2675,83.43,81.945,44.7971,522.66,520.0,20.756,515.66,487.19,12.9265
86.5,57.5625,4.3141,57.5625,286.695,357.3735,570.85,2.6002,4.5675,174.4605,342.96,72.5866,710.16,19.4615,600.06,600.06,9.9937,66.2325,76.7871,2.6002,4.5675,11.1167,15.7189,9.1108,174.454,342.96,710.16,73.8471,33.165,44.49,9.641,4.385,12.343,44.436,24.4005,15.2285,0.1813,0.1292,0.1319,0.1292,0.2104,0.1318,0.1991,0.1248,542.6,273.65,355.7,84.57,85.1325,85.215,82.29,83.46,81.9675,44.7826,522.69,520.0,20.7559,515.69,487.22,12.9259
86.5,57.6,4.2922,57.5625,287.055,358.0967,570.55,2.6002,4.5675,174.4605,342.96,72.5863,710.16,19.4613,600.06,600.06,9.9936,66.2322,76.7868,2.6002,4.5675,11.1166,15.7189,9.1108,174.468,342.96,710.16,73.8677,33.165,44.538,9.64,4.384,12.343,44.49,24.4335,15.2216,0.1813,0.1292,0.1318,0.1292,0.2104,0.1318,0.1991,0.1248,542.64,273.65,355.7,84.6225,85.1175,85.2525,82.32,83.5125,81.9675,44.768,522.72,520.0,20.7558,515.72,487.25,12.9252
86.075,57.6,4.5969,57.5625,287.1,357.959,571.2,2.6004,4.5675,174.4065,342.96,72.5861,710.16,19.461,600.06,600.12,9.9936,66.2319,76.7858,2.6004,4.5675,11.1164,15.7189,9.1108,174.398,342.96,710.16,73.8883,33.165,44.592,9.638,4.384,12.344,44.538,24.472,15.2232,0.1813,0.1292,0.1318,0.1292,0.2103,0.1318,0.199,0.1248,542.68,273.65,355.7,84.57,85.065,85.245,82.3275,83.5575,81.9525,44.7495,522.78,520.0,20.7557,515.75,487.25,12.9245
86.45,57.5625,4.3109,57.525,287.1675,358.1656,570.9,2.6004,4.57,174.4065,342.96,72.5858,710.16,19.46,600.12,600.12,9.9935,66.2315,76.7853,2.6004,4.57,11.1162,15.7189,9.1113,174.412,342.99,710.16,73.909,33.165,44.652,9.637,4.384,12.343,44.592,24.5105,15.2166,0.1813,0.1291,0.1318,0.1291,0.2102,0.1318,0.199,0.1247,542.72,273.65,355.7,84.57,85.0875,85.2225,82.3575,83.5125,81.9525,44.7345,522.81,520.0,20.7556,515.78,487.28,12.9239
86.45,57.5625,4.3109,57.525,287.1675,358.1656,570.9,2.6004,4.57,174.4065,342.99,72.5856,710.16,19.4595,600.12,600.12,9.9934,66.2312,76.7848,2.6004,4.57,11.116,15.7189,9.1113,174.412,342.99,710.16,73.9296,33.165,44.652,9.637,4.384,12.343,44.652,24.5105,15.2099,0.1813,0.1291,0.1318,0.1291,0.2102,0.1318,0.199,0.1247,542.72,273.65,355.7,84.57,85.0875,85.2225,82.3575,83.5125,81.9525,44.7156,522.87,520.0,20.7556,515.78,487.28,12.9232
