AR1410B.PV,CCSFIC1401.PV,CCSPI1407B.PV,CCSPIC1415.PV,DR1107.PV,FI1102.PV,FI1107.PV,FI1110.PV,FI1112.PV,FI1113.PV,FI1121.PV,FI1213.PV,FI1424.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1123.PV,FIC_1127.MV,FIC_1127.PV,FI_1124.PV,FI_1127.PV,FRC1102.MV,FRC1102.PV,FRC1107.MV,FRC1107.PV,FRC1113.MV,FRC1113.PV,FRC1213.MV,FRC1213.PV,FRC1424.PV,FRCA1110.MV,FRCA1110.PV,FRCA1111.MV,FRCA1111.PV,FRCA1112.MV,FRCA1112.PV,FRQ1623.PV,FT_1122.PV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRSA1104.PV,PI1101.PV,PI1110.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1136.PV,PI_1138A.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1118A.PV,TI1212.PV,TI1611.PV,TIA1114.PV,TIA1160A.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1155.PV,TI_1145.PV,TI_1146.PV,TI_1147.PV,WR1104.PV
86.475,186879,0.2988,0.3783,287.2575,999.0,2.598,5002.2251,2999.75,2.6,50100,179.9875,4.5225,342.69,72.5864,709.28,1770.48,19.4885,599.94,94.24,599.94,10.0001,999.0,66.2344,2.598,76.8114,2.6,75.6132,179.9875,4.5225,11.1147,5002.2251,28.0996,5000.04,15.7197,2999.75,9.1069,709.28,33.095,9.748,4.135,12.358,20.941,0.1474,0.9959,15.8246,0.1798,0.1306,0.1333,0.2423,0.1307,0.1333,0.2014,0.1264,536.16,679.75,329.04,251.425,661.7,183.495,45.5361,516.57,20.726,589.875,486.11,685.84,685.8125,145.618
86.575,186868,0.2988,0.3783,287.28,999.0,2.598,4999.8501,2999.75,2.6,50100,179.9875,4.5225,342.69,72.5875,709.28,1770.48,19.488,600.0,94.24,600.0,10.0006,999.0,66.2351,2.598,76.8114,2.6,75.6137,179.9875,4.5225,11.1173,4999.8501,28.0996,5000.04,15.7199,2999.75,9.1069,709.28,33.09,9.748,4.142,12.358,20.9905,0.1475,0.9959,15.8174,0.1799,0.1305,0.1333,0.2423,0.1307,0.1333,0.2014,0.1264,536.24,679.75,329.04,251.425,661.7,183.56,45.5424,516.63,20.7279,589.875,486.11,685.84,685.8125,145.618
86.075,186868,0.2988,0.3783,287.325,999.0,2.598,4999.8501,2999.75,2.6,50100,179.975,4.5225,342.69,72.5874,709.44,1770.48,19.488,600.0,94.26,600.0,10.001,999.0,66.2357,2.598,76.8114,2.6,75.6157,179.975,4.5225,11.1173,4999.8501,28.0996,5000.04,15.7202,2999.75,9.1074,709.44,33.09,9.747,4.15,12.357,21.0455,0.1475,0.9959,15.8021,0.18,0.1305,0.1333,0.2423,0.1306,0.1332,0.2013,0.1264,536.28,679.75,329.04,251.425,661.7,183.56,45.5485,516.69,20.7298,589.875,486.11,685.84,685.8125,145.618
86.975,186857,0.2988,0.3783,286.4475,999.6,2.598,4997.9497,2999.75,2.6,50100,179.975,4.5225,342.69,72.5883,709.44,1770.48,19.488,600.0,94.26,600.0,10.0006,999.6,66.2364,2.598,76.8114,2.6,75.6167,179.975,4.5225,11.1204,4997.9497,28.0996,5000.04,15.7204,2999.75,9.1069,709.44,33.09,9.747,4.158,12.355,21.1115,0.1475,0.9959,15.7871,0.1801,0.1305,0.1332,0.2423,0.1306,0.1332,0.2013,0.1264,536.36,679.75,329.04,251.425,661.7,183.56,45.5507,516.78,20.7317,589.875,486.11,685.84,685.85,145.618
86.425,186846,0.2989,0.3783,286.74,999.6,2.5987,4999.8501,2999.75,2.6,50100,179.975,4.525,342.69,72.5892,709.44,1770.6599,19.4873,600.06,94.26,600.06,10.0008,999.6,66.2363,2.5987,76.8114,2.6,75.6177,179.975,4.525,11.1185,4999.8501,28.0996,5000.04,15.7207,2999.75,9.108,709.44,33.09,9.745,4.166,12.356,21.1665,0.1475,0.9959,15.7724,0.1802,0.1305,0.1332,0.2424,0.1306,0.1332,0.2012,0.1263,536.44,679.75,329.04,251.425,661.7,183.56,45.5524,516.87,20.7336,589.875,486.11,685.84,685.85,145.618
86.15,186835,0.2989,0.3783,287.0325,999.6,2.5987,4999.8501,3000.75,2.6002,50100,179.9875,4.525,342.69,72.5894,709.52,1770.6599,19.487,600.06,94.26,600.06,10.001,999.6,66.2367,2.5987,76.8106,2.6002,75.6172,179.9875,4.525,11.1186,4999.8501,28.0996,5000.04,15.7179,3000.75,9.108,709.52,33.09,9.744,4.175,12.355,21.2325,0.1476,0.9959,15.758,0.1802,0.1305,0.1332,0.2424,0.1306,0.1331,0.2012,0.1263,536.52,679.75,329.04,251.425,661.7,183.56,45.5538,516.96,20.7355,589.875,486.11,685.84,685.85,145.618
86.25,186835,0.2989,0.3783,286.7175,999.6,2.5987,5002.2251,3000.75,2.6002,50100,179.9875,4.5275,342.72,72.5902,709.52,1770.6599,19.4868,600.06,94.26,600.06,10.0011,999.6,66.2372,2.5987,76.8104,2.6002,75.6177,179.9875,4.5275,11.1149,5002.2251,28.0996,5000.04,15.7172,3000.75,9.108,709.52,33.09,9.742,4.185,12.354,21.304,0.1476,0.9957,15.7524,0.1803,0.1304,0.1332,0.2424,0.1305,0.1331,0.2011,0.1263,536.6,679.75,329.04,251.425,661.7,183.56,45.5548,517.05,20.7374,589.875,486.11,685.84,685.85,145.618
86.475,186824,0.2989,0.3784,286.83,999.6,2.5987,4999.8501,3000.75,2.6002,50100,179.9875,4.5275,342.72,72.5909,709.52,1770.6599,19.4858,600.12,94.26,600.12,10.0013,999.6,66.2376,2.5987,76.8101,2.6002,75.6182,179.9875,4.5275,11.1175,4999.8501,28.0995,5000.04,15.7164,3000.75,9.1086,709.52,33.09,9.741,4.194,12.353,21.3755,0.1477,0.9957,15.7388,0.1804,0.1304,0.1331,0.2424,0.1305,0.1331,0.201,0.1262,536.72,679.75,329.08,251.425,661.7,183.56,45.5554,517.14,20.7393,589.875,486.11,685.84,685.85,145.618
86.575,186813,0.2989,0.3784,286.74,999.6,2.5987,5000.3247,2999.75,2.6004,50100,179.9875,4.5275,342.72,72.5917,709.52,1770.6599,19.4853,600.12,94.26,600.12,10.0015,999.6,66.238,2.5987,76.8091,2.6004,75.6187,179.9875,4.5275,11.1168,5000.3247,28.0995,5000.04,15.7187,2999.75,9.1086,709.52,33.09,9.739,4.203,12.352,21.447,0.1477,0.9957,15.7255,0.1805,0.1304,0.1331,0.2425,0.1305,0.133,0.201,0.1262,536.8,679.75,329.08,251.425,661.7,183.56,45.5557,517.23,20.7412,589.875,486.11,685.84,685.85,145.618
86.325,186802,0.299,0.3784,286.74,1000.2,2.5987,4997.9497,2999.75,2.6004,50100,179.9875,4.53,342.72,72.5912,709.68,1770.6599,19.4848,600.12,94.26,600.12,10.0009,1000.2,66.2384,2.5987,76.8086,2.6004,75.6192,179.9875,4.53,11.1204,4997.9497,28.0988,5000.8999,15.7189,2999.75,9.1091,709.68,33.09,9.737,4.212,12.353,21.513,0.1477,0.9957,15.7124,0.1805,0.1304,0.1331,0.2425,0.1304,0.133,0.2009,0.1261,536.92,679.75,329.08,251.425,661.7,183.56,45.5519,517.35,20.743,589.875,486.11,685.84,685.85,145.618
86.025,186802,0.299,0.3784,286.9875,1000.2,2.5987,5000.3247,2999.75,2.6004,50100,179.9875,4.53,342.72,72.5917,709.68,1770.84,19.4835,600.18,94.26,600.18,10.0008,1000.2,66.2388,2.5987,76.8081,2.6004,75.6197,179.9875,4.53,11.1177,5000.3247,28.0985,5000.8999,15.7192,2999.75,9.1091,709.68,33.09,9.735,4.221,12.352,21.5845,0.1478,0.9957,15.6996,0.1806,0.1303,0.133,0.2425,0.1304,0.133,0.2009,0.1261,537.04,679.75,329.08,251.425,661.7,183.56,45.5475,517.47,20.7449,589.875,486.11,685.84,685.85,145.618
86.725,186791,0.299,0.3784,287.0325,1000.2,2.5987,5000.3247,2999.75,2.6,50100,179.9875,4.5325,342.75,72.5915,709.76,1770.84,19.4828,600.18,94.26,600.18,10.0007,1000.2,66.2393,2.5987,76.8091,2.6,75.6202,179.9875,4.5325,11.1176,5000.3247,28.0982,5000.8999,15.7194,2999.75,9.1086,709.76,33.09,9.733,4.229,12.352,21.6505,0.1478,0.9957,15.6871,0.1807,0.1303,0.133,0.2425,0.1304,0.133,0.2008,0.1261,537.16,679.75,329.08,251.425,661.7,183.625,45.5465,517.56,20.7468,589.875,486.11,685.84,685.85,145.618
86.0,186780,0.299,0.3784,287.0775,1000.2,2.5995,5002.2251,2999.75,2.6,50100,179.975,4.5325,342.75,72.5919,709.76,1770.84,19.4835,600.06,94.26,600.06,10.0006,1000.2,66.2389,2.5995,76.8091,2.6,75.6222,179.975,4.5325,11.1144,5002.2251,28.098,5000.8999,15.7197,2999.75,9.1086,709.76,33.09,9.73,4.238,12.351,21.722,0.1478,0.9957,15.6749,0.1808,0.1303,0.133,0.2425,0.1303,0.133,0.2008,0.126,537.28,679.8,329.08,251.425,661.7,183.625,45.5413,517.68,20.7487,589.875,486.11,685.84,685.85,145.618
86.825,186769,0.299,0.3785,286.83,1000.2,2.5995,5000.3247,2999.75,2.6002,50100,179.975,4.5325,342.75,72.5923,709.76,1770.84,19.4833,600.06,94.26,600.06,10.0006,1000.2,66.2391,2.5995,76.8084,2.6002,75.6232,179.975,4.5325,11.1162,5000.3247,28.0977,5000.8999,15.7199,2999.75,9.1091,709.76,33.095,9.728,4.246,12.349,21.7935,0.1479,0.9957,15.6716,0.1808,0.1303,0.1329,0.2426,0.1303,0.1329,0.2007,0.126,537.4,679.8,329.08,251.425,661.7,183.625,45.5357,517.8,20.7506,589.875,486.11,685.84,685.85,145.618
86.2,186769,0.299,0.3785,287.055,1000.2,2.5995,5000.3247,2999.75,2.6002,50100,179.9875,4.535,342.75,72.5927,709.76,1770.84,19.483,600.06,94.28,600.06,10.0005,1000.2,66.2393,2.5995,76.8081,2.6002,75.6227,179.9875,4.535,11.116,5000.3247,28.0975,5000.8999,15.7202,2999.75,9.1091,709.76,33.095,9.726,4.254,12.349,21.8595,0.1479,0.9957,15.6602,0.1809,0.1302,0.1329,0.2426,0.1303,0.1329,0.2007,0.126,537.52,679.8,329.08,251.425,661.7,183.625,45.5295,517.92,20.7525,589.875,486.11,685.84,685.85,145.618
86.075,186747,0.299,0.3785,287.235,1000.2,2.5995,5000.3247,3000.0,2.6002,50100,179.9875,4.535,342.75,72.5934,709.76,1771.0199,19.4818,600.12,94.28,600.12,10.0003,1000.2,66.2396,2.5995,76.8076,2.6002,75.6237,179.9875,4.535,11.117,5000.3247,28.0969,5000.8999,15.7197,3000.0,9.1091,709.76,33.095,9.723,4.268,12.35,21.9695,0.148,0.9957,15.6382,0.181,0.1302,0.1329,0.2426,0.1302,0.1328,0.2006,0.1259,537.76,679.8,329.12,251.425,661.7,183.625,45.5195,518.13,20.7563,589.875,486.14,685.88,685.85,145.618
86.525,186747,0.2991,0.3785,286.8525,1000.2,2.5995,5000.3247,3000.75,2.6004,50100,179.9875,4.5375,342.78,72.5932,709.84,1771.0199,19.4813,600.12,94.28,600.12,10.0002,1000.2,66.2398,2.5995,76.8066,2.6004,75.6242,179.9875,4.5375,11.1168,5000.3247,28.0967,5000.8999,15.7174,3000.75,9.1091,709.84,33.1,9.721,4.274,12.349,22.019,0.148,0.9957,15.6277,0.1811,0.1302,0.1328,0.2426,0.1302,0.1328,0.2006,0.1259,537.88,679.8,329.12,251.425,661.7,183.625,45.5121,518.25,20.7582,589.875,486.14,685.88,685.85,145.607
86.975,186736,0.2991,0.3785,286.8975,1000.2,2.5995,5000.3247,3000.0,2.6004,50100,179.9875,4.5375,342.78,72.5934,709.84,1771.0199,19.4808,600.12,94.28,600.12,10.0001,1000.2,66.2399,2.5995,76.8061,2.6004,75.6247,179.9875,4.5375,11.1166,5000.3247,28.0964,5000.8999,15.7189,3000.0,9.1091,709.84,33.1,9.719,4.279,12.348,22.074,0.148,0.9957,15.6174,0.1811,0.1302,0.1328,0.2427,0.1302,0.1328,0.2006,0.1259,537.96,679.8,329.12,251.425,661.7,183.625,45.5079,518.34,20.7601,589.875,486.14,685.88,685.85,145.607
86.4,186725,0.2991,0.3786,286.8525,1000.2,2.5995,5000.3247,3000.0,2.6004,50100,179.9875,4.5375,342.78,72.5937,709.84,1771.0199,19.4803,600.12,94.28,600.12,10.0001,1000.2,66.2401,2.5995,76.8056,2.6004,75.6252,179.9875,4.5375,11.1164,5000.3247,28.0961,5000.8999,15.7189,3000.0,9.1091,709.84,33.1,9.718,4.284,12.348,22.118,0.148,0.9957,15.6074,0.1811,0.1302,0.1328,0.2427,0.1302,0.1328,0.2006,0.1259,538.08,679.8,329.12,251.425,661.7,183.625,45.4995,518.46,20.7467,589.9075,486.14,685.88,685.85,145.607
86.75,186725,0.2991,0.3786,286.56,1000.2,2.5995,5000.3247,3000.0,2.6004,50100,179.9875,4.5375,342.78,72.5939,709.84,1771.0199,19.4798,600.12,94.28,600.12,10.0,1000.2,66.2403,2.5995,76.8051,2.6004,75.6257,179.9875,4.5375,11.1163,5000.3247,28.0959,5000.8999,15.7189,3000.0,9.1091,709.84,33.1,9.717,4.287,12.347,22.162,0.148,0.9957,15.5977,0.1812,0.1302,0.1328,0.2427,0.1302,0.1328,0.2006,0.1259,538.2,679.8,329.12,251.425,661.7,183.625,45.4945,518.55,20.7481,589.9075,486.17,685.88,685.8875,145.607
86.825,186714,0.2991,0.3786,286.9425,1000.2,2.5995,5000.3247,3000.0,2.6004,50100,179.9875,4.5375,342.78,72.5942,709.84,1771.0199,19.4793,600.12,94.28,600.12,9.9999,1000.2,66.2404,2.5995,76.8046,2.6004,75.6262,179.9875,4.5375,11.1161,5000.3247,28.0956,5000.8999,15.7189,3000.0,9.1091,709.84,33.105,9.716,4.289,12.347,22.2005,0.1481,0.9957,15.5796,0.1812,0.1302,0.1328,0.2427,0.1302,0.1328,0.2006,0.1259,538.28,679.8,329.12,251.425,661.7,183.69,45.4891,518.64,20.7495,589.9075,486.17,685.88,685.8875,145.607
86.925,186714,0.2991,0.3786,286.7625,1000.2,2.6003,5000.3247,3000.0,2.6004,50100,180.0,4.5375,342.78,72.5944,709.84,1771.0199,19.4788,600.12,94.28,600.12,9.9998,1000.2,66.2399,2.6003,76.8041,2.6004,75.6252,180.0,4.5375,11.1159,5000.3247,28.0953,5000.8999,15.7189,3000.0,9.1096,709.84,33.105,9.715,4.291,12.347,22.2335,0.1481,0.9957,15.5702,0.1812,0.1301,0.1328,0.2427,0.1302,0.1328,0.2006,0.1259,538.36,679.8,329.12,251.425,661.7,183.69,45.4833,518.73,20.7509,589.9075,486.17,685.88,685.8875,145.607
86.05,186703,0.2991,0.3786,287.3475,999.6,2.6003,5000.3247,3000.0,2.6004,50100,179.9875,4.5375,342.78,72.5947,709.84,1771.0199,19.4805,599.94,94.28,599.94,10.0005,999.6,66.2398,2.6003,76.8036,2.6004,75.6267,179.9875,4.5375,11.1158,5000.3247,28.0951,5000.8999,15.7189,3000.0,9.1096,709.84,33.105,9.714,4.293,12.346,22.2665,0.1482,0.9959,15.561,0.1812,0.1301,0.1328,0.2428,0.1302,0.1328,0.2006,0.1259,538.48,679.8,329.16,251.425,661.7,183.69,45.4809,518.79,20.7523,589.9075,486.17,685.88,685.8875,145.607
