CCSFIC1401.PV,CCSPI1407B.PV,CCSPIC1415.PV,DR1107.PV,FI1102.PV,FI1107.PV,FI1110.PV,FI1112.PV,FI1113.PV,FI1121.PV,FI1213.PV,FI1424.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1123.PV,FIC_1127.MV,FIC_1127.PV,FI_1124.PV,FI_1127.PV,FRC1102.MV,FRC1102.PV,FRC1107.MV,FRC1107.PV,FRC1113.MV,FRC1113.PV,FRC1213.MV,FRC1213.PV,FRC1424.PV,FRCA1110.MV,FRCA1110.PV,FRCA1111.MV,FRCA1111.PV,FRCA1112.MV,FRCA1112.PV,FRQ1623.PV,FT_1122.PV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRSA1104.PV,PI1101.PV,PI1110.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1136.PV,PI_1138A.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1118A.PV,TI1212.PV,TI1611.PV,TIA1114.PV,TIA1160A.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1155.PV,TI_1145.PV,TI_1146.PV,TI_1147.PV,WR1104.PV
186263,0.3,0.3795,286.5825,1000.2,2.6003,5000.3247,3000,2.6,50700,180,4.595,343.17,72.5667,710.08,1773.1799,19.4363,599.88,94.38,599.88,9.975,1000.2,66.2099,2.6003,76.7695,2.6,75.5955,180,4.595,11.1262,5000.3247,28.1212,4999.1797,15.7319,3000,9.1108,710.08,32.995,9.559,4.124,12.302,26.177,0.15,1.0004,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1307,0.1971,0.1238,540.08,680.05,267.32,252.55,661.9,184.015,42.3122,520.29,20.5313,590.005,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,287.4825,1000.2,2.6003,4999.8501,3000,2.6,50700,180,4.595,343.17,72.5665,710.08,1773.1799,19.4368,599.88,94.38,599.88,9.9749,1000.2,66.2099,2.6003,76.7695,2.6,75.5955,180,4.595,11.1268,4999.8501,28.1207,5000.04,15.7319,3000,9.1108,710.08,32.995,9.559,4.124,12.302,26.177,0.15,1.0004,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1307,0.1971,0.1238,540.08,680.05,267.32,252.55,661.9,184.015,42.3122,520.29,20.5313,590.005,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,287.46,1000.2,2.6003,4999.8501,3000,2.6,50700,180,4.595,343.2,72.5664,710.08,1773.1799,19.4373,599.88,94.38,599.88,9.9748,1000.2,66.2098,2.6003,76.7695,2.6,75.5955,180,4.595,11.1269,4999.8501,28.1207,5000.04,15.7319,3000,9.1108,710.08,32.995,9.559,4.124,12.302,26.177,0.15,1.0004,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1307,0.1971,0.1238,540.08,680.05,267.32,252.55,661.9,184.015,42.3122,520.29,20.5313,590.005,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,287.2575,999.6,2.5995,4999.8501,3000,2.6,50700,180,4.595,343.2,72.5663,710.08,1773.1799,19.4356,600.06,94.38,600.06,9.9755,999.6,66.2104,2.5995,76.7695,2.6,75.5955,180,4.595,11.127,4999.8501,28.1207,5000.04,15.7319,3000,9.1102,710.08,32.995,9.559,4.123,12.302,26.1825,0.15,1.0004,14.9096,0.1769,0.1279,0.1307,0.244,0.1281,0.1307,0.1971,0.1238,540.12,680.05,267.32,252.55,661.9,184.015,42.3122,520.29,20.5313,590.005,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,287.01,999.6,2.5995,4999.8501,3000,2.6,50700,180,4.595,343.2,72.5662,710.08,1773.1799,19.4353,600.06,94.38,600.06,9.9756,999.6,66.2106,2.5995,76.7695,2.6,75.5955,180,4.595,11.127,4999.8501,28.1206,5000.04,15.7319,3000,9.1102,710.08,32.995,9.558,4.123,12.302,26.1935,0.15,1.0004,14.9096,0.1769,0.1279,0.1307,0.244,0.1281,0.1306,0.197,0.1238,540.12,680.05,267.32,252.55,661.9,184.015,42.3085,520.32,20.5313,590.005,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,286.6275,1000.2,2.5995,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.566,710.08,1773.1799,19.4351,600.06,94.4,600.06,9.9751,1000.2,66.2108,2.5995,76.7695,2.6,75.5955,180,4.5975,11.1271,4999.8501,28.1206,5000.04,15.7319,3000,9.1102,710.08,32.995,9.558,4.124,12.302,26.199,0.15,1.0004,14.9096,0.1769,0.1279,0.1307,0.244,0.1281,0.1306,0.197,0.1238,540.12,680.05,267.32,252.55,661.9,184.015,42.3083,520.32,20.5161,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,287.2125,1000.2,2.6003,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5659,710.08,1773.1799,19.4348,600.06,94.4,600.06,9.975,1000.2,66.2102,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1272,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,710.08,32.995,9.557,4.125,12.302,26.21,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1306,0.197,0.1238,540.12,680.05,267.32,252.55,661.9,184.015,42.3082,520.32,20.5156,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,286.6275,1000.2,2.6003,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5658,710.08,1773.1799,19.4346,600.06,94.4,600.06,9.9749,1000.2,66.2101,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1273,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,710.08,32.995,9.557,4.127,12.302,26.2155,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1306,0.197,0.1238,540.12,680.05,267.32,252.55,661.9,184.015,42.3081,520.32,20.5151,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,287.145,1000.2,2.6003,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5657,710.08,1773.1799,19.4343,600.06,94.4,600.06,9.9748,1000.2,66.21,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1274,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,710.08,32.995,9.557,4.129,12.302,26.221,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.3042,520.35,20.5146,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,286.695,1000.2,2.6003,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5656,710.08,1773.1799,19.4356,599.94,94.4,599.94,9.9747,1000.2,66.2099,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1274,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,710.08,32.995,9.556,4.131,12.302,26.2265,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.304,520.35,20.5141,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,286.695,1000.2,2.6003,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5654,710.08,1773.1799,19.4358,599.94,94.4,599.94,9.9746,1000.2,66.2099,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1275,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,710.08,32.995,9.556,4.131,12.302,26.232,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.3037,520.35,20.5136,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,286.74,1000.2,2.5995,4999.8501,3000,2.6002,50700,180,4.5975,343.2,72.5653,710.08,1773.1799,19.4346,600.06,94.4,600.06,9.9746,1000.2,66.2105,2.5995,76.7687,2.6002,75.5955,180,4.5975,11.1276,4999.8501,28.1206,5000.04,15.7319,3000,9.1102,710.08,32.995,9.556,4.132,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2997,520.38,20.5131,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,287.0775,1000.2,2.5995,4999.8501,3000,2.6002,50700,180,4.5975,343.2,72.5652,710.08,1773.1799,19.4343,600.06,94.4,600.06,9.9745,1000.2,66.2107,2.5995,76.7685,2.6002,75.5955,180,4.5975,11.1277,4999.8501,28.1206,5000.04,15.7319,3000,9.1102,710.08,32.995,9.555,4.132,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2994,520.38,20.5126,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,286.785,1000.2,2.6003,4999.8501,3000,2.6002,50700,180,4.5975,343.2,72.5651,710.08,1773.1799,19.4356,599.94,94.4,599.94,9.9744,1000.2,66.2101,2.6003,76.7682,2.6002,75.5955,180,4.5975,11.1278,4999.8501,28.1205,5000.04,15.7319,3000,9.1108,710.08,33,9.555,4.132,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.2,680.05,267.32,252.55,661.9,184.015,42.299,520.38,20.5121,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,286.9875,1000.2,2.6003,4999.8501,3000,2.6002,50700,180,4.5975,343.2,72.5649,710.08,1773.1799,19.4358,599.94,94.4,599.94,9.9743,1000.2,66.21,2.6003,76.768,2.6002,75.5955,180,4.5975,11.1278,4999.8501,28.1205,5000.04,15.7319,3000,9.1108,710.08,33,9.555,4.132,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.2,680.05,267.32,252.55,661.9,184.015,42.2986,520.38,20.5116,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,287.0775,1000.2,2.6003,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5647,710.08,1773.1799,19.4343,600.06,94.4,600.06,9.9741,1000.2,66.2099,2.6003,76.7682,2.6,75.5955,180,4.5975,11.128,4999.8501,28.1205,5000.04,15.7319,3000,9.1108,710.08,33,9.555,4.131,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.2,680.05,267.32,252.55,661.9,184.015,42.2979,520.38,20.5107,590.0375,489.11,686.12,686.1125,145.695
