FRC1424.PV,TI1105A.PV,1,,,,FRC1424.PV,焦化汽油进提升管流量
FRC1102.MV,TI1105A.PV,1,,,,FRC1102.MV,进料雾化蒸汽流量控制
FI_1127.PV,TI1105A.PV,1,,,,FI_1127.PV,1#提升管底预提升蒸汽流量
TI1105A.PV,TI_1145.PV,1,,,,TI1105A.PV,提升管提升段温度指示
TI_1145.PV,TI_1142.PV,1,,,,TI_1145.PV,沉降器中部温度
TI_1142.PV,PI_1132B.PV,1,,,,TI_1142.PV,沉降器顶部油气出口温度
PI_1132B.PV,PDRSA1104.PV,1,,,,LRCA1101.MV,R1101沉降器总料位
PDRSA1104.PV,DR1106.PV,1,,,,FI1113.PV,汽提段蒸汽流量
PDRSA1104.PV,DR1110.PV,1,,,,DR1106.PV,R1101待生立管密度指示
FI1113.PV,LRCA1101.MV,1,,,,PI_1132B.PV,沉降器顶部压力
LRCA1101.MV,DR1106.PV,1,,,,PDRSA1104.PV,R1101和R1102的压差
DR1106.PV,DR1108.PV,1,,,,FRCA1110.MV,主风流量控制
FRCA1110.MV,DR1108.PV,1,,,,DR1107.PV,R1102密相上部密度指示
FRCA1110.MV,DR1107.PV,1,,,,DR1108.PV,R1102密相下部密度指示
DR1108.PV,DR1107.PV,1,,,,DR1110.PV,再生斜管密度指示记录
DR1107.PV,DR1110.PV,1,,,,AR1410B.PV,三旋入口催化剂颗粒分析
DR1107.PV,AR1410B.PV,1,,,,,
DR1110.PV,TI1105A.PV,1,,,,,
DR1110.PV,LRCA1101.MV,1,,,,,
