AR1410B.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,DR1108.PV,DR1110.PV,FI1113.PV,FI1424.PV,FI1902.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1127.MV,FIC_1127.PV,FI_1127.PV,FRC1102.MV,FRC1107.MV,FRC1113.MV,FRC1113.PV,FRC1424.PV,FRCA1110.MV,FRCA1112.MV,FRQ1623.PV,FRSA1101.PV,FT_1121.PV,FT_1122.PV,LRCA1101.MV,LRCA1101.PV,PDI_1109.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1138A.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1132.PV,TI1133.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1101.SV,TIC_1155.MV,TI_1142.PV,TI_1145.PV,TRC1118A.MV
86.225,57.6,4.1125,57.5625,287.01,358.3034,571.75,2.5996,4.575,173.4615,343.08,72.2822,710.0,19.4506,600.0,600.0,9.9818,66.2233,76.7811,2.5998,4.5775,11.1278,15.732,9.1102,173.46,343.08,710.0,72.2452,32.995,45.54,9.587,4.178,12.304,45.54,25.55,14.9055,0.1783,0.1287,0.1313,0.1287,0.2097,0.1312,0.1984,0.1245,539.76,275.75,358.55,84.69,85.0725,85.2525,82.275,83.445,82.02,42.9467,519.93,520.0,20.3464,517.55,488.96,13.2925
86.65,57.6,3.9984,57.525,286.7175,358.3034,571.25,2.6,4.5725,173.9205,343.05,72.2822,710.0,19.4514,599.94,599.94,9.9824,66.2232,76.7821,2.5996,4.575,11.1298,15.7338,9.1102,173.922,343.05,709.92,72.2446,32.995,45.372,9.591,4.17,12.304,45.372,25.473,14.9055,0.1782,0.1288,0.1313,0.1288,0.2099,0.1313,0.1986,0.1246,539.72,275.75,358.55,84.6375,85.0425,85.2975,82.245,83.4675,82.0125,42.9583,519.84,520.0,20.3463,517.55,488.96,13.2925
86.55,57.525,4.6234,57.5625,287.37,358.3378,571.1,2.5998,4.57,173.7855,343.05,72.2828,709.92,19.4531,599.82,599.82,9.9826,66.2239,76.7811,2.6,4.5725,11.1299,15.734,9.1102,173.782,343.05,709.84,72.2439,32.995,45.144,9.595,4.159,12.304,45.144,25.3795,14.9055,0.1782,0.1289,0.1314,0.1289,0.2101,0.1314,0.1988,0.1247,539.64,275.75,358.55,84.6825,85.02,85.32,82.245,83.49,81.9675,42.9702,519.75,520.0,20.3463,517.55,488.96,13.2925
86.95,57.5625,4.3906,57.5625,286.6275,358.5444,571.15,2.5996,4.5675,173.9475,343.02,72.2836,709.84,19.4546,599.76,599.76,9.9828,66.224,76.7819,2.5998,4.57,11.13,15.7343,9.1096,173.95,343.02,709.84,72.2433,32.995,44.928,9.6,4.146,12.304,44.928,25.275,14.9055,0.1781,0.129,0.1316,0.129,0.2103,0.1315,0.1991,0.1248,539.56,275.75,358.55,84.63,85.02,85.3425,82.26,83.475,81.9375,42.9862,519.63,520.0,20.3462,517.55,488.96,13.2925
86.025,57.6,4.5766,57.6,287.325,358.6478,571.35,2.5994,4.5625,173.0295,342.99,72.2838,709.84,19.4564,599.7,599.7,9.9829,66.2242,76.7829,2.5996,4.5675,11.13,15.7345,9.1086,173.026,342.99,709.76,72.2427,32.995,44.724,9.606,4.129,12.304,44.724,25.154,14.9055,0.1779,0.1291,0.1317,0.1291,0.2104,0.1317,0.1993,0.125,539.4,275.75,358.55,84.66,85.035,85.3425,82.2975,83.4525,81.945,42.9952,519.57,520.0,20.3461,517.52,488.96,13.2925
86.7,57.6,4.6125,57.5625,287.28,357.9934,571.45,2.5998,4.57,172.9215,343.02,72.2847,709.76,19.4539,600.0,600.0,9.9838,66.2244,76.7841,2.5994,4.5625,11.1301,15.7348,9.1096,172.928,343.02,709.84,72.1914,32.99,45.6,9.612,4.109,12.304,45.6,25.0385,14.9055,0.1769,0.1288,0.1315,0.1289,0.2095,0.1314,0.1984,0.1248,539.36,275.75,358.55,84.675,85.0125,85.3725,82.3425,83.415,81.9975,42.9895,519.63,520.0,20.346,517.52,488.96,13.2925
86.5,57.525,4.4031,57.6,286.83,358.3723,571.75,2.6004,4.5775,173.9745,343.08,72.2845,709.84,19.4501,600.3,600.3,9.9835,66.2245,76.7834,2.5998,4.57,11.1302,15.735,9.1108,173.978,343.08,710.0,72.1902,32.99,46.296,9.604,4.047,12.304,46.296,25.2475,14.9055,0.176,0.1284,0.1312,0.1286,0.209,0.1312,0.1977,0.1244,539.4,275.75,358.5,84.705,84.9825,85.35,82.3875,83.46,82.0275,42.9834,519.69,520.0,20.3459,517.52,488.96,13.2925
86.5,57.525,4.4031,57.6,286.83,358.3723,571.75,2.6004,4.5775,173.9745,343.08,72.2835,710.0,19.4489,600.3,600.3,9.9829,66.224,76.7814,2.6004,4.5775,11.1303,15.7353,9.1108,173.978,343.08,710.0,72.1889,32.99,46.296,9.604,4.047,12.304,46.296,25.2475,14.9055,0.176,0.1284,0.1312,0.1286,0.209,0.1312,0.1977,0.1244,539.4,275.75,358.5,84.705,84.9825,85.35,82.3875,83.46,82.0275,42.9847,519.69,520.0,20.3459,517.52,488.96,13.2925
86.075,57.525,4.05,57.5625,287.055,358.51,571.45,2.6016,4.595,173.7315,343.2,72.2835,710.0,19.4431,600.66,600.66,9.9828,66.2239,76.7809,2.6004,4.5775,11.1272,15.7355,9.114,173.726,343.2,710.32,72.1371,32.985,47.346,9.578,4.031,12.304,47.346,25.902,14.9055,0.1768,0.1279,0.1306,0.128,0.2079,0.1306,0.1966,0.1238,539.64,275.75,358.5,84.705,84.9825,85.365,82.365,83.55,81.975,42.9409,520.05,520.0,20.3458,517.52,488.96,13.2925
86.9,57.5625,4.0641,57.6,286.9875,358.4756,571.4,2.602,4.6025,174.2445,343.26,72.281,710.32,19.4381,600.84,600.84,9.9813,66.223,76.7759,2.6016,4.595,11.1261,15.7333,9.1146,174.244,343.26,710.48,72.1858,32.99,47.742,9.563,4.111,12.304,47.742,26.2045,14.9055,0.1776,0.1277,0.1303,0.1277,0.2075,0.1303,0.1963,0.1235,539.84,275.75,358.5,84.6825,84.99,85.3275,82.35,83.58,81.9525,42.9143,520.26,520.0,20.3457,517.52,488.96,13.2925
86.9,57.5625,4.0641,57.6,286.9875,358.4756,571.4,2.602,4.6025,174.2445,343.26,72.2792,710.48,19.4346,600.84,600.84,9.9807,66.222,76.7724,2.602,4.6025,11.1249,15.7325,9.1146,174.244,343.26,710.48,72.1845,32.99,47.742,9.563,4.111,12.304,47.742,26.2045,14.9055,0.1776,0.1277,0.1303,0.1277,0.2075,0.1303,0.1963,0.1235,539.84,275.75,358.5,84.6825,84.99,85.3275,82.35,83.58,81.9525,42.9133,520.26,520.0,20.3456,517.52,488.96,13.2925
86.65,57.6,4.8219,57.525,286.6275,357.7868,571.95,2.6018,4.61,174.0015,343.29,72.2785,710.48,19.4341,600.6,600.6,9.9801,66.2214,76.7699,2.602,4.6025,11.1268,15.7318,9.1151,174.006,343.29,710.56,72.1833,32.99,48.006,9.55,4.197,12.304,48.006,26.463,14.9055,0.1784,0.1276,0.1301,0.1275,0.2073,0.1301,0.196,0.1233,540.04,275.75,358.5,84.7125,84.9975,85.365,82.35,83.58,81.96,42.886,520.47,520.0,20.3456,517.52,488.96,13.2925
86.425,57.5625,4.6359,57.5625,286.7625,357.6835,571.25,2.6012,4.615,173.826,343.35,72.2771,710.56,19.4346,600.36,600.36,9.9788,66.22,76.7681,2.6018,4.61,11.13,15.7329,9.1146,173.824,343.35,710.48,72.2833,33.0,48.234,9.529,4.318,12.303,48.234,26.793,14.9055,0.1792,0.1275,0.1299,0.1273,0.207,0.1298,0.1957,0.1231,540.56,275.75,358.55,84.69,85.035,85.4175,82.26,83.5725,81.99,42.8239,520.95,520.0,20.3455,517.52,488.96,13.2925
86.425,57.5625,4.6359,57.5625,286.7625,357.6835,571.25,2.6012,4.615,173.826,343.35,72.2768,710.48,19.4331,600.36,600.36,9.9779,66.2192,76.7681,2.6012,4.615,11.1314,15.7329,9.1146,173.824,343.35,710.48,72.2833,33.0,48.234,9.529,4.318,12.303,48.234,26.793,14.9055,0.1792,0.1275,0.1299,0.1273,0.207,0.1298,0.1957,0.1231,540.56,275.75,358.55,84.69,85.035,85.4175,82.26,83.5725,81.99,42.8201,520.95,520.0,20.3454,517.52,488.96,13.2925
86.375,57.6,4.05,57.6,287.01,357.649,571.15,2.6014,4.6175,173.3535,343.35,72.2761,710.48,19.4316,600.36,600.36,9.9771,66.2184,76.7666,2.6012,4.615,11.1264,15.7335,9.114,173.348,343.35,710.56,72.3339,33.005,48.114,9.517,4.369,12.303,48.114,26.925,14.9055,0.1795,0.1274,0.1298,0.1273,0.207,0.1298,0.1958,0.1231,540.96,275.75,358.55,84.675,84.9975,85.3575,82.215,83.5875,82.005,42.7712,521.31,520.0,20.3453,517.55,488.96,13.2925
